county,state,none,D0,D1,D2,D3,D4,year,month
"Bernalillo County",NM,0.00,100.00,100.00,73.83,0.00,0.00,2004,12
"Bernalillo County",NM,0.00,100.00,100.00,73.83,0.00,0.00,2004,12
"Bernalillo County",NM,0.00,100.00,100.00,73.83,0.00,0.00,2004,12
"Bernalillo County",NM,0.00,100.00,100.00,76.55,0.00,0.00,2004,12
"Bernalillo County",NM,0.00,100.00,100.00,76.55,0.00,0.00,2004,11
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,11
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,11
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,11
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,11
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,10
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,10
"Bernalillo County",NM,0.00,100.00,100.00,76.41,0.00,0.00,2004,10
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,10
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,09
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,09
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,09
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,09
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,06
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,06
"Bernalillo County",NM,0.00,100.00,100.00,99.31,0.00,0.00,2004,06
"Bernalillo County",NM,0.00,100.00,100.00,99.31,0.00,0.00,2004,06
"Bernalillo County",NM,0.00,100.00,100.00,89.97,0.00,0.00,2004,06
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,05
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,05
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,05
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,05
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,04
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,04
"Bernalillo County",NM,0.00,100.00,100.00,92.17,0.00,0.00,2004,04
"Bernalillo County",NM,0.00,100.00,100.00,100.00,0.00,0.00,2004,04
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,03
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,03
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,03
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,03
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,03
"Bernalillo County",NM,0.00,100.00,100.00,100.00,100.00,0.00,2004,02
