state,none,D0,D1,D2,D3,D4,year,month
CO,23.97,76.03,39.31,8.37,0,0,2004,12
CO,23.97,76.03,39.31,8.37,0,0,2004,12
CO,23.97,76.03,39.31,8.36,0,0,2004,12
CO,23.97,76.03,39.6,8.44,0,0,2004,12
CO,23.97,76.03,39.31,8.44,0,0,2004,11
CO,22.61,77.39,51.34,13.6,4.94,0,2004,11
CO,22.61,77.39,51.34,13.6,4.94,0,2004,11
CO,22.61,77.39,51.34,14.48,4.94,0,2004,11
CO,22.61,77.39,52.33,15.3,5.34,0,2004,11
CO,22.72,77.28,52.33,16.39,5.41,0,2004,10
CO,22.72,77.28,52.33,15.56,5.21,0,2004,10
CO,21.52,78.48,53.76,15.84,5.21,0,2004,10
CO,21.34,78.66,53.79,15.79,5.21,0,2004,10
CO,20.52,79.48,54.39,15.85,5.21,0,2004,09
CO,15.83,84.17,55.11,15.86,5.21,0,2004,09
CO,15.82,84.18,56.75,15.86,5.21,0,2004,09
CO,17.57,82.43,56.75,15.86,5.21,0,2004,09
CO,17.62,82.38,56.75,17.39,6.89,0,2004,08
CO,15.73,84.27,60.79,18,6.89,0,2004,08
CO,3.1,96.9,65.26,18.9,6.89,0,2004,08
CO,3.1,96.9,67.38,19.69,1.44,0,2004,08
CO,0.33,99.67,78.4,28.57,1.44,0,2004,08
CO,0.44,99.56,72.9,26.04,1.44,0,2004,07
CO,0,100,81.91,43.53,1.38,0,2004,07
CO,0,100,81.47,43.53,1.38,0,2004,07
CO,0,100,80.62,43.46,1.38,0,2004,07
CO,0,100,80.63,43.98,1.39,0,2004,06
CO,0,100,94.92,54.35,1.5,0,2004,06
CO,0,100,94.92,56.1,14.43,0,2004,06
CO,0,100,94.79,56.05,14.3,0,2004,06
CO,0,100,95.07,53.44,14.17,0,2004,06
CO,0,100,93.75,53.93,14.17,0,2004,05
CO,0,100,93.75,47.09,11.64,0,2004,05
CO,0,100,93.75,47.09,11.64,0,2004,05
CO,0,100,93.75,47.09,11.64,0,2004,05
CO,0,100,93.75,47.09,14.44,0,2004,04
CO,0,100,92.31,57.3,24.46,0,2004,04
CO,0,100,92.31,57.3,24.46,0,2004,04
CO,0,100,91.89,58.06,25.48,0,2004,04
CO,0,100,94.61,61.13,26.39,0,2004,03
CO,0,100,94.61,59.09,26.39,0,2004,03
