county,state,none,D0,D1,D2,D3,D4,year,month
"Albany County",WY,19.57,80.43,45.60,22.58,5.17,0.00,2004,12
"Albany County",WY,19.57,80.43,45.60,22.58,5.17,0.00,2004,12
"Albany County",WY,19.57,80.43,45.60,22.58,5.17,0.00,2004,12
"Albany County",WY,19.57,80.43,43.46,23.64,5.17,0.00,2004,12
"Albany County",WY,19.57,80.43,45.60,23.64,5.17,0.00,2004,11
"Albany County",WY,21.37,78.63,44.02,25.01,5.17,0.00,2004,11
"Albany County",WY,21.37,78.63,44.02,25.01,5.17,0.00,2004,11
"Albany County",WY,21.37,78.63,44.02,25.01,5.17,0.00,2004,11
"Albany County",WY,21.37,78.63,44.02,25.01,5.17,0.00,2004,11
"Albany County",WY,23.77,76.23,44.02,25.01,5.17,0.00,2004,10
"Albany County",WY,23.77,76.23,44.02,25.01,5.17,0.00,2004,10
"Albany County",WY,23.77,76.23,44.02,25.01,5.17,0.00,2004,10
"Albany County",WY,23.77,76.23,44.02,25.01,5.17,0.00,2004,10
"Albany County",WY,0.48,99.52,70.52,40.69,11.16,0.00,2004,09
"Albany County",WY,0.00,100.00,71.19,40.69,11.16,0.00,2004,09
"Albany County",WY,0.00,100.00,78.25,40.69,11.16,0.00,2004,09
"Albany County",WY,0.00,100.00,82.20,40.69,11.16,0.00,2004,09
"Albany County",WY,0.00,100.00,82.20,49.01,31.25,0.00,2004,08
"Albany County",WY,0.00,100.00,100.00,76.94,31.25,0.00,2004,08
"Albany County",WY,0.00,100.00,100.00,76.94,31.25,0.00,2004,08
"Albany County",WY,0.00,100.00,100.00,76.94,31.25,0.00,2004,08
"Albany County",WY,0.00,100.00,100.00,76.94,31.25,0.00,2004,08
"Albany County",WY,0.00,100.00,100.00,76.94,30.45,0.00,2004,07
"Albany County",WY,0.00,100.00,100.00,100.00,29.90,0.00,2004,07
"Albany County",WY,0.00,100.00,100.00,100.00,29.90,0.00,2004,07
"Albany County",WY,0.00,100.00,100.00,100.00,29.90,0.00,2004,07
"Albany County",WY,0.00,100.00,100.00,100.00,68.54,0.00,2004,06
"Albany County",WY,0.00,100.00,100.00,100.00,88.60,0.00,2004,06
"Albany County",WY,0.00,100.00,100.00,100.00,100.00,0.00,2004,06
"Albany County",WY,0.00,100.00,100.00,100.00,100.00,0.00,2004,06
"Albany County",WY,0.00,100.00,100.00,100.00,100.00,0.00,2004,06
"Albany County",WY,0.00,100.00,100.00,100.00,100.00,0.00,2004,05
"Albany County",WY,0.00,100.00,100.00,100.00,61.70,0.00,2004,05
"Albany County",WY,0.00,100.00,100.00,100.00,61.70,0.00,2004,05
"Albany County",WY,0.00,100.00,100.00,100.00,61.70,0.00,2004,05
"Albany County",WY,0.00,100.00,100.00,100.00,61.70,0.00,2004,04
"Albany County",WY,0.00,100.00,100.00,97.71,59.74,0.00,2004,04
"Albany County",WY,0.00,100.00,100.00,97.71,59.74,0.00,2004,04
"Albany County",WY,0.00,100.00,100.00,97.71,59.74,0.00,2004,04
"Albany County",WY,0.00,100.00,100.00,97.71,60.43,0.00,2004,03
"Albany County",WY,0.00,100.00,100.00,91.94,49.05,0.00,2004,03
"Albany County",WY,0.00,100.00,100.00,91.66,5.84,0.00,2004,03
"Albany County",WY,0.00,100.00,100.00,91.66,5.84,0.00,2004,03
"Albany County",WY,0.00,100.00,100.00,83.57,5.84,0.00,2004,03
"Albany County",WY,0.00,100.00,100.00,93.38,5.84,0.00,2004,02
"Albany County",WY,0.00,100.00,100.00,93.38,0.93,0.00,2004,02
"Albany County",WY,0.00,100.00,100.00,93.17,0.93,0.00,2004,02
"Albany County",WY,0.00,100.00,100.00,93.17,0.93,0.00,2004,02
"Albany County",WY,0.00,100.00,88.55,54.02,0.93,0.00,2004,01
