county,state,none,D0,D1,D2,D3,D4,year,month
"Baker County",OR,100.00,0.00,0.00,0.00,0.00,0.00,2004,12
"Baker County",OR,100.00,0.00,0.00,0.00,0.00,0.00,2004,12
"Baker County",OR,100.00,0.00,0.00,0.00,0.00,0.00,2004,12
"Baker County",OR,99.73,0.27,0.00,0.00,0.00,0.00,2004,12
"Baker County",OR,99.84,0.16,0.00,0.00,0.00,0.00,2004,11
"Baker County",OR,99.80,0.20,0.00,0.00,0.00,0.00,2004,11
"Baker County",OR,99.80,0.20,0.00,0.00,0.00,0.00,2004,11
"Baker County",OR,99.80,0.20,0.00,0.00,0.00,0.00,2004,11
"Baker County",OR,99.80,0.20,0.00,0.00,0.00,0.00,2004,11
"Baker County",OR,98.74,1.26,0.00,0.00,0.00,0.00,2004,10
"Baker County",OR,98.74,1.26,0.00,0.00,0.00,0.00,2004,10
"Baker County",OR,98.74,1.26,0.00,0.00,0.00,0.00,2004,10
"Baker County",OR,98.74,1.26,0.00,0.00,0.00,0.00,2004,10
"Baker County",OR,98.74,1.26,0.00,0.00,0.00,0.00,2004,09
"Baker County",OR,98.73,1.27,0.00,0.00,0.00,0.00,2004,09
"Baker County",OR,98.77,1.23,0.00,0.00,0.00,0.00,2004,09
"Baker County",OR,99.98,0.02,0.00,0.00,0.00,0.00,2004,09
"Baker County",OR,100.00,0.00,0.00,0.00,0.00,0.00,2004,08
"Baker County",OR,99.98,0.02,0.00,0.00,0.00,0.00,2004,08
"Baker County",OR,93.85,6.15,0.00,0.00,0.00,0.00,2004,08
"Baker County",OR,93.85,6.15,0.00,0.00,0.00,0.00,2004,08
"Baker County",OR,93.83,6.17,0.00,0.00,0.00,0.00,2004,08
"Baker County",OR,93.48,6.52,0.00,0.00,0.00,0.00,2004,07
"Baker County",OR,93.48,6.52,0.00,0.00,0.00,0.00,2004,07
"Baker County",OR,93.48,6.52,0.00,0.00,0.00,0.00,2004,07
"Baker County",OR,93.48,6.52,0.00,0.00,0.00,0.00,2004,07
"Baker County",OR,93.53,6.47,0.00,0.00,0.00,0.00,2004,06
"Baker County",OR,93.48,6.52,0.00,0.00,0.00,0.00,2004,06
"Baker County",OR,93.33,6.67,0.00,0.00,0.00,0.00,2004,06
"Baker County",OR,93.33,6.67,0.00,0.00,0.00,0.00,2004,06
"Baker County",OR,86.86,13.14,0.00,0.00,0.00,0.00,2004,06
"Baker County",OR,92.09,7.91,0.00,0.00,0.00,0.00,2004,05
"Baker County",OR,88.13,11.87,0.00,0.00,0.00,0.00,2004,05
"Baker County",OR,88.13,11.87,0.00,0.00,0.00,0.00,2004,05
"Baker County",OR,86.71,13.29,0.00,0.00,0.00,0.00,2004,05
"Baker County",OR,86.71,13.29,0.00,0.00,0.00,0.00,2004,04
"Baker County",OR,86.71,13.29,0.00,0.00,0.00,0.00,2004,04
"Baker County",OR,86.71,13.29,0.00,0.00,0.00,0.00,2004,04
"Baker County",OR,86.71,13.29,0.00,0.00,0.00,0.00,2004,04
"Baker County",OR,85.28,14.72,0.00,0.00,0.00,0.00,2004,03
"Baker County",OR,85.28,14.72,0.00,0.00,0.00,0.00,2004,03
"Baker County",OR,85.28,14.72,0.00,0.00,0.00,0.00,2004,03
"Baker County",OR,85.28,14.72,0.00,0.00,0.00,0.00,2004,03
"Baker County",OR,85.28,14.72,0.00,0.00,0.00,0.00,2004,03
"Baker County",OR,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Baker County",OR,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Baker County",OR,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Baker County",OR,0.00,100.00,12.26,0.00,0.00,0.00,2004,02
"Baker County",OR,0.00,100.00,93.19,0.00,0.00,0.00,2004,01
"Baker County",OR,0.00,100.00,99.96,0.00,0.00,0.00,2004,01
"Baker County",OR,0.00,100.00,99.34,0.00,0.00,0.00,2004,01
"Baker County",OR,0.00,100.00,100.00,28.76,0.00,0.00,2004,01
"Baker County",OR,0.00,100.00,100.00,70.41,0.00,0.00,2003,12
"Baker County",OR,0.00,100.00,100.00,95.76,42.15,0.00,2003,12
"Baker County",OR,0.00,100.00,100.00,94.73,45.39,0.00,2003,12
"Baker County",OR,0.00,100.00,100.00,85.80,29.43,0.00,2003,12
"Baker County",OR,0.00,100.00,100.00,64.17,0.00,0.00,2003,12
