year,value,anomaly,month,type,state
2000,25.7,3.7,01,temp,ID
2001,23.0,1.0,01,temp,ID
2002,23.2,1.2,01,temp,ID
2003,31.4,9.4,01,temp,ID
2004,22.8,0.8,01,temp,ID
2005,26.5,4.5,01,temp,ID
2006,27.9,5.9,01,temp,ID
2007,20.7,-1.3,01,temp,ID
2008,19.9,-2.1,01,temp,ID
2009,25.0,3.0,01,temp,ID
2010,28.2,6.2,01,temp,ID
2011,24.0,2.0,01,temp,ID
2012,26.8,4.8,01,temp,ID
2013,20.2,-1.8,01,temp,ID
2014,27.7,5.7,01,temp,ID
2015,28.7,6.7,01,temp,ID
2016,25.8,3.8,01,temp,ID
2017,18.5,-3.5,01,temp,ID
2018,30.5,8.5,01,temp,ID
2019,26.2,4.2,01,temp,ID
2000,32.0,5.6,02,temp,ID
2001,25.1,-1.3,02,temp,ID
2002,23.9,-2.5,02,temp,ID
2003,27.1,0.7,02,temp,ID
2004,26.3,-0.1,02,temp,ID
2005,28.5,2.1,02,temp,ID
2006,24.4,-2.0,02,temp,ID
2007,30.8,4.4,02,temp,ID
2008,27.6,1.2,02,temp,ID
2009,27.6,1.2,02,temp,ID
2010,28.9,2.5,02,temp,ID
2011,24.3,-2.1,02,temp,ID
2012,28.0,1.6,02,temp,ID
2013,27.5,1.1,02,temp,ID
2014,28.0,1.6,02,temp,ID
2015,35.2,8.8,02,temp,ID
2016,31.9,5.5,02,temp,ID
2017,29.5,3.1,02,temp,ID
2018,26.2,-0.2,02,temp,ID
2019,23.2,-3.2,02,temp,ID
2000,34.5,1.9,03,temp,ID
2001,36.6,4.0,03,temp,ID
2002,30.1,-2.5,03,temp,ID
2003,36.3,3.7,03,temp,ID
2004,39.3,6.7,03,temp,ID
2005,35.9,3.3,03,temp,ID
2006,32.4,-0.2,03,temp,ID
2007,38.9,6.3,03,temp,ID
2008,30.3,-2.3,03,temp,ID
2009,31.4,-1.2,03,temp,ID
2010,35.2,2.6,03,temp,ID
2011,33.4,0.8,03,temp,ID
2012,36.4,3.8,03,temp,ID
