year,value,anomaly,month,type,state
2000,-1.22,-1.20,01,drought,OR
2001,-3.46,-3.44,01,drought,OR
2002,-1.61,-1.59,01,drought,OR
2003,-3.24,-3.22,01,drought,OR
2004,-2.11,-2.09,01,drought,OR
2005,-2.53,-2.51,01,drought,OR
2006,2.87,2.89,01,drought,OR
2007,-0.75,-0.73,01,drought,OR
2008,-0.56,-0.54,01,drought,OR
2009,-2.65,-2.63,01,drought,OR
2010,-1.61,-1.59,01,drought,OR
2011,2.04,2.06,01,drought,OR
2012,0.34,0.36,01,drought,OR
2013,-0.76,-0.74,01,drought,OR
2014,-3.12,-3.10,01,drought,OR
2015,-1.89,-1.87,01,drought,OR
2016,-1.45,-1.43,01,drought,OR
2017,1.91,1.93,01,drought,OR
2018,-1.85,-1.83,01,drought,OR
2019,-3.93,-3.91,01,drought,OR
2000,-0.79,-0.81,02,drought,OR
2001,-3.95,-3.97,02,drought,OR
2002,-2.08,-2.10,02,drought,OR
2003,-3.50,-3.52,02,drought,OR
2004,-1.83,-1.85,02,drought,OR
2005,-3.48,-3.50,02,drought,OR
2006,-0.54,-0.56,02,drought,OR
2007,-0.38,-0.40,02,drought,OR
2008,-1.09,-1.11,02,drought,OR
2009,-2.94,-2.96,02,drought,OR
2010,-2.03,-2.05,02,drought,OR
2011,1.71,1.69,02,drought,OR
2012,-0.35,-0.37,02,drought,OR
2013,-1.60,-1.62,02,drought,OR
2014,-1.92,-1.94,02,drought,OR
2015,-2.01,-2.03,02,drought,OR
2016,-2.04,-2.06,02,drought,OR
2017,2.91,2.89,02,drought,OR
2018,-2.21,-2.23,02,drought,OR
2019,-2.16,-2.18,02,drought,OR
2000,-1.12,-1.04,03,drought,OR
2001,-4.18,-4.10,03,drought,OR
2002,-2.02,-1.94,03,drought,OR
2003,-2.67,-2.59,03,drought,OR
2004,-2.77,-2.69,03,drought,OR
2005,-3.39,-3.31,03,drought,OR
2006,-0.28,-0.20,03,drought,OR
2007,-1.25,-1.17,03,drought,OR
2008,-0.95,-0.87,03,drought,OR
2009,-2.36,-2.28,03,drought,OR
2010,-1.89,-1.81,03,drought,OR
2011,2.86,2.94,03,drought,OR
2012,1.69,1.77,03,drought,OR
2013,-2.37,-2.29,03,drought,OR
2014,-0.99,-0.91,03,drought,OR
2015,-2.65,-2.57,03,drought,OR
2016,-1.34,-1.26,03,drought,OR
2017,3.47,3.55,03,drought,OR
2018,-2.06,-1.98,03,drought,OR
2019,-2.68,-2.60,03,drought,OR
2000,-1.33,-1.22,04,drought,OR
2001,-3.48,-3.37,04,drought,OR
2002,-1.81,-1.70,04,drought,OR
2003,-1.37,-1.26,04,drought,OR
2004,-2.87,-2.76,04,drought,OR
2005,0.43,0.54,04,drought,OR
2006,-0.09,0.02,04,drought,OR
2007,-1.20,-1.09,04,drought,OR
2008,-0.77,-0.66,04,drought,OR
2009,-2.23,-2.12,04,drought,OR
2010,0.91,1.02,04,drought,OR
2011,3.64,3.75,04,drought,OR
2012,1.92,2.03,04,drought,OR
2013,-2.23,-2.12,04,drought,OR
2014,-0.89,-0.78,04,drought,OR
2015,-2.80,-2.69,04,drought,OR
2016,-1.80,-1.69,04,drought,OR
2017,3.97,4.08,04,drought,OR
2018,-1.42,-1.31,04,drought,OR
2019,-1.34,-1.23,04,drought,OR
2000,-1.18,-1.12,05,drought,OR
2001,-3.71,-3.65,05,drought,OR
2002,-2.08,-2.02,05,drought,OR
2003,-1.32,-1.26,05,drought,OR
2004,-2.16,-2.10,05,drought,OR
2005,1.73,1.79,05,drought,OR
2006,-0.22,-0.16,05,drought,OR
2007,-1.74,-1.68,05,drought,OR
2008,-0.78,-0.72,05,drought,OR
2009,-1.81,-1.75,05,drought,OR
2010,1.53,1.59,05,drought,OR
2011,4.18,4.24,05,drought,OR
2012,1.65,1.71,05,drought,OR
2013,-1.88,-1.82,05,drought,OR
