year,value,anomaly,month,type,state
2000,1.18,0.12,01,precip,WY
2001,0.37,-0.69,01,precip,WY
2002,0.67,-0.39,01,precip,WY
2003,0.81,-0.25,01,precip,WY
2004,0.61,-0.45,01,precip,WY
2005,0.95,-0.11,01,precip,WY
2006,0.99,-0.07,01,precip,WY
2007,0.70,-0.36,01,precip,WY
2008,1.07,0.01,01,precip,WY
2009,1.34,0.28,01,precip,WY
2010,0.59,-0.47,01,precip,WY
2011,1.01,-0.05,01,precip,WY
2012,0.92,-0.14,01,precip,WY
2013,0.74,-0.32,01,precip,WY
2014,0.94,-0.12,01,precip,WY
2015,0.62,-0.44,01,precip,WY
2016,0.87,-0.19,01,precip,WY
2017,1.66,0.60,01,precip,WY
2018,0.90,-0.16,01,precip,WY
2019,0.90,-0.16,01,precip,WY
2020,1.01,-0.05,01,precip,WY
2021,0.66,-0.40,01,precip,WY
2000,1.18,0.21,02,precip,WY
2001,0.92,-0.05,02,precip,WY
2002,0.51,-0.46,02,precip,WY
2003,1.11,0.14,02,precip,WY
2004,1.07,0.10,02,precip,WY
2005,0.55,-0.42,02,precip,WY
2006,0.80,-0.17,02,precip,WY
2007,0.90,-0.07,02,precip,WY
2008,0.96,-0.01,02,precip,WY
2009,0.64,-0.33,02,precip,WY
2010,0.58,-0.39,02,precip,WY
2011,1.03,0.06,02,precip,WY
2012,1.29,0.32,02,precip,WY
2013,0.79,-0.18,02,precip,WY
2014,1.70,0.73,02,precip,WY
2015,0.94,-0.03,02,precip,WY
2016,0.80,-0.17,02,precip,WY
2017,2.02,1.05,02,precip,WY
2018,1.22,0.25,02,precip,WY
2019,1.40,0.43,02,precip,WY
2020,1.21,0.24,02,precip,WY
2021,1.25,0.28,02,precip,WY
2000,1.06,-0.19,03,precip,WY
2001,0.68,-0.57,03,precip,WY
2002,1.38,0.13,03,precip,WY
2003,2.06,0.81,03,precip,WY
2004,0.44,-0.81,03,precip,WY
2005,1.01,-0.24,03,precip,WY
2006,1.13,-0.12,03,precip,WY
2007,1.41,0.16,03,precip,WY
2008,1.30,0.05,03,precip,WY
2009,1.60,0.35,03,precip,WY
2010,1.11,-0.14,03,precip,WY
2011,1.48,0.23,03,precip,WY
2012,0.57,-0.68,03,precip,WY
2013,0.71,-0.54,03,precip,WY
2014,1.76,0.51,03,precip,WY
2015,0.58,-0.67,03,precip,WY
2016,1.99,0.74,03,precip,WY
2017,1.88,0.63,03,precip,WY
2018,1.40,0.15,03,precip,WY
2019,1.27,0.02,03,precip,WY
2020,1.03,-0.22,03,precip,WY
2021,1.27,0.02,03,precip,WY
2000,1.75,-0.02,04,precip,WY
2001,1.74,-0.03,04,precip,WY
2002,1.34,-0.43,04,precip,WY
2003,1.52,-0.25,04,precip,WY
2004,1.52,-0.25,04,precip,WY
2005,1.84,0.07,04,precip,WY
2006,1.20,-0.57,04,precip,WY
2007,1.20,-0.57,04,precip,WY
2008,0.94,-0.83,04,precip,WY
2009,2.50,0.73,04,precip,WY
2010,2.32,0.55,04,precip,WY
