year,value,anomaly,month,type,state
2000,38.9,5.3,01,temp,NM
2001,31.8,-1.8,01,temp,NM
2002,36.0,2.4,01,temp,NM
2003,40.2,6.6,01,temp,NM
2004,36.6,3.0,01,temp,NM
2005,39.9,6.3,01,temp,NM
2006,38.2,4.6,01,temp,NM
2007,30.8,-2.8,01,temp,NM
2008,32.5,-1.1,01,temp,NM
2009,37.8,4.2,01,temp,NM
2010,33.6,0.0,01,temp,NM
2011,33.8,0.2,01,temp,NM
2012,38.6,5.0,01,temp,NM
2013,32.0,-1.6,01,temp,NM
2014,36.4,2.8,01,temp,NM
2015,35.6,2.0,01,temp,NM
2016,34.3,0.7,01,temp,NM
2017,37.2,3.6,01,temp,NM
2018,37.0,3.4,01,temp,NM
2019,35.6,2.0,01,temp,NM
2020,37.0,3.4,01,temp,NM
2021,35.1,1.5,01,temp,NM
2000,43.7,5.9,02,temp,NM
2001,39.3,1.5,02,temp,NM
2002,37.0,-0.8,02,temp,NM
2003,38.6,0.8,02,temp,NM
2004,35.0,-2.8,02,temp,NM
2005,40.1,2.3,02,temp,NM
2006,40.1,2.3,02,temp,NM
2007,39.2,1.4,02,temp,NM
2008,39.6,1.8,02,temp,NM
2009,41.8,4.0,02,temp,NM
2010,35.1,-2.7,02,temp,NM
2011,35.0,-2.8,02,temp,NM
2012,38.2,0.4,02,temp,NM
2013,36.1,-1.7,02,temp,NM
2014,41.9,4.1,02,temp,NM
2015,41.4,3.6,02,temp,NM
2016,42.0,4.2,02,temp,NM
2017,44.5,6.7,02,temp,NM
2018,41.3,3.5,02,temp,NM
2019,38.1,0.3,02,temp,NM
2020,38.5,0.7,02,temp,NM
2021,37.2,-0.6,02,temp,NM
2000,45.7,2.2,03,temp,NM
2001,44.4,0.9,03,temp,NM
2002,43.6,0.1,03,temp,NM
2003,45.1,1.6,03,temp,NM
2004,49.7,6.2,03,temp,NM
2005,43.1,-0.4,03,temp,NM
2006,45.3,1.8,03,temp,NM
2007,47.6,4.1,03,temp,NM
2008,44.9,1.4,03,temp,NM
2009,47.2,3.7,03,temp,NM
2010,43.1,-0.4,03,temp,NM
2011,49.2,5.7,03,temp,NM
2012,47.8,4.3,03,temp,NM
2013,46.6,3.1,03,temp,NM
2014,46.0,2.5,03,temp,NM
2015,47.6,4.1,03,temp,NM
2016,48.3,4.8,03,temp,NM
2017,51.2,7.7,03,temp,NM
2018,47.2,3.7,03,temp,NM
2019,45.6,2.1,03,temp,NM
2020,48.0,4.5,03,temp,NM
2021,44.8,1.3,03,temp,NM
2000,55.5,4.1,04,temp,NM
2001,54.2,2.8,04,temp,NM
2002,57.3,5.9,04,temp,NM
2003,52.9,1.5,04,temp,NM
2004,51.4,0.0,04,temp,NM
2005,51.7,0.3,04,temp,NM
2006,56.2,4.8,04,temp,NM
2007,51.6,0.2,04,temp,NM
2008,51.6,0.2,04,temp,NM
2009,51.7,0.3,04,temp,NM
2010,52.7,1.3,04,temp,NM
2011,55.6,4.2,04,temp,NM
2012,56.6,5.2,04,temp,NM
2013,52.6,1.2,04,temp,NM
2014,52.3,0.9,04,temp,NM
2015,52.5,1.1,04,temp,NM
2016,52.3,0.9,04,temp,NM
2017,53.7,2.3,04,temp,NM
2018,55.1,3.7,04,temp,NM
2019,53.9,2.5,04,temp,NM
2020,54.0,2.6,04,temp,NM
2021,53.3,1.9,04,temp,NM
2000,66.0,5.8,05,temp,NM
2001,63.1,2.9,05,temp,NM
2002,62.7,2.5,05,temp,NM
2003,63.2,3.0,05,temp,NM
2004,63.1,2.9,05,temp,NM
2005,61.6,1.4,05,temp,NM
2006,65.0,4.8,05,temp,NM
2007,60.0,-0.2,05,temp,NM
2008,60.2,0.0,05,temp,NM
2009,63.6,3.4,05,temp,NM
2010,59.9,-0.3,05,temp,NM
2011,59.6,-0.6,05,temp,NM
2012,63.4,3.2,05,temp,NM
2013,61.6,1.4,05,temp,NM
2014,60.1,-0.1,05,temp,NM
2015,58.3,-1.9,05,temp,NM
2016,59.4,-0.8,05,temp,NM
2017,60.1,-0.1,05,temp,NM
2018,65.5,5.3,05,temp,NM
2019,58.1,-2.1,05,temp,NM
2020,65.1,4.9,05,temp,NM
2021,62.5,2.3,05,temp,NM
2000,70.7,1.5,06,temp,NM
2001,71.5,2.3,06,temp,NM
2002,73.8,4.6,06,temp,NM
2003,69.2,0.0,06,temp,NM
2004,69.9,0.7,06,temp,NM
2005,69.8,0.6,06,temp,NM
2006,73.0,3.8,06,temp,NM
2007,69.8,0.6,06,temp,NM
2008,71.9,2.7,06,temp,NM
2009,69.0,-0.2,06,temp,NM
2010,72.6,3.4,06,temp,NM
2011,73.1,3.9,06,temp,NM
2012,74.2,5.0,06,temp,NM
2013,74.1,4.9,06,temp,NM
2014,72.4,3.2,06,temp,NM
2015,71.6,2.4,06,temp,NM
2016,73.0,3.8,06,temp,NM
2017,72.8,3.6,06,temp,NM
2018,74.3,5.1,06,temp,NM
2019,69.4,0.2,06,temp,NM
2020,72.5,3.3,06,temp,NM
2000,74.6,1.9,07,temp,NM
2001,75.2,2.5,07,temp,NM
2002,73.8,1.1,07,temp,NM
2003,76.8,4.1,07,temp,NM
2004,72.3,-0.4,07,temp,NM
2005,75.0,2.3,07,temp,NM
2006,74.6,1.9,07,temp,NM
2007,73.3,0.6,07,temp,NM
2008,72.0,-0.7,07,temp,NM
2009,74.8,2.1,07,temp,NM
2010,73.4,0.7,07,temp,NM
2011,76.6,3.9,07,temp,NM
2012,74.4,1.7,07,temp,NM
2013,73.0,0.3,07,temp,NM
2014,74.2,1.5,07,temp,NM
2015,73.1,0.4,07,temp,NM
2016,76.9,4.2,07,temp,NM
2017,74.6,1.9,07,temp,NM
2018,75.1,2.4,07,temp,NM
2019,75.5,2.8,07,temp,NM
2020,76.4,3.7,07,temp,NM
2000,73.2,2.3,08,temp,NM
2001,71.5,0.6,08,temp,NM
2002,73.2,2.3,08,temp,NM
2003,73.5,2.6,08,temp,NM
2004,69.3,-1.6,08,temp,NM
2005,70.8,-0.1,08,temp,NM
2006,70.2,-0.7,08,temp,NM
2007,73.7,2.8,08,temp,NM
2008,71.0,0.1,08,temp,NM
2009,72.2,1.3,08,temp,NM
2010,72.3,1.4,08,temp,NM
2011,76.0,5.1,08,temp,NM
2012,73.9,3.0,08,temp,NM
2013,72.3,1.4,08,temp,NM
2014,70.5,-0.4,08,temp,NM
2015,73.4,2.5,08,temp,NM
2016,70.1,-0.8,08,temp,NM
2017,70.8,-0.1,08,temp,NM
2018,73.0,2.1,08,temp,NM
2019,75.3,4.4,08,temp,NM
2020,76.0,5.1,08,temp,NM
2000,68.0,3.5,09,temp,NM
2001,66.7,2.2,09,temp,NM
2002,65.4,0.9,09,temp,NM
2003,66.0,1.5,09,temp,NM
2004,63.9,-0.6,09,temp,NM
2005,67.3,2.8,09,temp,NM
2006,60.9,-3.6,09,temp,NM
2007,67.0,2.5,09,temp,NM
2008,63.7,-0.8,09,temp,NM
2009,63.9,-0.6,09,temp,NM
2010,68.3,3.8,09,temp,NM
2011,66.3,1.8,09,temp,NM
2012,66.2,1.7,09,temp,NM
2013,66.0,1.5,09,temp,NM
2014,66.5,2.0,09,temp,NM
2015,69.0,4.5,09,temp,NM
2016,65.9,1.4,09,temp,NM
2017,66.4,1.9,09,temp,NM
2018,66.9,2.4,09,temp,NM
2019,69.0,4.5,09,temp,NM
2020,65.3,0.8,09,temp,NM
2000,53.9,-0.2,10,temp,NM
2001,56.8,2.7,10,temp,NM
2002,52.8,-1.3,10,temp,NM
2003,58.9,4.8,10,temp,NM
2004,54.2,0.1,10,temp,NM
2005,55.2,1.1,10,temp,NM
2006,53.6,-0.5,10,temp,NM
2007,56.5,2.4,10,temp,NM
2008,54.9,0.8,10,temp,NM
2009,52.5,-1.6,10,temp,NM
2010,56.7,2.6,10,temp,NM
2011,55.3,1.2,10,temp,NM
2012,56.1,2.0,10,temp,NM
2013,52.6,-1.5,10,temp,NM
2014,57.4,3.3,10,temp,NM
2015,57.5,3.4,10,temp,NM
2016,59.6,5.5,10,temp,NM
2017,56.4,2.3,10,temp,NM
2018,53.9,-0.2,10,temp,NM
2019,52.2,-1.9,10,temp,NM
2020,56.7,2.6,10,temp,NM
2000,37.1,-5.0,11,temp,NM
2001,45.7,3.6,11,temp,NM
2002,42.5,0.4,11,temp,NM
2003,44.6,2.5,11,temp,NM
2004,41.4,-0.7,11,temp,NM
2005,45.3,3.2,11,temp,NM
2006,45.3,3.2,11,temp,NM
2007,46.1,4.0,11,temp,NM
2008,44.6,2.5,11,temp,NM
2009,45.2,3.1,11,temp,NM
2010,42.0,-0.1,11,temp,NM
2011,43.5,1.4,11,temp,NM
2012,46.6,4.5,11,temp,NM
2013,42.7,0.6,11,temp,NM
2014,42.4,0.3,11,temp,NM
2015,43.4,1.3,11,temp,NM
2016,46.7,4.6,11,temp,NM
2017,50.2,8.1,11,temp,NM
2018,41.2,-0.9,11,temp,NM
2019,43.5,1.4,11,temp,NM
2020,47.7,5.6,11,temp,NM
2000,35.2,0.9,12,temp,NM
2001,34.7,0.4,12,temp,NM
2002,34.5,0.2,12,temp,NM
2003,36.8,2.5,12,temp,NM
2004,35.7,1.4,12,temp,NM
2005,36.8,2.5,12,temp,NM
2006,34.5,0.2,12,temp,NM
2007,35.0,0.7,12,temp,NM
2008,36.8,2.5,12,temp,NM
2009,31.6,-2.7,12,temp,NM
2010,40.4,6.1,12,temp,NM
2011,31.4,-2.9,12,temp,NM
2012,36.0,1.7,12,temp,NM
2013,34.5,0.2,12,temp,NM
2014,37.6,3.3,12,temp,NM
2015,35.9,1.6,12,temp,NM
2016,37.8,3.5,12,temp,NM
2017,38.7,4.4,12,temp,NM
2018,35.6,1.3,12,temp,NM
2019,37.2,2.9,12,temp,NM
2020,35.0,0.7,12,temp,NM
