year,value,anomaly,month,type,state
2000,50.7,5.3,01,temp,TX
2001,43.9,-1.5,01,temp,TX
2002,48.7,3.3,01,temp,TX
2003,46.2,0.8,01,temp,TX
2004,48.9,3.5,01,temp,TX
2005,50.7,5.3,01,temp,TX
2006,52.9,7.5,01,temp,TX
2007,42.5,-2.9,01,temp,TX
2008,46.1,0.7,01,temp,TX
2009,47.9,2.5,01,temp,TX
2010,44.4,-1.0,01,temp,TX
2011,45.0,-0.4,01,temp,TX
2012,50.4,5.0,01,temp,TX
2013,47.9,2.5,01,temp,TX
2014,44.5,-0.9,01,temp,TX
2015,44.0,-1.4,01,temp,TX
2016,46.4,1.0,01,temp,TX
2017,50.8,5.4,01,temp,TX
2018,43.8,-1.6,01,temp,TX
2019,47.2,1.8,01,temp,TX
2020,50.7,5.3,01,temp,TX
2021,47.3,1.9,01,temp,TX
2000,57.0,7.6,02,temp,TX
2001,51.9,2.5,02,temp,TX
2002,47.1,-2.3,02,temp,TX
2003,48.3,-1.1,02,temp,TX
2004,47.4,-2.0,02,temp,TX
2005,51.9,2.5,02,temp,TX
2006,50.2,0.8,02,temp,TX
2007,49.4,0.0,02,temp,TX
2008,53.2,3.8,02,temp,TX
2009,55.5,6.1,02,temp,TX
2010,44.0,-5.4,02,temp,TX
2011,48.7,-0.7,02,temp,TX
2012,51.8,2.4,02,temp,TX
2013,51.7,2.3,02,temp,TX
2014,48.4,-1.0,02,temp,TX
2015,48.2,-1.2,02,temp,TX
2016,54.4,5.0,02,temp,TX
2017,58.4,9.0,02,temp,TX
2018,52.3,2.9,02,temp,TX
2019,51.9,2.5,02,temp,TX
2020,49.4,0.0,02,temp,TX
2021,44.2,-5.2,02,temp,TX
2000,61.4,5.1,03,temp,TX
2001,53.3,-3.0,03,temp,TX
2002,55.4,-0.9,03,temp,TX
2003,57.2,0.9,03,temp,TX
2004,61.8,5.5,03,temp,TX
2005,56.5,0.2,03,temp,TX
2006,61.1,4.8,03,temp,TX
2007,61.9,5.6,03,temp,TX
2008,58.4,2.1,03,temp,TX
2009,59.5,3.2,03,temp,TX
2010,54.8,-1.5,03,temp,TX
2011,61.8,5.5,03,temp,TX
2012,63.2,6.9,03,temp,TX
2013,57.2,0.9,03,temp,TX
2014,54.8,-1.5,03,temp,TX
2015,56.2,-0.1,03,temp,TX
2016,61.2,4.9,03,temp,TX
2017,63.6,7.3,03,temp,TX
2018,61.7,5.4,03,temp,TX
2019,55.7,-0.6,03,temp,TX
2020,63.2,6.9,03,temp,TX
2021,59.3,3.0,03,temp,TX
2000,66.1,1.3,04,temp,TX
2001,67.8,3.0,04,temp,TX
2002,69.1,4.3,04,temp,TX
2003,66.6,1.8,04,temp,TX
2004,64.3,-0.5,04,temp,TX
2005,64.3,-0.5,04,temp,TX
2006,70.7,5.9,04,temp,TX
2007,61.7,-3.1,04,temp,TX
2008,65.3,0.5,04,temp,TX
2009,64.8,0.0,04,temp,TX
2010,65.0,0.2,04,temp,TX
2011,70.3,5.5,04,temp,TX
2012,70.2,5.4,04,temp,TX
2013,63.0,-1.8,04,temp,TX
2014,65.4,0.6,04,temp,TX
2015,66.6,1.8,04,temp,TX
2016,66.1,1.3,04,temp,TX
2017,67.1,2.3,04,temp,TX
2018,63.0,-1.8,04,temp,TX
2019,65.0,0.2,04,temp,TX
2020,65.1,0.3,04,temp,TX
2021,63.7,-1.1,04,temp,TX
2000,76.9,4.4,05,temp,TX
2001,74.1,1.6,05,temp,TX
2002,74.0,1.5,05,temp,TX
2003,75.8,3.3,05,temp,TX
2004,73.7,1.2,05,temp,TX
2005,71.8,-0.7,05,temp,TX
2006,75.7,3.2,05,temp,TX
2007,71.4,-1.1,05,temp,TX
2008,74.3,1.8,05,temp,TX
2009,73.6,1.1,05,temp,TX
2010,73.8,1.3,05,temp,TX
2011,74.1,1.6,05,temp,TX
2012,75.5,3.0,05,temp,TX
2013,72.5,0.0,05,temp,TX
2014,72.0,-0.5,05,temp,TX
2015,71.6,-0.9,05,temp,TX
2016,71.6,-0.9,05,temp,TX
2017,72.0,-0.5,05,temp,TX
2018,78.0,5.5,05,temp,TX
2019,72.5,0.0,05,temp,TX
2020,74.5,2.0,05,temp,TX
2021,71.8,-0.7,05,temp,TX
2000,78.6,-1.0,06,temp,TX
2001,80.9,1.3,06,temp,TX
2002,80.6,1.0,06,temp,TX
2003,78.5,-1.1,06,temp,TX
2004,78.7,-0.9,06,temp,TX
2005,80.5,0.9,06,temp,TX
2006,80.8,1.2,06,temp,TX
2007,77.9,-1.7,06,temp,TX
2008,82.9,3.3,06,temp,TX
2009,81.7,2.1,06,temp,TX
2010,82.7,3.1,06,temp,TX
2011,85.2,5.6,06,temp,TX
2012,82.4,2.8,06,temp,TX
2013,81.8,2.2,06,temp,TX
2014,80.6,1.0,06,temp,TX
2015,79.3,-0.3,06,temp,TX
2016,80.1,0.5,06,temp,TX
2017,80.6,1.0,06,temp,TX
2018,83.9,4.3,06,temp,TX
2019,79.0,-0.6,06,temp,TX
2020,80.6,1.0,06,temp,TX
2000,84.1,1.8,07,temp,TX
2001,85.1,2.8,07,temp,TX
2002,80.9,-1.4,07,temp,TX
2003,82.1,-0.2,07,temp,TX
2004,80.7,-1.6,07,temp,TX
2005,82.4,0.1,07,temp,TX
2006,83.4,1.1,07,temp,TX
2007,79.0,-3.3,07,temp,TX
2008,81.7,-0.6,07,temp,TX
2009,84.1,1.8,07,temp,TX
2010,81.4,-0.9,07,temp,TX
2011,87.0,4.7,07,temp,TX
2012,83.4,1.1,07,temp,TX
2013,81.3,-1.0,07,temp,TX
2014,81.7,-0.6,07,temp,TX
2015,83.2,0.9,07,temp,TX
2016,85.4,3.1,07,temp,TX
2017,83.6,1.3,07,temp,TX
2018,84.5,2.2,07,temp,TX
2019,82.7,0.4,07,temp,TX
2020,85.1,2.8,07,temp,TX
2000,84.2,2.3,08,temp,TX
2001,82.8,0.9,08,temp,TX
2002,82.8,0.9,08,temp,TX
2003,82.9,1.0,08,temp,TX
2004,79.2,-2.7,08,temp,TX
2005,81.3,-0.6,08,temp,TX
2006,83.6,1.7,08,temp,TX
2007,81.8,-0.1,08,temp,TX
2008,80.8,-1.1,08,temp,TX
2009,83.3,1.4,08,temp,TX
