year,month,value,anomaly
2000,01,2.4,0.1
2000,02,2.4,0.4
2000,03,1.9,0.0
2000,04,1.3,-0.3
2000,05,1.6,-0.2
2000,06,1.4,0.0
2000,07,0.7,-0.6
2000,08,0.9,-0.4
2000,09,1.0,-0.3
2000,10,2.5,0.9
2000,11,1.5,-0.5
2000,12,1.2,-1.0
2001,01,1.6,-0.7
2001,02,1.5,-0.5
2001,03,1.7,-0.2
2001,04,1.7,0.0
2001,05,1.2,-0.6
2001,06,1.3,-0.2
2001,07,1.3,0.0
2001,08,1.2,-0.1
2001,09,0.9,-0.5
2001,10,1.3,-0.3
2001,11,2.5,0.4
2001,12,2.6,0.3
2002,01,1.9,-0.3
2002,02,1.1,-0.8
2002,03,1.6,-0.3
2002,04,1.3,-0.3
2002,05,1.0,-0.8
2002,06,1.1,-0.4
2002,07,1.2,-0.1
2002,08,0.9,-0.5
2002,09,1.5,0.1
2002,10,1.3,-0.3
2002,11,1.5,-0.5
2002,12,2.9,0.6
2003,01,1.9,-0.4
2003,02,1.8,-0.2
2003,03,2.5,0.5
2003,04,2.0,0.3
2003,05,1.3,-0.4
2003,06,1.2,-0.3
2003,07,0.7,-0.6
2003,08,1.1,-0.2
2003,09,1.2,-0.2
2003,10,1.3,-0.3
2003,11,2.0,0.0
2003,12,2.5,0.3
2004,01,2.0,-0.3
2004,02,2.2,0.2
2004,03,1.1,-0.8
2004,04,1.8,0.2
2004,05,1.6,-0.2
2004,06,1.6,0.1
2004,07,1.2,-0.1
2004,08,1.7,0.4
2004,09,1.6,0.3
2004,10,2.6,1.0
2004,11,2.0,0.0
2004,12,2.1,-0.1
2005,01,2.4,0.2
2005,02,1.6,-0.3
2005,03,2.0,0.1
2005,04,1.8,0.2
2005,05,2.5,0.8
2005,06,1.6,0.2
2005,07,0.9,-0.4
2005,08,1.4,0.1
2005,09,1.0,-0.4
2005,10,1.8,0.2
2005,11,1.8,-0.2
2005,12,2.8,0.6
2006,01,3.1,0.8
2006,02,1.3,-0.7
2006,03,2.3,0.4
2006,04,1.9,0.2
2006,05,1.2,-0.5
2006,06,1.1,-0.3
2006,07,1.3,0.0
2006,08,1.3,0.0
2006,09,1.5,0.1
2006,10,1.8,0.2
2006,11,2.8,0.8
2006,12,2.2,0.0
2007,01,1.5,-0.7
2007,02,1.9,-0.1
2007,03,1.8,-0.2
2007,04,1.4,-0.2
2007,05,1.7,0.0
2007,06,1.3,-0.1
2007,07,1.5,0.2
2007,08,1.2,-0.1
2007,09,1.4,0.0
2007,10,1.6,0.0
2007,11,1.3,-0.8
2007,12,2.9,0.7
2008,01,2.7,0.5
2008,02,1.7,-0.3
2008,03,1.4,-0.5
2008,04,1.0,-0.7
2008,05,1.8,0.1
2008,06,1.1,-0.4
2008,07,1.1,-0.1
2008,08,1.6,0.3
2008,09,1.0,-0.4
2008,10,1.2,-0.4
2008,11,2.0,-0.1
2008,12,2.4,0.2
2009,01,1.7,-0.6
2009,02,1.4,-0.6
2009,03,1.9,0.0
2009,04,1.7,0.1
2009,05,1.6,-0.1
2009,06,1.9,0.4
2009,07,1.3,0.0
2009,08,1.0,-0.3
2009,09,1.1,-0.3
2009,10,2.3,0.7
2009,11,1.5,-0.6
2009,12,1.8,-0.4
2010,01,2.7,0.5
2010,02,1.7,-0.3
2010,03,1.8,-0.2
2010,04,2.3,0.6
2010,05,2.1,0.3
2010,06,1.8,0.4
2010,07,1.5,0.2
2010,08,1.2,-0.1
2010,09,1.3,0.0
2010,10,2.1,0.4
2010,11,2.0,0.0
2010,12,3.4,1.2
2011,01,1.6,-0.6
2011,02,1.7,-0.3
2011,03,2.7,0.8
2011,04,2.1,0.4
2011,05,2.6,0.9
2011,06,1.2,-0.3
2011,07,1.2,-0.1
2011,08,0.8,-0.6
2011,09,0.8,-0.5
2011,10,1.8,0.2
2011,11,1.7,-0.3
2011,12,1.4,-0.8
2012,01,2.2,-0.1
2012,02,1.6,-0.4
2012,03,2.7,0.8
2012,04,1.6,0.0
2012,05,1.3,-0.4
2012,06,1.1,-0.3
2012,07,1.4,0.1
2012,08,0.9,-0.5
2012,09,0.9,-0.5
2012,10,1.7,0.1
2012,11,2.0,-0.1
2012,12,3.0,0.7
2013,01,1.5,-0.7
2013,02,0.9,-1.0
2013,03,1.1,-0.8
2013,04,1.5,-0.2
2013,05,1.7,-0.1
2013,06,1.1,-0.4
2013,07,1.5,0.2
2013,08,1.3,0.0
2013,09,3.1,1.7
2013,10,1.2,-0.4
2013,11,1.5,-0.5
2013,12,1.2,-1.1
2014,01,1.2,-1.1
2014,02,2.3,0.3
2014,03,2.5,0.6
2014,04,1.4,-0.2
2014,05,1.6,-0.2
2014,06,1.2,-0.3
2014,07,1.3,0.1
2014,08,2.0,0.7
2014,09,2.0,0.6
2014,10,1.5,-0.1
2014,11,2.1,0.0
2014,12,2.7,0.4
2015,01,1.6,-0.6
2015,02,1.6,-0.4
2015,03,1.5,-0.4
2015,04,1.4,-0.2
2015,05,3.1,1.4
2015,06,1.3,-0.2
2015,07,1.6,0.3
2015,08,1.1,-0.2
2015,09,1.0,-0.4
2015,10,2.3,0.7
2015,11,2.3,0.2
2015,12,3.5,1.2
2016,01,2.5,0.2
2016,02,1.3,-0.7
2016,03,2.5,0.6
2016,04,2.0,0.3
2016,05,1.9,0.1
2016,06,1.1,-0.4
2016,07,1.0,-0.3
2016,08,1.4,0.1
2016,09,1.5,0.2
2016,10,2.9,1.3
2016,11,1.9,-0.1
2016,12,2.7,0.5
2017,01,3.2,0.9
2017,02,3.2,1.2
2017,03,2.6,0.7
2017,04,2.3,0.7
2017,05,1.4,-0.3
2017,06,1.1,-0.4
2017,07,1.3,0.0
2017,08,1.4,0.1
2017,09,1.6,0.3
2017,10,1.3,-0.3
2017,11,2.2,0.2
2017,12,1.3,-0.9
2018,01,2.0,-0.3
2018,02,1.6,-0.3
2018,03,2.0,0.1
2018,04,1.8,0.1
2018,05,1.5,-0.3
2018,06,1.3,-0.2
2018,07,1.1,-0.2
2018,08,1.0,-0.3
2018,09,1.2,-0.2
2018,10,2.5,0.8
2018,11,1.7,-0.4
2018,12,2.1,-0.2
2019,01,2.0,-0.2
2019,02,3.1,1.1
2019,03,1.8,-0.1
2019,04,2.1,0.5
