year,value,anomaly,month,type,state
2000,45.8,3.5,01,temp,CA
2001,42.3,0.0,01,temp,CA
2002,42.4,0.1,01,temp,CA
2003,50.0,7.7,01,temp,CA
2004,43.5,1.2,01,temp,CA
2005,44.1,1.8,01,temp,CA
2006,44.6,2.3,01,temp,CA
2007,41.5,-0.8,01,temp,CA
2008,41.1,-1.2,01,temp,CA
2009,46.9,4.6,01,temp,CA
2010,45.2,2.9,01,temp,CA
2011,45.2,2.9,01,temp,CA
2012,46.5,4.2,01,temp,CA
2013,42.1,-0.2,01,temp,CA
2014,50.1,7.8,01,temp,CA
2015,48.6,6.3,01,temp,CA
2016,44.5,2.2,01,temp,CA
2017,42.2,-0.1,01,temp,CA
2018,48.8,6.5,01,temp,CA
2019,45.8,3.5,01,temp,CA
2000,47.2,1.9,02,temp,CA
2001,43.1,-2.2,02,temp,CA
2002,48.2,2.9,02,temp,CA
2003,45.7,0.4,02,temp,CA
2004,44.2,-1.1,02,temp,CA
2005,47.1,1.8,02,temp,CA
2006,47.7,2.4,02,temp,CA
2007,46.7,1.4,02,temp,CA
2008,45.8,0.5,02,temp,CA
2009,45.2,-0.1,02,temp,CA
2010,46.8,1.5,02,temp,CA
2011,43.4,-1.9,02,temp,CA
2012,46.5,1.2,02,temp,CA
2013,45.3,0.0,02,temp,CA
2014,49.8,4.5,02,temp,CA
2015,53.2,7.9,02,temp,CA
2016,51.8,6.5,02,temp,CA
2017,47.3,2.0,02,temp,CA
2018,46.6,1.3,02,temp,CA
2019,41.4,-3.9,02,temp,CA
2000,50.2,1.4,03,temp,CA
2001,52.6,3.8,03,temp,CA
2002,48.5,-0.3,03,temp,CA
2003,51.4,2.6,03,temp,CA
2004,56.9,8.1,03,temp,CA
2005,51.1,2.3,03,temp,CA
2006,44.0,-4.8,03,temp,CA
2007,54.4,5.6,03,temp,CA
2008,50.3,1.5,03,temp,CA
2009,49.2,0.4,03,temp,CA
2010,49.0,0.2,03,temp,CA
2011,48.7,-0.1,03,temp,CA
2012,48.8,0.0,03,temp,CA
2013,53.8,5.0,03,temp,CA
2014,53.5,4.7,03,temp,CA
2015,56.9,8.1,03,temp,CA
2016,52.5,3.7,03,temp,CA
2017,53.4,4.6,03,temp,CA
2018,49.0,0.2,03,temp,CA
2019,48.8,0.0,03,temp,CA
2000,57.8,3.8,04,temp,CA
2001,52.0,-2.0,04,temp,CA
2002,56.0,2.0,04,temp,CA
2003,50.0,-4.0,04,temp,CA
2004,57.3,3.3,04,temp,CA
2005,53.0,-1.0,04,temp,CA
2006,53.0,-1.0,04,temp,CA
2007,56.3,2.3,04,temp,CA
2008,54.4,0.4,04,temp,CA
2009,54.3,0.3,04,temp,CA
2010,50.9,-3.1,04,temp,CA
2011,53.4,-0.6,04,temp,CA
2012,55.8,1.8,04,temp,CA
2013,58.2,4.2,04,temp,CA
2014,57.7,3.7,04,temp,CA
2015,56.7,2.7,04,temp,CA
