year,value,anomaly,month,type,state
2000,29.1,5.4,01,temp,CO
2001,24.7,1.0,01,temp,CO
2002,25.4,1.7,01,temp,CO
2003,31.6,7.9,01,temp,CO
2004,26.2,2.5,01,temp,CO
2005,30.2,6.5,01,temp,CO
2006,29.9,6.2,01,temp,CO
2007,19.4,-4.3,01,temp,CO
2008,20.9,-2.8,01,temp,CO
2009,28.3,4.6,01,temp,CO
2010,26.1,2.4,01,temp,CO
2011,24.0,0.3,01,temp,CO
2012,29.4,5.7,01,temp,CO
2013,22.9,-0.8,01,temp,CO
2014,26.4,2.7,01,temp,CO
2015,29.2,5.5,01,temp,CO
2016,25.6,1.9,01,temp,CO
2017,25.3,1.6,01,temp,CO
2018,29.7,6.0,01,temp,CO
2019,26.2,2.5,01,temp,CO
2000,34.3,6.9,02,temp,CO
2001,28.2,0.8,02,temp,CO
2002,27.1,-0.3,02,temp,CO
2003,26.3,-1.1,02,temp,CO
2004,26.3,-1.1,02,temp,CO
2005,31.3,3.9,02,temp,CO
2006,28.0,0.6,02,temp,CO
2007,27.7,0.3,02,temp,CO
2008,27.6,0.2,02,temp,CO
2009,32.2,4.8,02,temp,CO
2010,24.6,-2.8,02,temp,CO
2011,24.2,-3.2,02,temp,CO
2012,27.4,0.0,02,temp,CO
2013,25.7,-1.7,02,temp,CO
2014,27.6,0.2,02,temp,CO
2015,32.1,4.7,02,temp,CO
2016,32.4,5.0,02,temp,CO
2017,35.4,8.0,02,temp,CO
2018,28.6,1.2,02,temp,CO
2019,24.8,-2.6,02,temp,CO
2000,36.6,2.9,03,temp,CO
2001,36.0,2.3,03,temp,CO
2002,32.0,-1.7,03,temp,CO
2003,36.6,2.9,03,temp,CO
2004,41.8,8.1,03,temp,CO
2005,35.2,1.5,03,temp,CO
2006,34.9,1.2,03,temp,CO
2007,40.5,6.8,03,temp,CO
2008,33.9,0.2,03,temp,CO
2009,37.1,3.4,03,temp,CO
2010,35.2,1.5,03,temp,CO
2011,37.7,4.0,03,temp,CO
2012,41.9,8.2,03,temp,CO
2013,35.0,1.3,03,temp,CO
2014,36.3,2.6,03,temp,CO
2015,40.6,6.9,03,temp,CO
2016,37.9,4.2,03,temp,CO
2017,42.5,8.8,03,temp,CO
2018,37.8,4.1,03,temp,CO
2019,34.0,0.3,03,temp,CO
2000,46.4,3.9,04,temp,CO
2001,45.9,3.4,04,temp,CO
2002,47.3,4.8,04,temp,CO
2003,45.3,2.8,04,temp,CO
2004,44.4,1.9,04,temp,CO
2005,43.4,0.9,04,temp,CO
2006,47.1,4.6,04,temp,CO
2007,43.3,0.8,04,temp,CO
2008,40.9,-1.6,04,temp,CO
2009,42.0,-0.5,04,temp,CO
2010,43.6,1.1,04,temp,CO
2011,43.0,0.5,04,temp,CO
2012,48.2,5.7,04,temp,CO
2013,39.8,-2.7,04,temp,CO
