year,value,anomaly,month,type,state
2000,1.25,0.19,01,precip,CO
2001,1.02,-0.04,01,precip,CO
2002,0.64,-0.42,01,precip,CO
2003,0.44,-0.62,01,precip,CO
2004,0.90,-0.16,01,precip,CO
2005,1.97,0.91,01,precip,CO
2006,0.97,-0.09,01,precip,CO
2007,1.00,-0.06,01,precip,CO
2008,1.60,0.54,01,precip,CO
2009,0.98,-0.08,01,precip,CO
2010,0.88,-0.18,01,precip,CO
2011,0.71,-0.35,01,precip,CO
2012,0.69,-0.37,01,precip,CO
2013,0.91,-0.15,01,precip,CO
2014,1.18,0.12,01,precip,CO
2015,0.65,-0.41,01,precip,CO
2016,1.02,-0.04,01,precip,CO
2017,2.29,1.23,01,precip,CO
2018,0.81,-0.25,01,precip,CO
2019,1.32,0.26,01,precip,CO
2000,1.19,0.10,02,precip,CO
2001,1.14,0.05,02,precip,CO
2002,0.48,-0.61,02,precip,CO
2003,1.49,0.40,02,precip,CO
2004,1.27,0.18,02,precip,CO
2005,1.06,-0.03,02,precip,CO
2006,0.46,-0.63,02,precip,CO
2007,0.96,-0.13,02,precip,CO
2008,1.44,0.35,02,precip,CO
2009,0.78,-0.31,02,precip,CO
2010,1.21,0.12,02,precip,CO
2011,1.17,0.08,02,precip,CO
2012,1.36,0.27,02,precip,CO
2013,0.89,-0.20,02,precip,CO
2014,1.18,0.09,02,precip,CO
2015,1.35,0.26,02,precip,CO
2016,0.85,-0.24,02,precip,CO
2017,1.00,-0.09,02,precip,CO
2018,1.13,0.04,02,precip,CO
2019,1.56,0.47,02,precip,CO
2000,2.55,1.03,03,precip,CO
2001,1.42,-0.10,03,precip,CO
2002,0.87,-0.65,03,precip,CO
2003,2.19,0.67,03,precip,CO
2004,0.61,-0.91,03,precip,CO
2005,1.40,-0.12,03,precip,CO
2006,1.62,0.10,03,precip,CO
2007,1.09,-0.43,03,precip,CO
2008,1.01,-0.51,03,precip,CO
2009,1.13,-0.39,03,precip,CO
2010,1.74,0.22,03,precip,CO
2011,1.16,-0.36,03,precip,CO
2012,0.45,-1.07,03,precip,CO
2013,1.07,-0.45,03,precip,CO
2014,1.15,-0.37,03,precip,CO
2015,0.86,-0.66,03,precip,CO
2016,1.28,-0.24,03,precip,CO
2017,1.19,-0.33,03,precip,CO
