year,value,anomaly,month,type,state
2000,5.97,1.21,01,precip,OR
2001,1.81,-2.95,01,precip,OR
2002,5.17,0.41,01,precip,OR
2003,4.96,0.20,01,precip,OR
2004,5.35,0.59,01,precip,OR
2005,2.13,-2.63,01,precip,OR
2006,8.28,3.52,01,precip,OR
2007,2.62,-2.14,01,precip,OR
2008,5.87,1.11,01,precip,OR
2009,2.95,-1.81,01,precip,OR
2010,4.52,-0.24,01,precip,OR
2011,3.15,-1.61,01,precip,OR
2012,5.82,1.06,01,precip,OR
2013,2.60,-2.16,01,precip,OR
2014,2.35,-2.41,01,precip,OR
2015,1.98,-2.78,01,precip,OR
2016,5.16,0.40,01,precip,OR
2017,5.01,0.25,01,precip,OR
2018,4.14,-0.62,01,precip,OR
2019,3.48,-1.28,01,precip,OR
2020,6.74,1.98,01,precip,OR
2021,4.44,-0.32,01,precip,OR
2000,4.65,0.83,02,precip,OR
2001,1.60,-2.22,02,precip,OR
2002,2.29,-1.53,02,precip,OR
2003,2.36,-1.46,02,precip,OR
2004,3.86,0.04,02,precip,OR
2005,1.06,-2.76,02,precip,OR
2006,2.37,-1.45,02,precip,OR
2007,4.54,0.72,02,precip,OR
2008,2.43,-1.39,02,precip,OR
2009,2.43,-1.39,02,precip,OR
2010,2.59,-1.23,02,precip,OR
2011,3.25,-0.57,02,precip,OR
2012,2.90,-0.92,02,precip,OR
2013,1.61,-2.21,02,precip,OR
2014,5.78,1.96,02,precip,OR
2015,3.58,-0.24,02,precip,OR
2016,2.48,-1.34,02,precip,OR
2017,6.48,2.66,02,precip,OR
2018,2.29,-1.53,02,precip,OR
2019,6.62,2.80,02,precip,OR
2020,2.18,-1.64,02,precip,OR
2021,4.41,0.59,02,precip,OR
2000,2.72,-0.72,03,precip,OR
2001,2.54,-0.90,03,precip,OR
2002,3.10,-0.34,03,precip,OR
2003,4.93,1.49,03,precip,OR
2004,1.81,-1.63,03,precip,OR
2005,3.45,0.01,03,precip,OR
2006,3.81,0.37,03,precip,OR
2007,2.22,-1.22,03,precip,OR
2008,3.45,0.01,03,precip,OR
