year,month,value,anomaly
2000,01,34.3,4.6
2000,02,38.8,5.0
2000,03,42.1,2.4
2000,04,51.4,3.8
2000,05,58.9,3.1
2000,06,65.9,1.9
2000,07,71.8,1.3
2000,08,71.3,2.3
2000,09,62.5,1.1
2000,10,50.9,-0.1
2000,11,33.6,-5.5
2000,12,31.8,0.4
2001,01,30.9,1.2
2001,02,33.1,-0.8
2001,03,42.3,2.6
2001,04,48.1,0.6
2001,05,59.7,3.9
2001,06,65.6,1.6
2001,07,71.5,1.1
2001,08,71.8,2.8
2001,09,64.7,3.3
2001,10,52.5,1.5
2001,11,42.9,3.8
2001,12,31.5,0.1
2002,01,31.9,2.2
2002,02,34.4,0.5
2002,03,37.6,-2.1
2002,04,50.0,2.4
2002,05,56.2,0.4
2002,06,67.2,3.2
2002,07,73.4,3.0
2002,08,69.2,0.3
2002,09,62.6,1.2
2002,10,48.6,-2.4
2002,11,40.4,1.4
2002,12,34.0,2.6
2003,01,37.7,7.9
2003,02,34.0,0.2
2003,03,42.0,2.3
2003,04,47.9,0.3
2003,05,57.5,1.6
2003,06,65.4,1.4
2003,07,74.7,4.3
2003,08,71.9,3.0
2003,09,63.0,1.6
2003,10,55.7,4.7
2003,11,37.2,-1.8
2003,12,34.1,2.7
2004,01,31.3,1.5
2004,02,33.2,-0.6
2004,03,46.9,7.1
2004,04,50.0,2.4
2004,05,57.2,1.4
2004,06,65.0,1.0
2004,07,71.1,0.7
2004,08,68.6,-0.3
2004,09,61.2,-0.2
2004,10,51.3,0.3
2004,11,39.4,0.4
2004,12,34.5,3.1
2005,01,34.1,4.4
2005,02,36.8,3.0
2005,03,42.0,2.3
2005,04,48.0,0.4
2005,05,56.9,1.0
2005,06,63.0,-1.0
2005,07,72.8,2.4
2005,08,69.6,0.6
2005,09,62.1,0.7
2005,10,52.3,1.3
2005,11,41.6,2.6
2005,12,32.4,1.0
2006,01,35.9,6.2
2006,02,34.7,0.8
2006,03,39.5,-0.2
2006,04,50.3,2.7
2006,05,59.2,3.4
2006,06,67.9,3.9
2006,07,74.0,3.6
2006,08,69.4,0.5
2006,09,60.6,-0.8
2006,10,50.0,-1.0
2006,11,41.0,2.0
2006,12,32.7,1.3
2007,01,28.4,-1.3
2007,02,35.9,2.0
2007,03,45.7,6.0
2007,04,48.6,1.1
2007,05,57.9,2.1
2007,06,66.0,1.9
2007,07,74.0,3.6
2007,08,71.0,2.1
2007,09,62.3,0.9
2007,10,51.4,0.4
2007,11,42.2,3.2
2007,12,30.4,-0.9
2008,01,28.4,-1.3
2008,02,35.2,1.4
2008,03,40.0,0.3
2008,04,45.8,-1.8
2008,05,55.6,-0.2
2008,06,64.8,0.8
2008,07,71.6,1.2
2008,08,70.2,1.2
2008,09,62.0,0.7
2008,10,51.8,0.8
2008,11,43.6,4.6
2008,12,30.3,-1.1
2009,01,33.6,3.9
2009,02,36.4,2.6
2009,03,40.6,0.9
2009,04,47.3,-0.3
2009,05,58.8,2.9
2009,06,63.5,-0.5
2009,07,71.9,1.5
2009,08,69.5,0.6
2009,09,64.4,3.0
2009,10,47.4,-3.6
2009,11,41.8,2.8
2009,12,27.1,-4.3
2010,01,33.0,3.2
2010,02,34.0,0.2
2010,03,41.3,1.6
2010,04,47.1,-0.5
2010,05,52.7,-3.1
2010,06,64.7,0.7
2010,07,71.0,0.5
2010,08,69.4,0.4
2010,09,63.6,2.2
2010,10,53.4,2.4
2010,11,38.2,-0.8
2010,12,34.7,3.3
2011,01,31.4,1.7
2011,02,31.4,-2.5
2011,03,41.7,2.0
2011,04,46.7,-0.9
2011,05,53.1,-2.7
2011,06,63.9,-0.1
