year,value,anomaly,month,type,state
2000,32.4,2.2,01,temp,OR
2001,32.1,1.9,01,temp,OR
2002,31.8,1.6,01,temp,OR
2003,39.0,8.8,01,temp,OR
2004,32.0,1.8,01,temp,OR
2005,33.8,3.6,01,temp,OR
2006,35.0,4.8,01,temp,OR
2007,30.2,0.0,01,temp,OR
2008,28.5,-1.7,01,temp,OR
2009,34.2,4.0,01,temp,OR
2010,36.9,6.7,01,temp,OR
2011,33.9,3.7,01,temp,OR
2012,34.4,4.2,01,temp,OR
2013,29.7,-0.5,01,temp,OR
2014,36.7,6.5,01,temp,OR
2015,38.1,7.9,01,temp,OR
2016,33.1,2.9,01,temp,OR
2017,26.7,-3.5,01,temp,OR
2018,37.5,7.3,01,temp,OR
2019,35.3,5.1,01,temp,OR
2020,34.9,4.7,01,temp,OR
2021,34.7,4.5,01,temp,OR
2000,37.3,3.2,02,temp,OR
2001,33.1,-1.0,02,temp,OR
2002,35.4,1.3,02,temp,OR
2003,35.0,0.9,02,temp,OR
2004,34.8,0.7,02,temp,OR
2005,36.6,2.5,02,temp,OR
2006,33.8,-0.3,02,temp,OR
2007,36.5,2.4,02,temp,OR
2008,35.8,1.7,02,temp,OR
2009,35.0,0.9,02,temp,OR
2010,37.6,3.5,02,temp,OR
2011,32.6,-1.5,02,temp,OR
2012,34.6,0.5,02,temp,OR
2013,35.1,1.0,02,temp,OR
2014,35.3,1.2,02,temp,OR
2015,41.7,7.6,02,temp,OR
2016,40.2,6.1,02,temp,OR
2017,34.8,0.7,02,temp,OR
2018,33.2,-0.9,02,temp,OR
2019,28.8,-5.3,02,temp,OR
2020,35.9,1.8,02,temp,OR
2021,33.3,-0.8,02,temp,OR
2000,38.6,0.3,03,temp,OR
2001,41.3,3.0,03,temp,OR
2002,37.0,-1.3,03,temp,OR
2003,41.5,3.2,03,temp,OR
2004,44.2,5.9,03,temp,OR
2005,42.3,4.0,03,temp,OR
2006,36.4,-1.9,03,temp,OR
2007,43.5,5.2,03,temp,OR
2008,36.5,-1.8,03,temp,OR
2009,36.4,-1.9,03,temp,OR
2010,39.5,1.2,03,temp,OR
2011,37.9,-0.4,03,temp,OR
2012,38.3,0.0,03,temp,OR
2013,40.9,2.6,03,temp,OR
2014,41.8,3.5,03,temp,OR
2015,45.7,7.4,03,temp,OR
2016,41.2,2.9,03,temp,OR
2017,41.6,3.3,03,temp,OR
2018,38.4,0.1,03,temp,OR
2019,37.3,-1.0,03,temp,OR
2020,38.8,0.5,03,temp,OR
2021,39.0,0.7,03,temp,OR
2000,47.8,3.9,04,temp,OR
2001,41.8,-2.1,04,temp,OR
2002,45.0,1.1,04,temp,OR
2003,41.8,-2.1,04,temp,OR
2004,47.2,3.3,04,temp,OR
2005,44.0,0.1,04,temp,OR
2006,44.6,0.7,04,temp,OR
2007,44.7,0.8,04,temp,OR
2008,40.3,-3.6,04,temp,OR
2009,43.4,-0.5,04,temp,OR
2010,42.0,-1.9,04,temp,OR
2011,39.5,-4.4,04,temp,OR
2012,45.9,2.0,04,temp,OR
2013,44.6,0.7,04,temp,OR
2014,45.8,1.9,04,temp,OR
2015,44.7,0.8,04,temp,OR
2016,50.1,6.2,04,temp,OR
2017,42.9,-1.0,04,temp,OR
2018,45.0,1.1,04,temp,OR
2019,46.1,2.2,04,temp,OR
2020,46.4,2.5,04,temp,OR
2021,46.9,3.0,04,temp,OR
2000,51.2,0.7,05,temp,OR
2001,55.0,4.5,05,temp,OR
2002,50.2,-0.3,05,temp,OR
2003,51.2,0.7,05,temp,OR
2004,51.0,0.5,05,temp,OR
2005,52.1,1.6,05,temp,OR
2006,53.2,2.7,05,temp,OR
2007,53.1,2.6,05,temp,OR
2008,51.6,1.1,05,temp,OR
2009,53.2,2.7,05,temp,OR
2010,46.4,-4.1,05,temp,OR
2011,46.5,-4.0,05,temp,OR
2012,50.8,0.3,05,temp,OR
2013,52.5,2.0,05,temp,OR
2014,53.3,2.8,05,temp,OR
2015,53.5,3.0,05,temp,OR
2016,53.2,2.7,05,temp,OR
2017,52.9,2.4,05,temp,OR
2018,55.4,4.9,05,temp,OR
2019,52.7,2.2,05,temp,OR
2020,52.6,2.1,05,temp,OR
2021,52.1,1.6,05,temp,OR
2000,60.2,3.0,06,temp,OR
2001,56.5,-0.7,06,temp,OR
2002,59.9,2.7,06,temp,OR
2003,61.2,4.0,06,temp,OR
2004,59.5,2.3,06,temp,OR
2005,55.0,-2.2,06,temp,OR
2006,60.9,3.7,06,temp,OR
2007,58.6,1.4,06,temp,OR
2008,56.6,-0.6,06,temp,OR
2009,58.4,1.2,06,temp,OR
2010,55.6,-1.6,06,temp,OR
2011,54.9,-2.3,06,temp,OR
2012,55.5,-1.7,06,temp,OR
2013,59.4,2.2,06,temp,OR
2014,58.1,0.9,06,temp,OR
2015,65.6,8.4,06,temp,OR
2016,60.5,3.3,06,temp,OR
2017,59.9,2.7,06,temp,OR
2018,58.5,1.3,06,temp,OR
2019,59.0,1.8,06,temp,OR
2020,57.8,0.6,06,temp,OR
2000,64.7,-0.1,07,temp,OR
2001,64.4,-0.4,07,temp,OR
2002,68.6,3.8,07,temp,OR
2003,70.1,5.3,07,temp,OR
2004,67.7,2.9,07,temp,OR
2005,67.4,2.6,07,temp,OR
2006,69.3,4.5,07,temp,OR
2007,69.6,4.8,07,temp,OR
2008,66.3,1.5,07,temp,OR
2009,68.0,3.2,07,temp,OR
2010,65.3,0.5,07,temp,OR
2011,62.7,-2.1,07,temp,OR
2012,66.3,1.5,07,temp,OR
2013,69.4,4.6,07,temp,OR
2014,70.0,5.2,07,temp,OR
2015,67.5,2.7,07,temp,OR
2016,64.4,-0.4,07,temp,OR
2017,69.2,4.4,07,temp,OR
2018,69.0,4.2,07,temp,OR
2019,64.9,0.1,07,temp,OR
2020,66.0,1.2,07,temp,OR
2000,65.4,1.5,08,temp,OR
2001,67.6,3.7,08,temp,OR
2002,63.2,-0.7,08,temp,OR
2003,66.6,2.7,08,temp,OR
2004,66.6,2.7,08,temp,OR
2005,66.9,3.0,08,temp,OR
2006,64.3,0.4,08,temp,OR
2007,64.8,0.9,08,temp,OR
2008,65.2,1.3,08,temp,OR
2009,65.3,1.4,08,temp,OR
2010,63.5,-0.4,08,temp,OR
2011,66.1,2.2,08,temp,OR
2012,67.7,3.8,08,temp,OR
2013,66.5,2.6,08,temp,OR
2014,66.6,2.7,08,temp,OR
2015,66.9,3.0,08,temp,OR
2016,66.7,2.8,08,temp,OR
2017,69.6,5.7,08,temp,OR
2018,66.5,2.6,08,temp,OR
2019,67.1,3.2,08,temp,OR
2020,67.2,3.3,08,temp,OR
2000,57.2,-0.1,09,temp,OR
2001,60.8,3.5,09,temp,OR
2002,58.8,1.5,09,temp,OR
2003,61.0,3.7,09,temp,OR
2004,56.3,-1.0,09,temp,OR
2005,56.3,-1.0,09,temp,OR
2006,59.1,1.8,09,temp,OR
2007,56.6,-0.7,09,temp,OR
2008,59.4,2.1,09,temp,OR
2009,61.4,4.1,09,temp,OR
2010,58.5,1.2,09,temp,OR
2011,62.6,5.3,09,temp,OR
2012,61.8,4.5,09,temp,OR
2013,58.3,1.0,09,temp,OR
2014,60.8,3.5,09,temp,OR
2015,58.1,0.8,09,temp,OR
2016,57.1,-0.2,09,temp,OR
2017,59.6,2.3,09,temp,OR
2018,57.4,0.1,09,temp,OR
2019,56.6,-0.7,09,temp,OR
2020,62.8,5.5,09,temp,OR
2000,47.5,-0.6,10,temp,OR
2001,49.0,0.9,10,temp,OR
2002,46.5,-1.6,10,temp,OR
2003,52.1,4.0,10,temp,OR
2004,48.3,0.2,10,temp,OR
2005,48.9,0.8,10,temp,OR
2006,47.6,-0.5,10,temp,OR
2007,46.2,-1.9,10,temp,OR
2008,48.8,0.7,10,temp,OR
2009,45.1,-3.0,10,temp,OR
2010,50.0,1.9,10,temp,OR
2011,49.0,0.9,10,temp,OR
2012,48.8,0.7,10,temp,OR
2013,46.2,-1.9,10,temp,OR
2014,52.9,4.8,10,temp,OR
2015,54.3,6.2,10,temp,OR
2016,48.1,0.0,10,temp,OR
2017,47.0,-1.1,10,temp,OR
2018,48.8,0.7,10,temp,OR
2019,43.2,-4.9,10,temp,OR
2020,51.4,3.3,10,temp,OR
2000,33.8,-3.9,11,temp,OR
2001,40.0,2.3,11,temp,OR
2002,40.7,3.0,11,temp,OR
2003,34.9,-2.8,11,temp,OR
2004,38.3,0.6,11,temp,OR
2005,37.5,-0.2,11,temp,OR
2006,38.3,0.6,11,temp,OR
2007,39.1,1.4,11,temp,OR
2008,42.4,4.7,11,temp,OR
2009,38.2,0.5,11,temp,OR
2010,36.7,-1.0,11,temp,OR
2011,37.0,-0.7,11,temp,OR
2012,40.6,2.9,11,temp,OR
2013,39.4,1.7,11,temp,OR
2014,38.2,0.5,11,temp,OR
2015,35.8,-1.9,11,temp,OR
2016,43.2,5.5,11,temp,OR
2017,39.3,1.6,11,temp,OR
2018,39.3,1.6,11,temp,OR
2019,40.5,2.8,11,temp,OR
2020,38.4,0.7,11,temp,OR
2000,33.5,1.7,12,temp,OR
2001,31.8,0.0,12,temp,OR
2002,35.4,3.6,12,temp,OR
2003,34.1,2.3,12,temp,OR
2004,35.5,3.7,12,temp,OR
2005,31.7,-0.1,12,temp,OR
2006,32.9,1.1,12,temp,OR
2007,30.5,-1.3,12,temp,OR
2008,30.2,-1.6,12,temp,OR
2009,28.5,-3.3,12,temp,OR
2010,33.4,1.6,12,temp,OR
2011,32.6,0.8,12,temp,OR
2012,31.5,-0.3,12,temp,OR
2013,29.7,-2.1,12,temp,OR
2014,36.0,4.2,12,temp,OR
2015,32.4,0.6,12,temp,OR
2016,27.4,-4.4,12,temp,OR
2017,32.9,1.1,12,temp,OR
