year,month,value,anomaly
2000,01,-1.8,-1.9
2000,02,-1.7,-1.8
2000,03,-1.8,-2.0
2000,04,-2.2,-2.4
2000,05,-2.4,-2.6
2000,06,-2.5,-2.7
2000,07,-3.0,-3.3
2000,08,-3.3,-3.5
2000,09,-3.3,-3.5
2000,10,-1.1,-1.3
2000,11,-1.0,-1.2
2000,12,-1.5,-1.6
2001,01,-1.7,-1.8
2001,02,-1.8,-1.9
2001,03,-2.0,-2.1
2001,04,-1.9,-2.0
2001,05,-2.2,-2.4
2001,06,-2.4,-2.6
2001,07,-2.7,-3.0
2001,08,-2.8,-3.0
2001,09,-3.1,-3.3
2001,10,-3.1,-3.3
2001,11,-2.8,-3.0
2001,12,-2.6,-2.7
2002,01,-2.7,-2.8
2002,02,-3.0,-3.2
2002,03,-3.1,-3.2
2002,04,-3.3,-3.5
2002,05,-3.8,-4.0
2002,06,-4.2,-4.4
2002,07,-4.3,-4.5
2002,08,-4.5,-4.7
2002,09,-4.0,-4.2
2002,10,-3.7,-3.9
2002,11,-3.3,-3.5
2002,12,-2.7,-2.8
2003,01,-3.0,-3.1
2003,02,-2.8,-3.0
2003,03,-2.6,-2.8
2003,04,-2.2,-2.4
2003,05,-2.5,-2.7
2003,06,-2.6,-2.8
2003,07,-3.3,-3.6
2003,08,-3.4,-3.6
2003,09,-3.4,-3.6
2003,10,-3.6,-3.8
2003,11,-3.2,-3.4
2003,12,-2.8,-2.9
2004,01,-2.8,-2.9
2004,02,-1.9,-2.1
2004,03,-2.8,-2.9
2004,04,-2.6,-2.8
2004,05,-2.4,-2.6
2004,06,-2.0,-2.2
2004,07,-2.1,-2.3
2004,08,-1.4,-1.7
2004,09,-0.6,-0.8
2004,10,0.4,0.2
2004,11,0.5,0.3
2004,12,0.4,0.3
2005,01,0.7,0.5
2005,02,0.6,0.5
2005,03,0.5,0.4
2005,04,1.0,0.8
2005,05,2.0,1.8
2005,06,2.3,2.1
2005,07,1.3,1.1
2005,08,1.3,1.0
2005,09,0.4,0.2
2005,10,0.5,0.4
2005,11,0.1,0.0
2005,12,0.2,0.1
2006,01,0.4,0.2
2006,02,-0.5,-0.7
2006,03,-0.3,-0.4
2006,04,-0.4,-0.6
2006,05,-1.9,-2.1
2006,06,-2.3,-2.5
2006,07,-1.8,-2.0
2006,08,-1.9,-2.1
2006,09,-0.9,-1.1
2006,10,-0.5,-0.7
2006,11,-0.2,-0.4
2006,12,-0.3,-0.4
2007,01,-0.8,-1.0
2007,02,-0.9,-1.0
2007,03,-1.4,-1.6
2007,04,-1.5,-1.7
2007,05,-1.6,-1.8
2007,06,-2.1,-2.3
2007,07,-2.2,-2.4
2007,08,-2.2,-2.4
2007,09,-2.6,-2.8
2007,10,-2.4,-2.6
2007,11,-2.7,-2.9
2007,12,-2.0,-2.1
2008,01,-1.6,-1.7
2008,02,-1.5,-1.7
2008,03,-1.8,-1.9
2008,04,-2.0,-2.1
2008,05,-1.2,-1.5
2008,06,-1.5,-1.7
2008,07,-1.3,-1.6
2008,08,-1.1,-1.3
2008,09,-1.5,-1.7
2008,10,-1.6,-1.8
2008,11,-1.8,-1.9
2008,12,-1.6,-1.7
2009,01,-1.8,-1.9
2009,02,-2.0,-2.2
2009,03,-1.7,-1.9
2009,04,-1.5,-1.6
2009,05,-1.8,-2.0
2009,06,-1.4,-1.6
2009,07,-1.2,-1.4
2009,08,-1.4,-1.6
2009,09,-1.5,-1.6
2009,10,-0.5,-0.7
2009,11,-1.2,-1.4
2009,12,-0.3,-0.4
2010,01,0.2,0.1
2010,02,0.1,0.0
2010,03,0.0,-0.2
2010,04,1.1,0.9
2010,05,1.5,1.3
2010,06,1.7,1.5
2010,07,1.9,1.7
2010,08,1.2,0.9
2010,09,0.7,0.5
2010,10,1.0,0.8
2010,11,1.0,0.8
2010,12,1.5,1.4
2011,01,1.1,1.0
2011,02,1.0,0.9
2011,03,1.3,1.1
2011,04,1.5,1.3
2011,05,2.1,1.8
2011,06,1.8,1.6
2011,07,1.8,1.6
2011,08,-0.8,-1.0
2011,09,-1.4,-1.6
2011,10,-1.1,-1.3
2011,11,-1.6,-1.7
2011,12,-1.8,-1.9
2012,01,-1.5,-1.7
2012,02,-1.7,-1.8
2012,03,-1.6,-1.7
2012,04,-1.9,-2.0
2012,05,-2.3,-2.5
2012,06,-2.8,-3.0
2012,07,-2.7,-3.0
2012,08,-3.0,-3.3
2012,09,-3.3,-3.5
2012,10,-2.9,-3.1
2012,11,-2.8,-3.0
2012,12,-2.4,-2.5
2013,01,-3.0,-3.1
2013,02,-3.3,-3.4
2013,03,-3.7,-3.8
2013,04,-3.2,-3.4
2013,05,-3.2,-3.4
2013,06,-3.6,-3.8
2013,07,-3.4,-3.7
2013,08,-3.3,-3.5
2013,09,-0.8,-1.0
2013,10,-1.1,-1.3
2013,11,-1.2,-1.4
2013,12,-1.6,-1.7
2014,01,-2.1,-2.3
2014,02,-1.8,-1.9
2014,03,-1.5,-1.6
2014,04,-1.6,-1.8
2014,05,-2.0,-2.2
2014,06,-2.4,-2.6
2014,07,-2.1,-2.3
2014,08,-1.4,-1.6
2014,09,-1.0,-1.2
2014,10,-1.7,-1.9
2014,11,-1.2,-1.3
2014,12,-1.0,-1.1
2015,01,-1.2,-1.4
2015,02,-1.5,-1.6
2015,03,-2.1,-2.2
2015,04,-2.2,-2.4
2015,05,-0.8,-1.0
2015,06,-1.1,-1.3
2015,07,-1.0,-1.2
2015,08,-1.3,-1.5
2015,09,-1.6,-1.8
2015,10,-0.8,-1.0
2015,11,-0.4,-0.6
2015,12,0.1,0.0
2016,01,0.1,0.0
2016,02,-0.5,-0.7
2016,03,-0.4,-0.6
2016,04,-0.6,-0.8
2016,05,-0.5,-0.7
2016,06,-1.0,-1.2
2016,07,-1.4,-1.7
2016,08,-1.4,-1.7
2016,09,-0.9,-1.1
2016,10,0.2,0.0
2016,11,0.1,-0.1
2016,12,0.6,0.5
2017,01,1.2,1.1
2017,02,1.5,1.4
2017,03,1.0,0.8
2017,04,1.3,1.2
2017,05,0.0,-0.2
2017,06,-0.3,-0.5
2017,07,-0.4,-0.6
2017,08,-0.5,-0.7
2017,09,0.0,-0.2
2017,10,-0.6,-0.8
2017,11,-0.9,-1.0
2017,12,-1.5,-1.6
2018,01,-1.8,-1.9
2018,02,-1.9,-2.1
2018,03,-1.9,-2.0
2018,04,-1.9,-2.0
2018,05,-2.4,-2.6
2018,06,-2.7,-2.9
2018,07,-2.9,-3.2
2018,08,-3.2,-3.4
2018,09,-3.3,-3.5
2018,10,-2.1,-2.3
2018,11,-2.0,-2.2
2018,12,-1.9,-2.0
2019,01,-1.9,-2.0
2019,02,-0.9,-1.1
2019,03,0.0,-0.1
2019,04,0.5,0.3
