date,acre_feet
01-Jan-2000,
02-Jan-2000,
03-Jan-2000,67301
04-Jan-2000,67338
05-Jan-2000,67375
06-Jan-2000,67413
07-Jan-2000,67431
08-Jan-2000,67478
09-Jan-2000,67516
10-Jan-2000,67562
11-Jan-2000,67544
12-Jan-2000,67637
13-Jan-2000,67675
14-Jan-2000,67712
15-Jan-2000,67787
16-Jan-2000,67834
17-Jan-2000,67900
18-Jan-2000,67984
19-Jan-2000,68050
20-Jan-2000,68087
21-Jan-2000,68181
22-Jan-2000,68257
23-Jan-2000,68275
24-Jan-2000,68332
25-Jan-2000,68388
26-Jan-2000,68502
27-Jan-2000,68558
28-Jan-2000,68624
29-Jan-2000,68634
30-Jan-2000,68653
31-Jan-2000,68690
01-Feb-2000,68709
02-Feb-2000,68747
03-Feb-2000,68804
04-Feb-2000,68842
05-Feb-2000,68899
06-Feb-2000,68936
07-Feb-2000,68965
08-Feb-2000,69012
09-Feb-2000,69079
10-Feb-2000,69183
11-Feb-2000,69202
12-Feb-2000,69278
13-Feb-2000,69297
14-Feb-2000,69354
15-Feb-2000,69373
16-Feb-2000,69411
17-Feb-2000,69468
18-Feb-2000,69487
19-Feb-2000,69506
20-Feb-2000,69564
21-Feb-2000,69602
22-Feb-2000,69659
23-Feb-2000,69697
24-Feb-2000,69735
25-Feb-2000,69754
26-Feb-2000,69773
27-Feb-2000,69792
28-Feb-2000,69850
29-Feb-2000,69888
01-Mar-2000,69907
02-Mar-2000,69964
03-Mar-2000,70003
04-Mar-2000,70060
05-Mar-2000,70098
06-Mar-2000,70137
07-Mar-2000,70233
08-Mar-2000,70271
09-Mar-2000,70328
10-Mar-2000,70367
11-Mar-2000,70405
12-Mar-2000,70463
13-Mar-2000,70501
14-Mar-2000,70540
15-Mar-2000,70597
16-Mar-2000,70655
17-Mar-2000,70713
18-Mar-2000,70732
19-Mar-2000,70771
20-Mar-2000,70828
21-Mar-2000,70906
22-Mar-2000,70963
23-Mar-2000,71021
24-Mar-2000,71099
25-Mar-2000,71157
26-Mar-2000,71234
27-Mar-2000,71311
28-Mar-2000,71427
29-Mar-2000,71544
30-Mar-2000,71679
31-Mar-2000,71796
01-Apr-2000,71913
02-Apr-2000,72039
03-Apr-2000,72107
04-Apr-2000,72224
05-Apr-2000,72458
06-Apr-2000,72731
07-Apr-2000,73024
08-Apr-2000,73396
09-Apr-2000,73868
10-Apr-2000,74419
11-Apr-2000,74854
12-Apr-2000,75251
13-Apr-2000,75787
14-Apr-2000,76327
15-Apr-2000,76748
16-Apr-2000,77110
17-Apr-2000,77493
18-Apr-2000,78000
19-Apr-2000,78345
20-Apr-2000,78631
21-Apr-2000,79040
22-Apr-2000,79410
23-Apr-2000,79761
24-Apr-2000,80050
25-Apr-2000,80299
26-Apr-2000,80632
27-Apr-2000,81155
28-Apr-2000,81755
29-Apr-2000,82294
30-Apr-2000,82697
01-May-2000,82974
02-May-2000,83379
03-May-2000,83742
04-May-2000,84085
05-May-2000,84299
06-May-2000,84342
07-May-2000,84342
08-May-2000,84493
09-May-2000,84128
10-May-2000,83656
11-May-2000,83187
12-May-2000,82697
13-May-2000,82146
14-May-2000,81533
15-May-2000,80987
16-May-2000,80695
17-May-2000,80382
