date,acre_feet
03-Jan-2000,7310
04-Jan-2000,7314
05-Jan-2000,7316
06-Jan-2000,7310
07-Jan-2000,7316
08-Jan-2000,7314
09-Jan-2000,7316
10-Jan-2000,7316
11-Jan-2000,7314
12-Jan-2000,7314
13-Jan-2000,7316
14-Jan-2000,7310
15-Jan-2000,7314
16-Jan-2000,7314
17-Jan-2000,7314
18-Jan-2000,7310
19-Jan-2000,7314
20-Jan-2000,7310
21-Jan-2000,7314
22-Jan-2000,7314
23-Jan-2000,7314
24-Jan-2000,7316
25-Jan-2000,7310
26-Jan-2000,7314
27-Jan-2000,7316
28-Jan-2000,7310
29-Jan-2000,7316
30-Jan-2000,7314
31-Jan-2000,7316
01-Feb-2000,7316
02-Feb-2000,7316
03-Feb-2000,7310
04-Feb-2000,7316
05-Feb-2000,7310
06-Feb-2000,7314
07-Feb-2000,7320
08-Feb-2000,7310
09-Feb-2000,7314
10-Feb-2000,7316
11-Feb-2000,7314
12-Feb-2000,7314
13-Feb-2000,7314
14-Feb-2000,7310
15-Feb-2000,7310
16-Feb-2000,7314
17-Feb-2000,7310
18-Feb-2000,7314
19-Feb-2000,7314
20-Feb-2000,7320
21-Feb-2000,7310
22-Feb-2000,7310
23-Feb-2000,7316
24-Feb-2000,7314
25-Feb-2000,7316
26-Feb-2000,7314
27-Feb-2000,7316
28-Feb-2000,7310
29-Feb-2000,7314
01-Mar-2000,7314
02-Mar-2000,7314
03-Mar-2000,7314
04-Mar-2000,7314
05-Mar-2000,7316
06-Mar-2000,7314
07-Mar-2000,7316
08-Mar-2000,7314
09-Mar-2000,7314
10-Mar-2000,7314
11-Mar-2000,7316
12-Mar-2000,7314
13-Mar-2000,7316
14-Mar-2000,7310
15-Mar-2000,7316
16-Mar-2000,7310
17-Mar-2000,7314
18-Mar-2000,7316
19-Mar-2000,7314
20-Mar-2000,7314
21-Mar-2000,7316
22-Mar-2000,7310
23-Mar-2000,7314
24-Mar-2000,7314
25-Mar-2000,7316
26-Mar-2000,7310
27-Mar-2000,7316
28-Mar-2000,7316
29-Mar-2000,7310
30-Mar-2000,7314
31-Mar-2000,7314
01-Apr-2000,7310
02-Apr-2000,7316
03-Apr-2000,7310
04-Apr-2000,7316
05-Apr-2000,7314
06-Apr-2000,7314
07-Apr-2000,7316
08-Apr-2000,7314
09-Apr-2000,7314
10-Apr-2000,7316
11-Apr-2000,7314
12-Apr-2000,7310
13-Apr-2000,7314
14-Apr-2000,7314
15-Apr-2000,7316
16-Apr-2000,7310
17-Apr-2000,
18-Apr-2000,
19-Apr-2000,
20-Apr-2000,
21-Apr-2000,
22-Apr-2000,
23-Apr-2000,
24-Apr-2000,
25-Apr-2000,
26-Apr-2000,
27-Apr-2000,
28-Apr-2000,
29-Apr-2000,
30-Apr-2000,
01-May-2000,
02-May-2000,
03-May-2000,
04-May-2000,
05-May-2000,
06-May-2000,
07-May-2000,
08-May-2000,
09-May-2000,7314
10-May-2000,7314
11-May-2000,7316
12-May-2000,7314
13-May-2000,7316
14-May-2000,7314
15-May-2000,7314
16-May-2000,7314
17-May-2000,13095
18-May-2000,13128
19-May-2000,12999
20-May-2000,13045
21-May-2000,13119
22-May-2000,13214
23-May-2000,13353
24-May-2000,13234
25-May-2000,13246
26-May-2000,13184
27-May-2000,13291
28-May-2000,13270
29-May-2000,13404
30-May-2000,13362
31-May-2000,13371
01-Jun-2000,13312
02-Jun-2000,13255
03-Jun-2000,13222
04-Jun-2000,13276
05-Jun-2000,13196
06-Jun-2000,13157
07-Jun-2000,13211
08-Jun-2000,13214
09-Jun-2000,13196
10-Jun-2000,
11-Jun-2000,
12-Jun-2000,
13-Jun-2000,
14-Jun-2000,
15-Jun-2000,
16-Jun-2000,
17-Jun-2000,
18-Jun-2000,
19-Jun-2000,
20-Jun-2000,
21-Jun-2000,13007
22-Jun-2000,12958
23-Jun-2000,12905
24-Jun-2000,12853
25-Jun-2000,12806
26-Jun-2000,12763
27-Jun-2000,12737
28-Jun-2000,12691
29-Jun-2000,12862
30-Jun-2000,12777
01-Jul-2000,12688
02-Jul-2000,12605
03-Jul-2000,12508
04-Jul-2000,12374
05-Jul-2000,12247
06-Jul-2000,12116
07-Jul-2000,11977
08-Jul-2000,11850
09-Jul-2000,11768
10-Jul-2000,11678
11-Jul-2000,11596
12-Jul-2000,11513
13-Jul-2000,11429
14-Jul-2000,11368
15-Jul-2000,11400
16-Jul-2000,11526
17-Jul-2000,11542
