Utah, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,-0.21,-0.67
189605,-0.69,-1.15
189705,-0.35,-0.81
189805,2.71,2.25
189905,0.28,-0.18
190005,-1.98,-2.44
190105,-1.94,-2.40
190205,-3.24,-3.70
190305,1.85,1.39
190405,0.59,0.13
190505,1.82,1.36
190605,4.38,3.92
190705,5.78,5.32
190805,2.63,2.17
190905,4.98,4.52
191005,2.50,2.04
191105,1.49,1.03
191205,1.52,1.06
191305,1.10,0.64
191405,2.81,2.35
191505,2.09,1.63
191605,2.07,1.61
191705,5.46,5.00
191805,-1.54,-2.00
191905,-1.78,-2.24
192005,2.55,2.09
192105,3.21,2.75
192205,3.56,3.10
192305,3.41,2.95
192405,-1.53,-1.99
192505,-2.56,-3.02
192605,-1.10,-1.56
192705,1.14,0.68
192805,-0.93,-1.39
192905,1.12,0.66
193005,-1.71,-2.17
193105,-2.80,-3.26
193205,1.56,1.10
193305,0.85,0.39
193405,-5.62,-6.08
193505,-1.97,-2.43
193605,-2.25,-2.71
193705,1.45,0.99
193805,1.16,0.70
193905,-1.53,-1.99
194005,-2.79,-3.25
194105,3.42,2.96
194205,4.82,4.36
194305,-2.01,-2.47
194405,1.77,1.31
194505,0.62,0.16
194605,-1.21,-1.67
194705,2.39,1.93
194805,1.94,1.48
194905,2.05,1.59
195005,-0.99,-1.45
195105,-2.21,-2.67
195205,2.97,2.51
195305,-1.58,-2.04
195405,-3.64,-4.10
195505,-2.97,-3.43
195605,-2.15,-2.61
195705,2.24,1.78
195805,-0.11,-0.57
195905,-3.14,-3.60
196005,-3.13,-3.59
196105,-3.66,-4.12
196205,1.80,1.34
196305,-3.13,-3.59
196405,-1.73,-2.19
196505,2.68,2.22
196605,-1.05,-1.51
196705,0.85,0.39
196805,0.99,0.53
196905,1.82,1.36
197005,-1.34,-1.80
197105,0.60,0.14
197205,-2.66,-3.12
197305,4.38,3.92
197405,-1.57,-2.03
197505,1.80,1.34
197605,-0.65,-1.11
197705,-4.60,-5.06
197805,2.27,1.81
197905,3.60,3.14
198005,4.18,3.72
198105,-1.65,-2.11
198205,1.83,1.37
198305,5.90,5.44
198405,5.16,4.70
198505,4.10,3.64
198605,3.25,2.79
198705,-1.43,-1.89
198805,0.58,0.12
198905,-3.24,-3.70
199005,-4.68,-5.14
199105,-2.72,-3.18
199205,-2.19,-2.65
199305,2.91,2.45
199405,-1.29,-1.75
199505,4.15,3.69
199605,-1.47,-1.93
199705,2.13,1.67
199805,3.44,2.98
199905,2.67,2.21
200005,-2.93,-3.39
200105,-1.64,-2.10
200205,-4.58,-5.04
200305,-4.04,-4.50
200405,-2.95,-3.41
200505,5.07,4.61
200605,-1.13,-1.59
200705,-2.39,-2.85
200805,-1.36,-1.82
200905,-1.48,-1.94
201005,0.70,0.24
201105,4.88,4.42
201205,-3.48,-3.94
201305,-3.76,-4.22
201405,-3.30,-3.76
201505,-2.30,-2.76
201605,-0.83,-1.29
201705,-0.16,-0.62
201805,-4.13,-4.59
