California, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,1.41,1.40
189605,2.52,2.51
189705,-1.00,-1.01
189805,-2.41,-2.42
189905,0.60,0.59
190005,0.90,0.89
190105,1.84,1.83
190205,1.53,1.52
190305,-0.45,-0.46
190405,2.40,2.39
190505,2.09,2.08
190605,3.79,3.78
190705,4.65,4.64
190805,0.48,0.47
190905,-1.14,-1.15
191005,-1.83,-1.84
191105,2.09,2.08
191205,1.77,1.76
191305,0.23,0.22
191405,-0.83,-0.84
191505,2.79,2.78
191605,-1.09,-1.10
191705,0.31,0.30
191805,-2.29,-2.30
191905,-1.28,-1.29
192005,0.44,0.43
192105,0.72,0.71
192205,0.22,0.21
192305,0.68,0.67
192405,-4.80,-4.81
192505,1.31,1.30
192605,-0.05,-0.06
192705,1.73,1.72
192805,-0.86,-0.87
192905,-2.46,-2.47
193005,-1.38,-1.39
193105,-3.39,-3.40
193205,-0.40,-0.41
193305,0.74,0.73
193405,-3.60,-3.61
193505,-0.21,-0.22
193605,-0.89,-0.90
193705,-0.32,-0.33
193805,-0.14,-0.15
193905,-2.15,-2.16
194005,-0.38,-0.39
194105,4.10,4.09
194205,3.82,3.81
194305,2.07,2.06
194405,0.30,0.29
194505,0.51,0.50
194605,-1.71,-1.72
194705,-2.54,-2.55
194805,2.01,2.00
194905,-0.55,-0.56
195005,-1.85,-1.86
195105,-0.63,-0.64
195205,2.39,2.38
195305,1.14,1.13
195405,-0.61,-0.62
195505,0.54,0.53
195605,0.59,0.58
195705,1.39,1.38
195805,4.69,4.68
195905,-3.31,-3.32
196005,-2.60,-2.61
196105,-2.14,-2.15
196205,-0.77,-0.78
196305,1.90,1.89
196405,0.27,0.26
196505,0.78,0.77
196605,-2.11,-2.12
196705,2.65,2.64
196805,-1.73,-1.74
196905,-0.74,-0.75
197005,-1.26,-1.27
197105,0.69,0.68
197205,-1.95,-1.96
197305,-0.98,-0.99
197405,-0.35,-0.36
197505,1.46,1.45
197605,-3.60,-3.61
197705,-5.18,-5.19
197805,3.40,3.39
197905,0.50,0.49
198005,1.86,1.85
198105,-1.87,-1.88
198205,3.07,3.06
198305,7.02,7.01
198405,-2.18,-2.19
198505,-2.40,-2.41
198605,-0.37,-0.38
198705,-3.05,-3.06
198805,-2.48,-2.49
198905,-1.94,-1.95
199005,-2.71,-2.72
199105,-2.35,-2.36
199205,-2.77,-2.78
199305,2.68,2.67
199405,-2.19,-2.20
199505,5.12,5.11
199605,2.84,2.83
199705,-2.77,-2.78
199805,5.50,5.49
199905,0.22,0.21
200005,-0.42,-0.43
200105,-2.36,-2.37
200205,-2.58,-2.59
200305,1.53,1.52
200405,-2.15,-2.16
200505,3.17,3.16
200605,-0.05,-0.06
200705,-3.88,-3.89
200805,-3.59,-3.60
200905,-3.67,-3.68
201005,1.50,1.49
201105,2.82,2.81
201205,-1.96,-1.97
201305,-2.98,-2.99
201405,-6.05,-6.06
201505,-5.11,-5.12
201605,-1.89,-1.90
201705,-0.23,-0.24
201805,-2.57,-2.58
