Arizona, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189503,1.09,0.95
189603,-1.61,-1.75
189703,0.03,-0.11
189803,-0.97,-1.11
189903,-2.20,-2.34
190003,-4.61,-4.75
190103,-2.42,-2.56
190203,-3.82,-3.96
190303,-2.83,-2.97
190403,-4.52,-4.66
190503,4.58,4.44
190603,5.58,5.44
190703,4.76,4.62
190803,2.82,2.68
190903,2.47,2.33
191003,-1.10,-1.24
191103,0.95,0.81
191203,1.02,0.88
191303,-0.28,-0.42
191403,-0.44,-0.58
191503,3.20,3.06
191603,4.58,4.44
191703,2.86,2.72
191803,0.50,0.36
191903,0.95,0.81
192003,4.80,4.66
192103,-2.32,-2.46
192203,1.38,1.24
192303,-0.98,-1.12
192403,0.48,0.34
192503,-2.17,-2.31
192603,0.24,0.10
192703,0.99,0.85
192803,-0.90,-1.04
192903,-2.09,-2.23
193003,0.47,0.33
193103,0.86,0.72
193203,3.25,3.11
193303,0.40,0.26
193403,-2.95,-3.09
193503,1.48,1.34
193603,-0.48,-0.62
193703,1.77,1.63
193803,1.01,0.87
193903,-0.71,-0.85
194003,-1.36,-1.50
194103,4.63,4.49
194203,-0.42,-0.56
194303,-1.63,-1.77
194403,0.90,0.76
194503,0.93,0.79
194603,-1.62,-1.76
194703,-2.04,-2.18
194803,-1.64,-1.78
194903,1.23,1.09
195003,-1.40,-1.54
195103,-3.65,-3.79
195203,2.23,2.09
195303,-0.91,-1.05
195403,-1.48,-1.62
195503,-2.01,-2.15
195603,-2.83,-2.97
195703,0.13,-0.01
195803,1.23,1.09
195903,-2.08,-2.22
196003,-0.42,-0.56
196103,-1.88,-2.02
196203,0.04,-0.10
196303,-1.61,-1.75
196403,-1.86,-2.00
196503,0.61,0.47
196603,2.97,2.83
196703,-1.84,-1.98
196803,1.11,0.97
196903,0.37,0.23
197003,0.77,0.63
197103,-2.35,-2.49
197203,-2.78,-2.92
197303,4.85,4.71
197403,-2.38,-2.52
197503,-1.57,-1.71
197603,-1.64,-1.78
197703,-1.54,-1.68
197803,2.78,2.64
197903,6.00,5.86
198003,4.41,4.27
198103,-2.09,-2.23
198203,0.86,0.72
198303,3.58,3.44
198403,-1.59,-1.73
198503,3.23,3.09
198603,-0.85,-0.99
198703,-0.05,-0.19
198803,-0.69,-0.83
198903,-1.79,-1.93
199003,-3.64,-3.78
199103,1.89,1.75
199203,2.56,2.42
199303,7.00,6.86
199403,-0.96,-1.10
199503,2.18,2.04
199603,-3.63,-3.77
199703,-3.52,-3.66
199803,2.05,1.91
199903,-2.98,-3.12
200003,-2.97,-3.11
200103,1.33,1.19
200203,-3.76,-3.90
200303,-3.18,-3.32
200403,-3.55,-3.69
200503,3.95,3.81
200603,-3.25,-3.39
200703,-3.50,-3.64
200803,-2.10,-2.24
200903,-1.98,-2.12
201003,1.81,1.67
201103,-1.80,-1.94
201203,-3.11,-3.25
201303,-3.09,-3.23
201403,-3.40,-3.54
201503,-2.40,-2.54
201603,-2.06,-2.20
201703,-1.31,-1.45
201803,-4.35,-4.49
201903,1.66,1.52
202003,1.86,1.72
202103,-4.19,-4.33
