Montana, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,-0.58,-0.99
189609,2.43,2.02
189709,1.25,0.84
189809,3.50,3.09
189909,3.50,3.09
190009,-1.53,-1.94
190109,0.92,0.51
190209,1.47,1.06
190309,2.72,2.31
190409,-2.65,-3.06
190509,-4.44,-4.85
190609,2.01,1.60
190709,5.74,5.33
190809,2.85,2.44
190909,4.74,4.33
191009,0.60,0.19
191109,2.42,2.01
191209,4.55,4.14
191309,2.65,2.24
191409,1.55,1.14
191509,4.42,4.01
191609,5.61,5.20
191709,-1.55,-1.96
191809,0.66,0.25
191909,-6.39,-6.80
192009,-0.45,-0.86
192109,-2.00,-2.41
192209,-0.72,-1.13
192309,3.01,2.60
192409,1.23,0.82
192509,1.64,1.23
192609,1.17,0.76
192709,4.43,4.02
192809,-0.59,-1.00
192909,-1.22,-1.63
193009,-1.84,-2.25
193109,-5.72,-6.13
193209,-0.76,-1.17
193309,0.07,-0.34
193409,-3.78,-4.19
193509,-4.60,-5.01
193609,-6.79,-7.20
193709,-6.61,-7.02
193809,1.07,0.66
193909,-1.20,-1.61
194009,-2.52,-2.93
194109,1.59,1.18
194209,3.25,2.84
194309,-0.67,-1.08
194409,-0.06,-0.47
194509,1.07,0.66
194609,0.90,0.49
194709,3.39,2.98
194809,3.72,3.31
194909,-2.68,-3.09
195009,1.97,1.56
195109,3.26,2.85
195209,-2.10,-2.51
195309,-0.70,-1.11
195409,1.45,1.04
195509,-0.94,-1.35
195609,-0.58,-0.99
195709,0.57,0.16
195809,-0.77,-1.18
195909,1.54,1.13
196009,-2.30,-2.71
196109,1.11,0.70
196209,1.93,1.52
196309,-0.22,-0.63
196409,2.21,1.80
196509,5.84,5.43
196609,-1.09,-1.50
196709,1.22,0.81
196809,3.27,2.86
196909,2.06,1.65
197009,1.85,1.44
197109,0.63,0.22
197209,2.51,2.10
197309,0.55,0.14
197409,-0.35,-0.76
197509,3.90,3.49
197609,-0.26,-0.67
197709,0.78,0.37
197809,4.59,4.18
197909,-2.56,-2.97
198009,-2.63,-3.04
198109,-0.73,-1.14
198209,3.25,2.84
198309,1.63,1.22
198409,0.26,-0.15
198509,1.95,1.54
198609,3.22,2.81
198709,-0.56,-0.97
198809,-6.54,-6.95
198909,0.65,0.24
199009,-1.42,-1.83
199109,0.13,-0.28
199209,-2.31,-2.72
199309,5.06,4.65
199409,-2.49,-2.90
199509,2.87,2.46
199609,2.11,1.70
199709,-0.34,-0.75
199809,-0.65,-1.06
199909,-0.14,-0.55
200009,-3.59,-4.00
200109,-6.01,-6.42
200209,-3.78,-4.19
200309,-3.70,-4.11
200409,-3.45,-3.86
200509,0.28,-0.13
200609,0.15,-0.26
200709,-1.75,-2.16
200809,0.99,0.58
200909,-0.88,-1.29
201009,3.23,2.82
201109,-1.07,-1.48
201209,-3.98,-4.39
201309,1.73,1.32
201409,-0.16,-0.57
201509,-2.21,-2.62
201609,0.66,0.25
201709,0.23,-0.18
201809,-0.65,-1.06
201909,3.13,2.72
202009,1.19,0.78
