Wyoming, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,3.22,2.55
189605,3.81,3.14
189705,-1.15,-1.82
189805,1.42,0.75
189905,3.53,2.86
190005,-1.07,-1.74
190105,-3.15,-3.82
190205,-3.59,-4.26
190305,0.31,-0.36
190405,2.89,2.22
190505,1.01,0.34
190605,3.06,2.39
190705,4.05,3.38
190805,2.10,1.43
190905,4.80,4.13
191005,-2.31,-2.98
191105,-4.54,-5.21
191205,1.91,1.24
191305,3.05,2.38
191405,-0.43,-1.10
191505,0.39,-0.28
191605,2.91,2.24
191705,4.05,3.38
191805,0.66,-0.01
191905,-4.01,-4.68
192005,3.99,3.32
192105,-0.35,-1.02
192205,2.31,1.64
192305,1.06,0.39
192405,4.64,3.97
192505,1.38,0.71
192605,2.80,2.13
192705,4.66,3.99
192805,4.74,4.07
192905,5.60,4.93
193005,-1.00,-1.67
193105,-2.25,-2.92
193205,-1.60,-2.27
193305,1.32,0.65
193405,-7.00,-7.67
193505,-3.86,-4.53
193605,-2.63,-3.30
193705,-0.39,-1.06
193805,2.28,1.61
193905,-1.71,-2.38
194005,-4.23,-4.90
194105,0.45,-0.22
194205,4.09,3.42
194305,4.55,3.88
194405,1.18,0.51
194505,2.96,2.29
194605,4.28,3.61
194705,4.25,3.58
194805,3.29,2.62
194905,2.40,1.73
195005,2.81,2.14
195105,1.11,0.44
195205,3.06,2.39
195305,-1.22,-1.89
195405,-3.55,-4.22
195505,-5.68,-6.35
195605,-1.08,-1.75
195705,2.12,1.45
195805,-0.83,-1.50
195905,0.43,-0.24
196005,-3.99,-4.66
196105,-5.38,-6.05
196205,2.93,2.26
196305,0.09,-0.58
196405,0.36,-0.31
196505,1.81,1.14
196605,-2.94,-3.61
196705,0.53,-0.14
196805,2.50,1.83
196905,-1.25,-1.92
197005,1.02,0.35
197105,4.62,3.95
197205,3.06,2.39
197305,3.04,2.37
197405,-0.66,-1.33
197505,1.31,0.64
197605,1.74,1.07
197705,-3.97,-4.64
197805,2.63,1.96
197905,-0.43,-1.10
198005,0.88,0.21
198105,-2.48,-3.15
198205,0.93,0.26
198305,5.24,4.57
198405,4.45,3.78
198505,-2.54,-3.21
198605,1.53,0.86
198705,-1.26,-1.93
198805,-2.39,-3.06
198905,-4.42,-5.09
199005,-3.15,-3.82
199105,1.25,0.58
199205,-3.87,-4.54
199305,0.64,-0.03
199405,-1.11,-1.78
199505,4.53,3.86
199605,5.03,4.36
199705,3.82,3.15
199805,2.39,1.72
199905,5.47,4.80
200005,-2.97,-3.64
200105,-6.27,-6.94
200205,-7.51,-8.18
200305,-4.92,-5.59
200405,-5.80,-6.47
200505,-2.98,-3.65
200605,-3.11,-3.78
200705,-4.89,-5.56
200805,1.39,0.72
200905,-0.62,-1.29
201005,1.40,0.73
201105,4.87,4.20
201205,-3.07,-3.74
201305,-5.75,-6.42
201405,2.30,1.63
201505,1.75,1.08
201605,0.76,0.09
201705,-0.19,-0.86
201805,0.37,-0.30
201905,1.91,1.24
202005,-0.65,-1.32
202105,-3.99,-4.66
