New Mexico, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,1.49,1.30
189602,-0.48,-0.67
189702,2.04,1.85
189802,2.22,2.03
189902,-0.72,-0.91
190002,-1.16,-1.35
190102,-0.56,-0.75
190202,-1.62,-1.81
190302,0.79,0.60
190402,-3.71,-3.90
190502,3.64,3.45
190602,5.86,5.67
190702,4.81,4.62
190802,3.20,3.01
190902,-1.59,-1.78
191002,-1.75,-1.94
191102,1.19,1.00
191202,1.16,0.97
191302,1.11,0.92
191402,-0.63,-0.82
191502,3.86,3.67
191602,3.78,3.59
191702,-0.26,-0.45
191802,-2.76,-2.95
191902,1.50,1.31
192002,4.71,4.52
192102,-1.12,-1.31
192202,-2.22,-2.41
192302,0.52,0.33
192402,2.77,2.58
192502,-2.63,-2.82
192602,-1.05,-1.24
192702,-0.72,-0.91
192802,0.51,0.32
192902,0.39,0.20
193002,-1.07,-1.26
193102,1.16,0.97
193202,3.05,2.86
193302,0.56,0.37
193402,-1.98,-2.17
193502,-3.23,-3.42
193602,0.92,0.73
193702,0.30,0.11
193802,-1.14,-1.33
193902,0.76,0.57
194002,0.54,0.35
194102,1.71,1.52
194202,9.03,8.84
194302,-0.98,-1.17
194402,0.77,0.58
194502,-0.49,-0.68
194602,-2.22,-2.41
194702,-1.91,-2.10
194802,1.53,1.34
194902,1.14,0.95
195002,-1.78,-1.97
195102,-3.04,-3.23
195202,-3.33,-3.52
195302,-2.51,-2.70
195402,-4.06,-4.25
195502,-3.41,-3.60
195602,-3.04,-3.23
195702,-5.37,-5.56
195802,1.39,1.20
195902,-1.44,-1.63
196002,1.04,0.85
196102,1.03,0.84
196202,-0.34,-0.53
196302,-0.07,-0.26
196402,-2.12,-2.31
196502,0.05,-0.14
196602,0.73,0.54
196702,-2.15,-2.34
196802,0.64,0.45
196902,-1.25,-1.44
197002,-0.78,-0.97
197102,-2.26,-2.45
197202,-1.11,-1.30
197302,3.87,3.68
197402,-1.96,-2.15
197502,2.76,2.57
197602,-1.44,-1.63
197702,-1.62,-1.81
197802,0.56,0.37
197902,2.89,2.70
198002,2.53,2.34
198102,-2.62,-2.81
198202,-0.64,-0.83
198302,1.82,1.63
198402,0.88,0.69
198502,3.75,3.56
198602,3.38,3.19
198702,6.18,5.99
198802,3.79,3.60
198902,-0.74,-0.93
199002,-2.13,-2.32
199102,1.13,0.94
199202,4.29,4.10
199302,4.43,4.24
199402,-1.35,-1.54
199502,-0.45,-0.64
199602,-2.79,-2.98
199702,1.06,0.87
199802,1.73,1.54
199902,-1.45,-1.64
200002,-3.11,-3.30
200102,2.55,2.36
200202,-2.00,-2.19
200302,-2.03,-2.22
200402,0.46,0.27
200502,3.19,3.00
200602,-2.89,-3.08
200702,2.03,1.84
200802,-0.80,-0.99
200902,-1.70,-1.89
201002,1.67,1.48
201102,-2.05,-2.24
201202,-3.40,-3.59
201302,-4.59,-4.78
201402,-3.16,-3.35
201502,0.63,0.44
201602,-0.63,-0.82
201702,-0.35,-0.54
201802,-2.36,-2.55
201902,-1.84,-2.03
