Texas, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,2.28,2.44
189609,-2.71,-2.55
189709,-1.92,-1.76
189809,-2.06,-1.90
189909,-2.63,-2.47
190009,4.37,4.53
190109,-3.75,-3.59
190209,0.31,0.47
190309,-0.31,-0.15
190409,-2.25,-2.09
190509,2.77,2.93
190609,3.03,3.19
190709,-2.58,-2.42
190809,-0.12,0.04
190909,-4.47,-4.31
191009,-5.03,-4.87
191109,-4.42,-4.26
191209,-1.07,-0.91
191309,1.24,1.40
191409,4.26,4.42
191509,4.54,4.70
191609,-3.10,-2.94
191709,-5.68,-5.52
191809,-6.67,-6.51
191909,7.31,7.47
192009,5.08,5.24
192109,-0.87,-0.71
192209,-1.34,-1.18
192309,0.37,0.53
192409,-1.19,-1.03
192509,0.21,0.37
192609,2.44,2.60
192709,-1.52,-1.36
192809,-1.61,-1.45
192909,-0.91,-0.75
193009,-2.39,-2.23
193109,-1.45,-1.29
193209,3.05,3.21
193309,-1.55,-1.39
193409,-3.83,-3.67
193509,3.08,3.24
193609,1.42,1.58
193709,-2.19,-2.03
193809,-1.23,-1.07
193909,-3.36,-3.20
194009,-0.77,-0.61
194109,7.51,7.67
194209,4.86,5.02
194309,-3.08,-2.92
194409,2.12,2.28
194509,1.89,2.05
194609,0.79,0.95
194709,-1.55,-1.39
194809,-2.37,-2.21
194909,1.89,2.05
195009,1.81,1.97
195109,-3.94,-3.78
195209,-5.42,-5.26
195309,-3.76,-3.60
195409,-5.75,-5.59
195509,-4.20,-4.04
195609,-7.77,-7.61
195709,2.28,2.44
195809,3.83,3.99
195909,1.02,1.18
196009,1.51,1.67
196109,2.92,3.08
196209,-1.74,-1.58
196309,-4.43,-4.27
196409,-2.58,-2.42
196509,-1.53,-1.37
196609,1.96,2.12
196709,1.24,1.40
196809,4.53,4.69
196909,2.15,2.31
197009,0.68,0.84
197109,2.16,2.32
197209,0.75,0.91
197309,4.63,4.79
197409,3.22,3.38
197509,0.04,0.20
197609,1.07,1.23
197709,-1.80,-1.64
197809,0.75,0.91
197909,0.02,0.18
198009,-1.23,-1.07
198109,1.56,1.72
198209,-1.47,-1.31
198309,-0.60,-0.44
198409,-2.89,-2.73
198509,1.79,1.95
198609,0.76,0.92
198709,0.00,0.16
198809,-0.93,-0.77
198909,-0.96,-0.80
199009,0.54,0.70
199109,2.69,2.85
199209,5.13,5.29
199309,-0.82,-0.66
199409,-1.40,-1.24
199509,2.80,2.96
199609,1.78,1.94
199709,2.86,3.02
199809,0.32,0.48
199909,-1.19,-1.03
200009,-5.77,-5.61
200109,-0.91,-0.75
200209,0.25,0.41
200309,-0.70,-0.54
200409,2.88,3.04
200509,-1.32,-1.16
200609,0.14,0.30
200709,-0.02,0.14
200809,-1.63,-1.47
200909,0.54,0.70
201009,-0.02,0.14
201109,-8.06,-7.90
201209,-3.31,-3.15
201309,-3.95,-3.79
201409,-2.72,-2.56
201509,2.82,2.98
201609,-0.17,-0.01
201709,-0.17,-0.01
201809,-1.80,-1.64
