Nevada, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,2.83,2.84
189602,0.64,0.65
189702,2.23,2.24
189802,-0.57,-0.56
189902,0.29,0.30
190002,-1.92,-1.91
190102,1.61,1.62
190202,0.17,0.18
190302,0.46,0.47
190402,0.61,0.62
190502,0.26,0.27
190602,0.76,0.77
190702,4.97,4.98
190802,4.31,4.32
190902,2.47,2.48
191002,2.99,3.00
191102,1.82,1.83
191202,-2.33,-2.32
191302,-1.27,-1.26
191402,4.04,4.05
191502,-1.00,-0.99
191602,2.36,2.37
191702,1.40,1.41
191802,0.29,0.30
191902,0.60,0.61
192002,-1.97,-1.96
192102,-0.37,-0.36
192202,2.34,2.35
192302,2.20,2.21
192402,-2.09,-2.08
192502,-3.58,-3.57
192602,-1.18,-1.17
192702,-2.38,-2.37
192802,-1.78,-1.77
192902,-3.68,-3.67
193002,-3.82,-3.81
193102,-2.75,-2.74
193202,2.54,2.55
193302,-1.04,-1.03
193402,-3.45,-3.44
193502,0.56,0.57
193602,1.46,1.47
193702,1.57,1.58
193802,0.60,0.61
193902,-0.45,-0.44
194002,1.17,1.18
194102,1.31,1.32
194202,5.24,5.25
194302,2.84,2.85
194402,1.65,1.66
194502,1.27,1.28
194602,2.92,2.93
194702,-0.65,-0.64
194802,-1.82,-1.81
194902,0.86,0.87
195002,-2.28,-2.27
195102,-2.25,-2.24
195202,1.92,1.93
195302,-1.77,-1.76
195402,-3.66,-3.65
195502,-3.37,-3.36
195602,-0.01,0.00
195702,-2.01,-2.00
195802,1.02,1.03
195902,-1.92,-1.91
196002,-3.32,-3.31
196102,-3.29,-3.28
196202,1.29,1.30
196302,-2.73,-2.72
196402,-1.41,-1.40
196502,-0.47,-0.46
196602,-0.47,-0.46
196702,0.48,0.49
196802,-1.47,-1.46
196902,3.04,3.05
197002,-0.70,-0.69
197102,-0.51,-0.50
197202,-0.91,-0.90
197302,2.31,2.32
197402,-0.43,-0.42
197502,0.11,0.12
197602,-1.24,-1.23
197702,-3.02,-3.01
197802,1.36,1.37
197902,3.21,3.22
198002,2.25,2.26
198102,-2.69,-2.68
198202,0.26,0.27
198302,4.03,4.04
198402,6.93,6.94
198502,-0.32,-0.31
198602,0.73,0.74
198702,-1.75,-1.74
198802,-0.47,-0.46
198902,-1.21,-1.20
199002,-2.93,-2.92
199102,-4.68,-4.67
199202,-2.35,-2.34
199302,2.80,2.81
199402,-1.33,-1.32
199502,1.65,1.66
199602,-0.32,-0.31
199702,-0.04,-0.03
199802,1.57,1.58
199902,-0.81,-0.80
200002,-1.90,-1.89
200102,-2.05,-2.04
200202,-3.17,-3.16
200302,-4.52,-4.51
200402,-1.83,-1.82
200502,3.68,3.69
200602,3.34,3.35
200702,-2.32,-2.31
200802,-2.87,-2.86
200902,-3.18,-3.17
201002,0.27,0.28
201102,2.21,2.22
201202,-2.26,-2.25
201302,-3.45,-3.44
201402,-4.10,-4.09
201502,-4.72,-4.71
201602,-0.41,-0.40
201702,2.78,2.79
201802,-2.85,-2.84
201902,-1.54,-1.53
