Oregon, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,-0.61,-0.54
189606,2.24,2.31
189706,0.49,0.56
189806,-1.30,-1.23
189906,1.00,1.07
190006,0.30,0.37
190106,-0.53,-0.46
190206,1.57,1.64
190306,-1.11,-1.04
190406,-1.10,-1.03
190506,-1.25,-1.18
190606,1.51,1.58
190706,2.25,2.32
190806,0.53,0.60
190906,-1.60,-1.53
191006,-1.60,-1.53
191106,0.68,0.75
191206,2.05,2.12
191306,2.18,2.25
191406,-0.58,-0.51
191506,0.64,0.71
191606,2.69,2.76
191706,-0.32,-0.25
191806,-1.98,-1.91
191906,-0.96,-0.89
192006,0.44,0.51
192106,-0.16,-0.09
192206,-0.66,-0.59
192306,0.76,0.83
192406,-4.26,-4.19
192506,0.56,0.63
192606,-3.28,-3.21
192706,1.48,1.55
192806,-1.33,-1.26
192906,-2.44,-2.37
193006,-3.17,-3.10
193106,-3.26,-3.19
193206,-0.50,-0.43
193306,0.70,0.77
193406,-3.16,-3.09
193506,-2.04,-1.97
193606,-1.47,-1.40
193706,2.07,2.14
193806,-0.97,-0.90
193906,-3.54,-3.47
194006,-2.56,-2.49
194106,1.41,1.48
194206,2.08,2.15
194306,2.19,2.26
194406,-1.17,-1.10
194506,-0.32,-0.25
194606,-0.73,-0.66
194706,1.11,1.18
194806,3.58,3.65
194906,-1.36,-1.29
195006,0.55,0.62
195106,-1.27,-1.20
195206,0.83,0.90
195306,2.81,2.88
195406,0.54,0.61
195506,0.45,0.52
195606,2.51,2.58
195706,1.51,1.58
195806,1.78,1.85
195906,-1.26,-1.19
196006,-0.69,-0.62
196106,-0.45,-0.38
196206,-0.54,-0.47
196306,1.57,1.64
196406,0.64,0.71
196506,0.13,0.20
196606,-2.53,-2.46
196706,-1.00,-0.93
196806,-2.45,-2.38
196906,-0.46,-0.39
197006,-0.94,-0.87
197106,2.11,2.18
197206,-0.53,-0.46
197306,-3.15,-3.08
197406,-0.90,-0.83
197506,1.01,1.08
197606,-0.94,-0.87
197706,0.45,0.52
197806,0.93,1.00
197906,-0.47,-0.40
198006,0.67,0.74
198106,0.92,0.99
198206,2.57,2.64
198306,3.74,3.81
198406,3.87,3.94
198506,-2.36,-2.29
198606,-1.01,-0.94
198706,-2.24,-2.17
198806,-1.86,-1.79
198906,-0.54,-0.47
199006,-1.38,-1.31
199106,2.04,2.11
199206,-3.78,-3.71
199306,2.30,2.37
199406,-2.66,-2.59
199506,2.10,2.17
199606,3.57,3.64
199706,2.78,2.85
199806,3.19,3.26
199906,-0.53,-0.46
200006,-1.41,-1.34
200106,-3.49,-3.42
200206,-2.27,-2.20
200306,-2.01,-1.94
200406,-2.13,-2.06
200506,1.72,1.79
200606,-0.29,-0.22
200706,-1.93,-1.86
200806,-0.94,-0.87
200906,-1.28,-1.21
201006,2.18,2.25
201106,3.82,3.89
201206,2.04,2.11
201306,-1.76,-1.69
201406,-1.19,-1.12
201506,-3.17,-3.10
201606,-2.31,-2.24
201706,-0.51,-0.44
201806,-2.09,-2.02
201906,0.96,1.03
202006,-1.53,-1.46
