Wyoming, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,2.94,2.39
189609,3.59,3.04
189709,-2.42,-2.97
189809,-1.15,-1.70
189909,2.82,2.27
190009,-3.35,-3.90
190109,-2.84,-3.39
190209,-4.15,-4.70
190309,1.58,1.03
190409,-0.57,-1.12
190509,2.22,1.67
190609,3.57,3.02
190709,4.11,3.56
190809,3.20,2.65
190909,4.46,3.91
191009,-4.11,-4.66
191109,-5.30,-5.85
191209,4.44,3.89
191309,2.24,1.69
191409,-1.65,-2.20
191509,3.51,2.96
191609,0.68,0.13
191709,-1.22,-1.77
191809,1.58,1.03
191909,-6.49,-7.04
192009,-0.35,-0.90
192109,-0.85,-1.40
192209,-0.85,-1.40
192309,4.78,4.23
192409,1.45,0.90
192509,2.58,2.03
192609,3.95,3.40
192709,6.14,5.59
192809,4.62,4.07
192909,4.19,3.64
193009,1.53,0.98
193109,-3.51,-4.06
193209,-1.96,-2.51
193309,-1.76,-2.31
193409,-7.59,-8.14
193509,-4.24,-4.79
193609,-2.93,-3.48
193709,1.25,0.70
193809,1.94,1.39
193909,-3.00,-3.55
194009,-4.28,-4.83
194109,3.13,2.58
194209,2.30,1.75
194309,2.70,2.15
194409,2.37,1.82
194509,5.89,5.34
194609,3.62,3.07
194709,5.32,4.77
194809,2.02,1.47
194909,1.41,0.86
195009,3.42,2.87
195109,2.69,2.14
195209,-0.90,-1.45
195309,-1.74,-2.29
195409,-4.79,-5.34
195509,-4.96,-5.51
195609,-2.97,-3.52
195709,2.75,2.20
195809,-0.70,-1.25
195909,-0.21,-0.76
196009,-5.75,-6.30
196109,1.50,0.95
196209,-0.21,-0.76
196309,1.01,0.46
196409,-0.82,-1.37
196509,4.60,4.05
196609,0.16,-0.39
196709,3.10,2.55
196809,4.22,3.67
196909,-1.26,-1.81
197009,1.02,0.47
197109,2.25,1.70
197209,2.94,2.39
197309,4.11,3.56
197409,-2.04,-2.59
197509,1.21,0.66
197609,-0.12,-0.67
197709,-4.06,-4.61
197809,1.79,1.24
197909,-0.99,-1.54
198009,-0.64,-1.19
198109,-2.99,-3.54
198209,4.61,4.06
198309,4.77,4.22
198409,4.17,3.62
198509,0.74,0.19
198609,2.02,1.47
198709,-1.20,-1.75
198809,-5.32,-5.87
198909,-3.57,-4.12
199009,-2.85,-3.40
199109,1.39,0.84
199209,-3.01,-3.56
199309,3.75,3.20
199409,-3.30,-3.85
199509,4.85,4.30
199609,1.94,1.39
199709,4.95,4.40
199809,4.00,3.45
199909,4.47,3.92
200009,-4.33,-4.88
200109,-7.43,-7.98
200209,-7.89,-8.44
200309,-4.49,-5.04
200409,-4.28,-4.83
200509,-2.53,-3.08
200609,-4.67,-5.22
200709,-5.54,-6.09
200809,-0.23,-0.78
200909,1.33,0.78
201009,1.32,0.77
201109,-0.99,-1.54
201209,-6.94,-7.49
201309,1.18,0.63
201409,3.37,2.82
201509,-0.69,-1.24
201609,0.52,-0.03
201709,0.80,0.25
201809,-1.00,-1.55
201909,2.26,1.71
202009,-2.73,-3.28
