Arizona, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,-0.35,-0.40
189612,1.25,1.20
189712,-0.87,-0.92
189812,-1.77,-1.82
189912,-3.10,-3.15
190012,-3.89,-3.94
190112,-3.72,-3.77
190212,-3.53,-3.58
190312,-3.23,-3.28
190412,-3.53,-3.58
190512,6.28,6.23
190612,5.39,5.34
190712,3.45,3.40
190812,2.55,2.50
190912,0.42,0.37
191012,0.17,0.12
191112,-0.78,-0.83
191212,-0.79,-0.84
191312,-0.20,-0.25
191412,1.90,1.85
191512,3.90,3.85
191612,3.43,3.38
191712,-2.66,-2.71
191812,0.89,0.84
191912,3.76,3.71
192012,-0.98,-1.03
192112,1.09,1.04
192212,-0.75,-0.80
192312,2.79,2.74
192412,-1.27,-1.32
192512,-0.46,-0.51
192612,1.03,0.98
192712,-0.32,-0.37
192812,-2.01,-2.06
192912,-1.60,-1.65
193012,-0.52,-0.57
193112,3.23,3.18
193212,0.53,0.48
193312,-0.83,-0.88
193412,0.13,0.08
193512,-0.56,-0.61
193612,0.57,0.52
193712,-1.47,-1.52
193812,-1.17,-1.22
193912,-0.86,-0.91
194012,2.87,2.82
194112,6.54,6.49
194212,-1.95,-2.00
194312,-0.60,-0.65
194412,0.62,0.57
194512,-1.10,-1.15
194612,-0.23,-0.28
194712,-2.02,-2.07
194812,0.29,0.24
194912,-0.62,-0.67
195012,-4.12,-4.17
195112,1.50,1.45
195212,-0.03,-0.08
195312,-2.34,-2.39
195412,-2.36,-2.41
195512,-2.06,-2.11
195612,-4.83,-4.88
195712,-0.48,-0.53
195812,-1.02,-1.07
195912,1.52,1.47
196012,-1.15,-1.20
196112,0.79,0.74
196212,-1.41,-1.46
196312,-1.42,-1.47
196412,0.11,0.06
196512,3.66,3.61
196612,-0.20,-0.25
196712,1.70,1.65
196812,-0.85,-0.90
196912,-0.46,-0.51
197012,-0.88,-0.93
197112,1.69,1.64
197212,3.16,3.11
197312,-2.49,-2.54
197412,-1.89,-1.94
197512,-1.51,-1.56
197612,-0.90,-0.95
197712,-2.24,-2.29
197812,4.77,4.72
197912,2.37,2.32
198012,-2.20,-2.25
198112,-2.11,-2.16
198212,2.29,2.24
198312,5.87,5.82
198412,3.40,3.35
198512,-0.42,-0.47
198612,1.01,0.96
198712,1.12,1.07
198812,-1.16,-1.21
198912,-4.30,-4.35
199012,0.97,0.92
199112,0.78,0.73
199212,3.92,3.87
199312,-0.52,-0.57
199412,1.16,1.11
199512,-2.30,-2.35
199612,-3.87,-3.92
199712,0.61,0.56
199812,-0.56,-0.61
199912,-2.32,-2.37
200012,1.36,1.31
200112,-2.21,-2.26
200212,-4.21,-4.26
200312,-3.45,-3.50
200412,1.99,1.94
200512,-2.19,-2.24
200612,-3.10,-3.15
200712,-3.13,-3.18
200812,-1.02,-1.07
200912,0.06,0.01
201012,-0.73,-0.78
201112,-2.20,-2.25
201212,-3.38,-3.43
201312,-1.46,-1.51
201412,-2.34,-2.39
201512,-0.40,-0.45
201612,-1.63,-1.68
201712,-3.75,-3.80
201812,-2.83,-2.88
