Wyoming, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,2.56,2.09
189612,2.91,2.44
189712,-1.20,-1.67
189812,-0.46,-0.93
189912,-0.33,-0.80
190012,-3.24,-3.71
190112,-2.66,-3.13
190212,-3.81,-4.28
190312,-0.37,-0.84
190412,-2.19,-2.66
190512,1.26,0.79
190612,2.97,2.50
190712,-0.81,-1.28
190812,3.28,2.81
190912,3.95,3.48
191012,-3.89,-4.36
191112,0.82,0.35
191212,4.17,3.70
191312,2.01,1.54
191412,-2.79,-3.26
191512,2.77,2.30
191612,1.36,0.89
191712,-1.87,-2.34
191812,-0.75,-1.22
191912,2.21,1.74
192012,0.30,-0.17
192112,1.10,0.63
192212,0.72,0.25
192312,5.20,4.73
192412,2.59,2.12
192512,3.46,2.99
192612,3.44,2.97
192712,5.93,5.46
192812,4.40,3.93
192912,-0.32,-0.79
193012,-0.60,-1.07
193112,-2.89,-3.36
193212,-1.41,-1.88
193312,-3.11,-3.58
193412,-6.54,-7.01
193512,-4.35,-4.82
193612,-2.49,-2.96
193712,1.59,1.12
193812,-0.14,-0.61
193912,-4.30,-4.77
194012,-3.71,-4.18
194112,3.63,3.16
194212,4.01,3.54
194312,1.15,0.68
194412,1.81,1.34
194512,4.85,4.38
194612,4.41,3.94
194712,4.58,4.11
194812,1.90,1.43
194912,1.53,1.06
195012,1.99,1.52
195112,2.99,2.52
195212,-2.26,-2.73
195312,-2.52,-2.99
195412,-5.15,-5.62
195512,-2.69,-3.16
195612,-2.69,-3.16
195712,-0.12,-0.59
195812,0.46,-0.01
195912,-1.13,-1.60
196012,-4.38,-4.85
196112,1.87,1.40
196212,-1.51,-1.98
196312,-1.48,-1.95
196412,1.22,0.75
196512,-0.92,-1.39
196612,-0.36,-0.83
196712,2.83,2.36
196812,3.12,2.65
196912,0.46,-0.01
197012,1.87,1.40
197112,3.21,2.74
197212,3.17,2.70
197312,3.94,3.47
197412,-2.00,-2.47
197512,1.70,1.23
197612,-1.56,-2.03
197712,0.38,-0.09
197812,1.81,1.34
197912,-1.57,-2.04
198012,-0.93,-1.40
198112,0.45,-0.02
198212,4.75,4.28
198312,5.56,5.09
198412,-0.11,-0.58
198512,1.21,0.74
198612,-0.55,-1.02
198712,-1.27,-1.74
198812,-4.96,-5.43
198912,-3.18,-3.65
199012,-2.20,-2.67
199112,-0.46,-0.93
199212,0.28,-0.19
199312,3.49,3.02
199412,1.65,1.18
199512,4.48,4.01
199612,3.17,2.70
199712,3.44,2.97
199812,4.58,4.11
199912,-2.03,-2.50
200012,-3.77,-4.24
200112,-6.39,-6.86
200212,-6.18,-6.65
200312,-3.78,-4.25
200412,-3.38,-3.85
200512,-1.59,-2.06
200612,-3.56,-4.03
200712,-4.04,-4.51
200812,-0.48,-0.95
200912,-0.51,-0.98
201012,1.75,1.28
201112,0.49,0.02
201212,-5.72,-6.19
201312,1.96,1.49
201412,0.74,0.27
201512,-0.80,-1.27
201612,0.59,0.12
201712,-0.12,-0.59
201812,0.00,-0.47
