Wyoming, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,2.83,2.28
189602,2.71,2.16
189702,3.09,2.54
189802,-1.29,-1.84
189902,2.22,1.67
190002,-0.68,-1.23
190102,-3.24,-3.79
190202,-3.20,-3.75
190302,-3.03,-3.58
190402,1.04,0.49
190502,-2.51,-3.06
190602,1.14,0.59
190702,3.05,2.50
190802,-1.37,-1.92
190902,4.88,4.33
191002,3.48,2.93
191102,-3.29,-3.84
191202,0.99,0.44
191302,4.43,3.88
191402,2.27,1.72
191502,-3.51,-4.06
191602,3.68,3.13
191702,1.68,1.13
191802,-1.31,-1.86
191902,-1.73,-2.28
192002,2.16,1.61
192102,-0.28,-0.83
192202,1.62,1.07
192302,0.72,0.17
192402,5.40,4.85
192502,2.22,1.67
192602,3.61,3.06
192702,3.84,3.29
192802,5.86,5.31
192902,4.34,3.79
193002,-0.35,-0.90
193102,-1.55,-2.10
193202,-2.42,-2.97
193302,-1.34,-1.89
193402,-3.65,-4.20
193502,-6.69,-7.24
193602,-2.31,-2.86
193702,0.11,-0.44
193802,1.19,0.64
193902,0.19,-0.36
194002,-3.72,-4.27
194102,-4.33,-4.88
194202,3.46,2.91
194302,5.00,4.45
194402,0.58,0.03
194502,1.79,1.24
194602,4.34,3.79
194702,4.21,3.66
194802,4.73,4.18
194902,2.72,2.17
195002,1.87,1.32
195102,1.76,1.21
195202,3.06,2.51
195302,-1.63,-2.18
195402,-2.94,-3.49
195502,-5.19,-5.74
195602,-1.67,-2.22
195702,-2.95,-3.50
195802,-0.59,-1.14
195902,0.47,-0.08
196002,-1.66,-2.21
196102,-4.96,-5.51
196202,2.78,2.23
196302,-1.45,-2.00
196402,-1.87,-2.42
196502,1.57,1.02
196602,-1.52,-2.07
196702,-0.33,-0.88
196802,2.33,1.78
196902,3.42,2.87
197002,0.16,-0.39
197102,2.51,1.96
197202,3.98,3.43
197302,2.55,2.00
197402,3.54,2.99
197502,-0.23,-0.78
197602,1.81,1.26
197702,-2.80,-3.35
197802,1.02,0.47
197902,1.89,1.34
198002,0.54,-0.01
198102,-2.11,-2.66
198202,0.35,-0.20
198302,4.20,3.65
198402,4.71,4.16
198502,-0.72,-1.27
198602,2.10,1.55
198702,-0.35,-0.90
198802,-1.53,-2.08
198902,-4.57,-5.12
199002,-3.38,-3.93
199102,-2.95,-3.50
199202,-1.52,-2.07
199302,0.22,-0.33
199402,3.78,3.23
199502,1.81,1.26
199602,4.64,4.09
199702,3.81,3.26
199802,3.22,2.67
199902,4.93,4.38
200002,-2.00,-2.55
200102,-4.42,-4.97
200202,-6.87,-7.42
200302,-5.67,-6.22
200402,-3.72,-4.27
200502,-3.62,-4.17
200602,-1.59,-2.14
200702,-3.74,-4.29
200802,-3.59,-4.14
200902,-0.64,-1.19
201002,-0.97,-1.52
201102,1.84,1.29
201202,0.58,0.03
201302,-5.87,-6.42
201402,2.50,1.95
201502,-0.11,-0.66
201602,-1.13,-1.68
201702,2.09,1.54
201802,-0.16,-0.71
201902,0.00,-0.55
