Washington, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,-1.27,-1.23
189608,-0.66,-0.62
189708,1.28,1.32
189808,-0.96,-0.92
189908,2.37,2.41
190008,1.73,1.77
190108,1.34,1.38
190208,2.01,2.05
190308,1.33,1.37
190408,-1.17,-1.13
190508,1.58,1.62
190608,0.71,0.75
190708,0.39,0.43
190808,0.66,0.70
190908,-0.21,-0.17
191008,-1.81,-1.77
191108,0.12,0.16
191208,1.81,1.85
191308,1.10,1.14
191408,-1.95,-1.91
191508,-0.47,-0.43
191608,3.58,3.62
191708,-0.78,-0.74
191808,-1.14,-1.10
191908,-1.22,-1.18
192008,1.01,1.05
192108,1.31,1.35
192208,-2.55,-2.51
192308,0.99,1.03
192408,-3.88,-3.84
192508,-2.99,-2.95
192608,0.31,0.35
192708,0.12,0.16
192808,-2.11,-2.07
192908,-2.88,-2.84
193008,-3.59,-3.55
193108,-0.86,-0.82
193208,-0.92,-0.88
193308,0.23,0.27
193408,-3.12,-3.08
193508,-1.87,-1.83
193608,-0.18,-0.14
193708,2.56,2.60
193808,-2.61,-2.57
193908,-3.25,-3.21
194008,-2.87,-2.83
194108,1.60,1.64
194208,-0.02,0.02
194308,0.70,0.74
194408,-2.82,-2.78
194508,-1.16,-1.12
194608,0.23,0.27
194708,0.31,0.35
194808,4.57,4.61
194908,-2.33,-2.29
195008,1.72,1.76
195108,-1.74,-1.70
195208,-1.65,-1.61
195308,1.98,2.02
195408,2.48,2.52
195508,1.37,1.41
195608,0.09,0.13
195708,0.21,0.25
195808,-2.41,-2.37
195908,0.96,1.00
196008,-0.52,-0.48
196108,-0.93,-0.89
196208,0.80,0.84
196308,0.49,0.53
196408,1.41,1.45
196508,-0.98,-0.94
196608,-0.20,-0.16
196708,-2.11,-2.07
196808,1.74,1.78
196908,-1.66,-1.62
197008,-2.67,-2.63
197108,1.53,1.57
197208,3.07,3.11
197308,-2.89,-2.85
197408,-0.27,-0.23
197508,1.18,1.22
197608,2.31,2.35
197708,0.79,0.83
197808,1.41,1.45
197908,-2.35,-2.31
198008,1.23,1.27
198108,2.13,2.17
198208,1.35,1.39
198308,3.27,3.31
198408,2.77,2.81
198508,-2.64,-2.60
198608,-1.77,-1.73
198708,-1.81,-1.77
198808,-1.39,-1.35
198908,-0.78,-0.74
199008,1.87,1.91
199108,2.57,2.61
199208,-2.93,-2.89
199308,2.94,2.98
199408,-2.41,-2.37
199508,0.91,0.95
199608,1.91,1.95
199708,4.60,4.64
199808,-0.97,-0.93
199908,2.62,2.66
200008,-0.33,-0.29
200108,0.62,0.66
200208,-0.82,-0.78
200308,-2.74,-2.70
200408,-1.39,-1.35
200508,0.74,0.78
200608,-1.21,-1.17
200708,-1.20,-1.16
200808,-0.67,-0.63
200908,-1.63,-1.59
201008,2.10,2.14
201108,-0.35,-0.31
201208,2.79,2.83
201308,0.75,0.79
201408,-0.25,-0.21
201508,-3.73,-3.69
201608,-2.09,-2.05
201708,-1.68,-1.64
201808,-2.67,-2.63
201908,-3.09,-3.05
202008,-1.13,-1.09
