California, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,1.72,1.80
189602,-1.00,-0.92
189702,3.00,3.08
189802,-2.33,-2.25
189902,-3.08,-3.00
190002,-0.98,-0.90
190102,2.47,2.55
190202,1.18,1.26
190302,1.14,1.22
190402,1.50,1.58
190502,1.17,1.25
190602,0.78,0.86
190702,4.05,4.13
190802,-0.41,-0.33
190902,3.59,3.67
191002,-0.39,-0.31
191102,1.83,1.91
191202,-3.37,-3.29
191302,-1.39,-1.31
191402,4.16,4.24
191502,2.27,2.35
191602,-0.25,-0.17
191702,-0.04,0.04
191802,-3.26,-3.18
191902,-0.96,-0.88
192002,-3.52,-3.44
192102,-0.47,-0.39
192202,1.41,1.49
192302,-0.96,-0.88
192402,-3.59,-3.51
192502,0.58,0.66
192602,-1.25,-1.17
192702,2.40,2.48
192802,-1.40,-1.32
192902,-2.61,-2.53
193002,-2.10,-2.02
193102,-2.88,-2.80
193202,-0.01,0.07
193302,-1.83,-1.75
193402,-1.84,-1.76
193502,0.44,0.52
193602,1.63,1.71
193702,1.10,1.18
193802,2.51,2.59
193902,-1.82,-1.74
194002,2.21,2.29
194102,3.05,3.13
194202,3.37,3.45
194302,2.52,2.60
194402,0.55,0.63
194502,0.58,0.66
194602,-0.96,-0.88
194702,-2.16,-2.08
194802,-3.65,-3.57
194902,-1.32,-1.24
195002,-2.08,-2.00
195102,-0.26,-0.18
195202,2.71,2.79
195302,-0.96,-0.88
195402,0.24,0.32
195502,-1.32,-1.24
195602,0.04,0.12
195702,-2.26,-2.18
195802,3.55,3.63
195902,-1.83,-1.75
196002,-3.55,-3.47
196102,-2.80,-2.72
196202,1.49,1.57
196302,-1.40,-1.32
196402,-1.97,-1.89
196502,-0.89,-0.81
196602,-0.49,-0.41
196702,1.06,1.14
196802,-1.13,-1.05
196902,4.36,4.44
197002,-0.49,-0.41
197102,-1.22,-1.14
197202,-1.05,-0.97
197302,2.43,2.51
197402,1.96,2.04
197502,0.46,0.54
197602,-3.14,-3.06
197702,-5.54,-5.46
197802,2.66,2.74
197902,0.77,0.85
198002,2.33,2.41
198102,-2.54,-2.46
198202,2.02,2.10
198302,5.97,6.05
198402,-1.53,-1.45
198502,-1.39,-1.31
198602,2.10,2.18
198702,-2.78,-2.70
198802,-2.76,-2.68
198902,-2.44,-2.36
199002,-2.86,-2.78
199102,-5.68,-5.60
199202,-2.46,-2.38
199302,3.44,3.52
199402,-2.26,-2.18
199502,2.23,2.31
199602,2.90,2.98
199702,-0.94,-0.86
199802,4.16,4.24
199902,0.57,0.65
200002,1.00,1.08
200102,-2.06,-1.98
200202,-2.24,-2.16
200302,0.37,0.45
200402,1.01,1.09
200502,2.28,2.36
200602,2.84,2.92
200702,-2.81,-2.73
200802,-2.33,-2.25
200902,-4.15,-4.07
201002,0.66,0.74
201102,1.82,1.90
201202,-3.18,-3.10
201302,-1.66,-1.58
201402,-5.87,-5.79
201502,-4.86,-4.78
201602,-2.99,-2.91
201702,4.76,4.84
201802,-4.14,-4.06
201902,-0.66,-0.58
