Colorado, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.64,1.25
189601,3.12,2.73
189701,0.05,-0.34
189801,2.25,1.86
189901,1.45,1.06
190001,-1.09,-1.48
190101,-3.87,-4.26
190201,-4.27,-4.66
190301,-3.35,-3.74
190401,-2.40,-2.79
190501,-1.46,-1.85
190601,-0.84,-1.23
190701,3.57,3.18
190801,-0.50,-0.89
190901,3.33,2.94
191001,3.76,3.37
191101,-2.22,-2.61
191201,0.97,0.58
191301,-0.55,-0.94
191401,2.12,1.73
191501,2.29,1.90
191601,4.80,4.41
191701,3.32,2.93
191801,0.38,-0.01
191901,0.85,0.46
192001,2.10,1.71
192101,2.79,2.40
192201,2.86,2.47
192301,0.58,0.19
192401,5.49,5.10
192501,-1.51,-1.90
192601,1.20,0.81
192701,-0.69,-1.08
192801,2.07,1.68
192901,2.79,2.40
193001,2.71,2.32
193101,-1.16,-1.55
193201,0.03,-0.36
193301,-2.03,-2.42
193401,-2.63,-3.02
193501,-5.84,-6.23
193601,-2.81,-3.20
193701,-2.81,-3.20
193801,-0.17,-0.56
193901,2.35,1.96
194001,-4.04,-4.43
194101,0.79,0.40
194201,6.09,5.70
194301,0.21,-0.18
194401,-1.16,-1.55
194501,-1.36,-1.75
194601,-0.96,-1.35
194701,1.61,1.22
194801,3.64,3.25
194901,2.11,1.72
195001,-1.08,-1.47
195101,-2.28,-2.67
195201,2.84,2.45
195301,-2.04,-2.43
195401,-1.91,-2.30
195501,-4.87,-5.26
195601,-2.83,-3.22
195701,0.94,0.55
195801,4.71,4.32
195901,-1.57,-1.96
196001,0.98,0.59
196101,-2.22,-2.61
196201,2.73,2.34
196301,-2.00,-2.39
196401,-4.73,-5.12
196501,0.99,0.60
196601,5.07,4.68
196701,-1.15,-1.54
196801,-0.33,-0.72
196901,0.55,0.16
197001,4.36,3.97
197101,2.50,2.11
197201,-0.20,-0.59
197301,2.59,2.20
197401,3.15,2.76
197501,-1.91,-2.30
197601,-0.72,-1.11
197701,-2.37,-2.76
197801,-3.36,-3.75
197901,2.01,1.62
198001,2.87,2.48
198101,-3.74,-4.13
198201,-2.26,-2.65
198301,2.15,1.76
198401,4.40,4.01
198501,4.66,4.27
198601,3.35,2.96
198701,3.58,3.19
198801,2.48,2.09
198901,-0.64,-1.03
199001,-3.41,-3.80
199101,-1.37,-1.76
199201,1.35,0.96
199301,1.98,1.59
199401,-0.29,-0.68
199501,0.69,0.30
199601,2.25,1.86
199701,2.24,1.85
199801,4.24,3.85
199901,-0.21,-0.60
200001,-1.61,-2.00
200101,-2.58,-2.97
200201,-3.56,-3.95
200301,-6.27,-6.66
200401,-4.03,-4.42
200501,1.66,1.27
200601,-0.58,-0.97
200701,1.89,1.50
200801,1.42,1.03
200901,-0.31,-0.70
201001,1.25,0.86
201101,-0.56,-0.95
201201,-0.95,-1.34
201301,-6.24,-6.63
201401,1.34,0.95
201501,-0.29,-0.68
201601,2.13,1.74
201701,1.01,0.62
201801,-2.40,-2.79
201901,0.40,0.01
202001,-1.18,-1.57
202101,-5.72,-6.11
