New Mexico, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,6.25,5.74
189607,-1.65,-2.16
189707,4.62,4.11
189807,2.95,2.44
189907,1.56,1.05
190007,-0.74,-1.25
190107,-1.00,-1.51
190207,-2.35,-2.86
190307,-1.27,-1.78
190407,-4.29,-4.80
190507,8.18,7.67
190607,6.58,6.07
190707,4.23,3.72
190807,2.03,1.52
190907,-1.76,-2.27
191007,-4.38,-4.89
191107,2.61,2.10
191207,1.90,1.39
191307,-0.90,-1.41
191407,3.95,3.44
191507,7.59,7.08
191607,1.86,1.35
191707,-1.85,-2.36
191807,-3.13,-3.64
191907,7.08,6.57
192007,-0.44,-0.95
192107,3.08,2.57
192207,-2.77,-3.28
192307,-1.22,-1.73
192407,3.10,2.59
192507,0.57,0.06
192607,3.26,2.75
192707,0.50,-0.01
192807,-1.25,-1.76
192907,0.99,0.48
193007,0.84,0.33
193107,3.06,2.55
193207,3.65,3.14
193307,0.80,0.29
193407,-4.85,-5.36
193507,-2.92,-3.43
193607,-0.98,-1.49
193707,-0.75,-1.26
193807,0.72,0.21
193907,-0.75,-1.26
194007,-0.72,-1.23
194107,9.80,9.29
194207,8.03,7.52
194307,-1.36,-1.87
194407,0.41,-0.10
194507,-1.94,-2.45
194607,-3.52,-4.03
194707,-3.38,-3.89
194807,-0.45,-0.96
194907,2.81,2.30
195007,-1.48,-1.99
195107,-3.95,-4.46
195207,-1.96,-2.47
195307,-2.60,-3.11
195407,-4.94,-5.45
195507,-2.69,-3.20
195607,-4.95,-5.46
195707,0.08,-0.43
195807,3.51,3.00
195907,-2.17,-2.68
196007,1.53,1.02
196107,-0.76,-1.27
196207,1.07,0.56
196307,-2.54,-3.05
196407,-3.15,-3.66
196507,0.98,0.47
196607,0.33,-0.18
196707,0.67,0.16
196807,1.16,0.65
196907,0.82,0.31
197007,-0.66,-1.17
197107,0.02,-0.49
197207,0.27,-0.24
197307,6.07,5.56
197407,-4.16,-4.67
197507,3.04,2.53
197607,-1.80,-2.31
197707,-1.13,-1.64
197807,-1.16,-1.67
197907,4.70,4.19
198007,-2.07,-2.58
198107,0.36,-0.15
198207,0.03,-0.48
198307,2.22,1.71
198407,0.60,0.09
198507,5.75,5.24
198607,3.52,3.01
198707,6.43,5.92
198807,4.10,3.59
198907,-2.65,-3.16
199007,0.78,0.27
199107,2.16,1.65
199207,6.24,5.73
199307,2.68,2.17
199407,-1.69,-2.20
199507,-0.86,-1.37
199607,0.85,0.34
199707,1.65,1.14
199807,-0.09,-0.60
199907,1.35,0.84
200007,-3.58,-4.09
200107,-0.45,-0.96
200207,-4.12,-4.63
200307,-4.31,-4.82
200407,0.40,-0.11
200507,-1.04,-1.55
200607,0.54,0.03
200707,0.00,-0.51
200807,1.55,1.04
200907,-2.46,-2.97
201007,2.68,2.17
201107,-5.65,-6.16
201207,-5.04,-5.55
201307,-4.60,-5.11
201407,0.54,0.03
201507,2.58,2.07
201607,-2.69,-3.20
201707,0.18,-0.33
201807,-4.64,-5.15
201907,-1.79,-2.30
202007,-2.66,-3.17
