Texas, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,1.19,1.15
189605,-1.59,-1.63
189705,-1.70,-1.74
189805,-2.70,-2.74
189905,-2.89,-2.93
190005,3.11,3.07
190105,-2.42,-2.46
190205,-4.83,-4.87
190305,1.93,1.89
190405,-3.36,-3.40
190505,2.65,2.61
190605,1.64,1.60
190705,-1.32,-1.36
190805,3.01,2.97
190905,-3.68,-3.72
191005,-3.41,-3.45
191105,-3.59,-3.63
191205,-0.49,-0.53
191305,-1.08,-1.12
191405,4.80,4.76
191505,4.70,4.66
191605,-2.62,-2.66
191705,-4.56,-4.60
191805,-6.05,-6.09
191905,3.45,3.41
192005,4.87,4.83
192105,-0.78,-0.82
192205,2.04,2.00
192305,-0.57,-0.61
192405,3.51,3.47
192505,-4.77,-4.81
192605,2.43,2.39
192705,-1.13,-1.17
192805,-2.31,-2.35
192905,1.96,1.92
193005,-0.29,-0.33
193105,3.18,3.14
193205,1.79,1.75
193305,-0.63,-0.67
193405,-1.66,-1.70
193505,1.40,1.36
193605,0.81,0.77
193705,-0.96,-1.00
193805,1.10,1.06
193905,-2.35,-2.39
194005,0.03,-0.01
194105,5.10,5.06
194205,4.15,4.11
194305,-2.03,-2.07
194405,2.36,2.32
194505,2.14,2.10
194605,1.15,1.11
194705,1.95,1.91
194805,-1.14,-1.18
194905,1.78,1.74
195005,0.89,0.85
195105,-3.05,-3.09
195205,-3.50,-3.54
195305,-2.95,-2.99
195405,-3.44,-3.48
195505,-5.01,-5.05
195605,-5.67,-5.71
195705,3.57,3.53
195805,3.99,3.95
195905,1.04,1.00
196005,1.02,0.98
196105,1.78,1.74
196205,-2.12,-2.16
196305,-3.52,-3.56
196405,-3.00,-3.04
196505,-1.09,-1.13
196605,1.07,1.03
196705,-4.03,-4.07
196805,3.15,3.11
196905,3.66,3.62
197005,2.62,2.58
197105,-4.37,-4.41
197205,0.20,0.16
197305,2.18,2.14
197405,-1.87,-1.91
197505,4.00,3.96
197605,0.59,0.55
197705,-0.34,-0.38
197805,-2.98,-3.02
197905,2.50,2.46
198005,-0.44,-0.48
198105,0.66,0.62
198205,0.91,0.87
198305,1.48,1.44
198405,-2.02,-2.06
198505,2.28,2.24
198605,0.30,0.26
198705,3.80,3.76
198805,-1.22,-1.26
198905,-1.74,-1.78
199005,1.37,1.33
199105,0.45,0.41
199205,5.55,5.51
199305,4.02,3.98
199405,-0.34,-0.38
199505,2.00,1.96
199605,-4.54,-4.58
199705,3.18,3.14
199805,-1.83,-1.87
199905,1.12,1.08
200005,-4.18,-4.22
200105,-0.81,-0.85
200205,-1.50,-1.54
200305,-1.76,-1.80
200405,0.72,0.68
200505,-0.54,-0.58
200605,-4.95,-4.99
200705,2.96,2.92
200805,-2.32,-2.36
200905,-3.92,-3.96
201005,2.34,2.30
201105,-5.39,-5.43
201205,-3.84,-3.88
201305,-4.48,-4.52
201405,-3.07,-3.11
201505,4.75,4.71
201605,4.96,4.92
201705,-1.49,-1.53
201805,-2.91,-2.95
