Texas, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189503,0.56,0.56
189603,-0.20,-0.20
189703,-1.83,-1.83
189803,-2.38,-2.38
189903,-2.38,-2.38
190003,1.31,1.31
190103,-1.84,-1.84
190203,-4.36,-4.36
190303,3.09,3.09
190403,-3.54,-3.54
190503,1.22,1.22
190603,1.99,1.99
190703,-2.21,-2.21
190803,1.64,1.64
190903,-2.82,-2.82
191003,-3.74,-3.74
191103,-4.40,-4.40
191203,1.43,1.43
191303,-0.63,-0.63
191403,2.91,2.91
191503,4.49,4.49
191603,-2.86,-2.86
191703,-4.35,-4.35
191803,-6.35,-6.35
191903,3.04,3.04
192003,5.86,5.86
192103,-0.57,-0.57
192203,0.65,0.65
192303,1.39,1.39
192403,3.62,3.62
192503,-4.08,-4.08
192603,1.90,1.90
192703,-0.05,-0.05
192803,-2.43,-2.43
192903,0.69,0.69
193003,-0.38,-0.38
193103,3.38,3.38
193203,2.14,2.14
193303,-0.10,-0.10
193403,-1.31,-1.31
193503,-3.01,-3.01
193603,-1.21,-1.21
193703,1.17,1.17
193803,1.05,1.05
193903,-1.64,-1.64
194003,-2.83,-2.83
194103,3.70,3.70
194203,4.06,4.06
194303,-1.40,-1.40
194403,1.59,1.59
194503,2.96,2.96
194603,1.11,1.11
194703,1.43,1.43
194803,-0.67,-0.67
194903,1.02,1.02
195003,0.70,0.70
195103,-2.61,-2.61
195203,-4.70,-4.70
195303,-3.46,-3.46
195403,-4.04,-4.04
195503,-4.83,-4.83
195603,-4.92,-4.92
195703,0.66,0.66
195803,4.53,4.53
195903,1.17,1.17
196003,2.33,2.33
196103,3.56,3.56
196203,-1.08,-1.08
196303,-2.71,-2.71
196403,-2.62,-2.62
196503,-1.62,-1.62
196603,-0.45,-0.45
196703,-3.38,-3.38
196803,2.49,2.49
196903,3.23,3.23
197003,2.97,2.97
197103,-3.50,-3.50
197203,-1.23,-1.23
197303,2.22,2.22
197403,-1.25,-1.25
197503,3.57,3.57
197603,-2.50,-2.50
197703,2.33,2.33
197803,-2.17,-2.17
197903,1.79,1.79
198003,-0.82,-0.82
198103,0.33,0.33
198203,-1.00,-1.00
198303,1.87,1.87
198403,-0.68,-0.68
198503,2.92,2.92
198603,-1.47,-1.47
198703,3.73,3.73
198803,-0.50,-0.50
198903,-1.36,-1.36
199003,0.86,0.86
199103,0.28,0.28
199203,5.25,5.25
199303,4.19,4.19
199403,-0.84,-0.84
199503,1.19,1.19
199603,-2.64,-2.64
199703,1.68,1.68
199803,3.52,3.52
199903,1.26,1.26
200003,-3.48,-3.48
200103,4.14,4.14
200203,-0.40,-0.40
200303,-0.20,-0.20
200403,0.48,0.48
200503,4.36,4.36
200603,-3.42,-3.42
200703,1.84,1.84
200803,-1.52,-1.52
200903,-3.89,-3.89
201003,2.97,2.97
201103,-3.39,-3.39
201203,-3.54,-3.54
201303,-4.31,-4.31
201403,-3.10,-3.10
201503,1.48,1.48
201603,3.85,3.85
201703,-1.31,-1.31
201803,-1.54,-1.54
201903,3.32,3.32
202003,-1.02,-1.02
202103,-2.71,-2.71
