Arizona, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,1.62,1.36
189608,1.01,0.75
189708,-1.11,-1.37
189808,-1.13,-1.39
189908,-2.51,-2.77
190008,-5.23,-5.49
190108,-2.66,-2.92
190208,-5.29,-5.55
190308,-2.58,-2.84
190408,-3.17,-3.43
190508,6.12,5.86
190608,6.48,6.22
190708,5.71,5.45
190808,2.67,2.41
190908,4.05,3.79
191008,-1.97,-2.23
191108,1.71,1.45
191208,2.21,1.95
191308,-0.57,-0.83
191408,-0.30,-0.56
191508,6.02,5.76
191608,4.72,4.46
191708,-0.57,-0.83
191808,0.41,0.15
191908,3.14,2.88
192008,-0.22,-0.48
192108,2.45,2.19
192208,2.08,1.82
192308,1.05,0.79
192408,-1.27,-1.53
192508,0.04,-0.22
192608,-1.52,-1.78
192708,2.12,1.86
192808,-1.98,-2.24
192908,0.92,0.66
193008,0.83,0.57
193108,2.54,2.28
193208,-0.24,-0.50
193308,-0.54,-0.80
193408,-3.49,-3.75
193508,2.74,2.48
193608,0.10,-0.16
193708,-0.53,-0.79
193808,-0.52,-0.78
193908,-1.67,-1.93
194008,-2.84,-3.10
194108,7.64,7.38
194208,-1.19,-1.45
194308,0.45,0.19
194408,-1.13,-1.39
194508,1.05,0.79
194608,0.56,0.30
194708,-2.87,-3.13
194808,-2.13,-2.39
194908,-0.58,-0.84
195008,-2.37,-2.63
195108,1.65,1.39
195208,-0.30,-0.56
195308,-0.26,-0.52
195408,-1.14,-1.40
195508,2.21,1.95
195608,-4.08,-4.34
195708,0.81,0.55
195808,1.05,0.79
195908,0.83,0.57
196008,-1.69,-1.95
196108,0.58,0.32
196208,-1.90,-2.16
196308,-1.68,-1.94
196408,0.48,0.22
196508,1.96,1.70
196608,2.69,2.43
196708,0.77,0.51
196808,1.96,1.70
196908,0.16,-0.10
197008,-0.02,-0.28
197108,1.14,0.88
197208,-3.62,-3.88
197308,-0.77,-1.03
197408,-3.37,-3.63
197508,-1.83,-2.09
197608,-1.72,-1.98
197708,-2.35,-2.61
197808,2.69,2.43
197908,6.12,5.86
198008,-0.52,-0.78
198108,-2.39,-2.65
198208,1.18,0.92
198308,5.72,5.46
198408,2.11,1.85
198508,2.35,2.09
198608,0.38,0.12
198708,-0.32,-0.58
198808,1.83,1.57
198908,-3.87,-4.13
199008,1.04,0.78
199108,-0.87,-1.13
199208,5.27,5.01
199308,-0.25,-0.51
199408,-2.77,-3.03
199508,-0.81,-1.07
199608,-5.19,-5.45
199708,0.01,-0.25
199808,-0.40,-0.66
199908,1.53,1.27
200008,-4.49,-4.75
200108,-0.61,-0.87
200208,-6.20,-6.46
200308,-3.88,-4.14
200408,-4.37,-4.63
200508,-0.17,-0.43
200608,-3.49,-3.75
200708,-4.11,-4.37
200808,-0.61,-0.87
200908,-4.06,-4.32
201008,-0.27,-0.53
201108,-3.48,-3.74
201208,-3.39,-3.65
201308,-2.56,-2.82
201408,-3.33,-3.59
201508,0.24,-0.02
201608,-2.39,-2.65
201708,-1.28,-1.54
201808,-4.49,-4.75
201908,-1.91,-2.17
202008,-2.57,-2.83
