Montana, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189504,-0.40,-0.79
189604,2.23,1.84
189704,4.01,3.62
189804,4.71,4.32
189904,4.32,3.93
190004,2.94,2.55
190104,-1.72,-2.11
190204,0.76,0.37
190304,1.79,1.40
190404,-0.30,-0.69
190504,-6.44,-6.83
190604,-4.10,-4.49
190704,4.87,4.48
190804,1.15,0.76
190904,3.23,2.84
191004,-1.22,-1.61
191104,-0.77,-1.16
191204,3.66,3.27
191304,3.56,3.17
191404,1.50,1.11
191504,-2.64,-3.03
191604,4.76,4.37
191704,5.89,5.50
191804,1.99,1.60
191904,-2.67,-3.06
192004,3.12,2.73
192104,-2.22,-2.61
192204,1.72,1.33
192304,0.07,-0.32
192404,2.95,2.56
192504,2.06,1.67
192604,-0.89,-1.28
192704,1.95,1.56
192804,5.50,5.11
192904,-0.07,-0.46
193004,-0.20,-0.59
193104,-3.69,-4.08
193204,0.24,-0.15
193304,1.47,1.08
193404,-0.88,-1.27
193504,-4.18,-4.57
193604,-3.94,-4.33
193704,-6.46,-6.85
193804,-4.49,-4.88
193904,-1.21,-1.60
194004,-1.29,-1.68
194104,-4.58,-4.97
194204,2.05,1.66
194304,3.79,3.40
194404,-3.56,-3.95
194504,0.22,-0.17
194604,-1.67,-2.06
194704,4.05,3.66
194804,2.61,2.22
194904,-0.86,-1.25
195004,0.92,0.53
195104,2.84,2.45
195204,-1.02,-1.41
195304,0.79,0.40
195404,0.89,0.50
195504,0.25,-0.14
195604,2.04,1.65
195704,0.42,0.03
195804,0.53,0.14
195904,2.38,1.99
196004,0.38,-0.01
196104,-3.56,-3.95
196204,-0.74,-1.13
196304,1.92,1.53
196404,0.29,-0.10
196504,3.79,3.40
196604,0.74,0.35
196704,2.22,1.83
196804,0.78,0.39
196904,3.49,3.10
197004,2.44,2.05
197104,2.87,2.48
197204,2.87,2.48
197304,-1.08,-1.47
197404,1.94,1.55
197504,2.28,1.89
197604,5.16,4.77
197704,-3.87,-4.26
197804,2.11,1.72
197904,4.16,3.77
198004,-4.15,-4.54
198104,-3.19,-3.58
198204,2.11,1.72
198304,1.60,1.21
198404,-0.24,-0.63
198504,-1.85,-2.24
198604,1.76,1.37
198704,-1.14,-1.53
198804,-4.04,-4.43
198904,0.58,0.19
199004,1.50,1.11
199104,0.79,0.40
199204,-2.76,-3.15
199304,-2.17,-2.56
199404,0.25,-0.14
199504,0.80,0.41
199604,4.72,4.33
199704,4.02,3.63
199804,-1.48,-1.87
199904,1.44,1.05
200004,-2.47,-2.86
200104,-5.47,-5.86
200204,-6.10,-6.49
200304,-2.75,-3.14
200404,-5.24,-5.63
200504,-4.99,-5.38
200604,1.53,1.14
200704,0.06,-0.33
200804,-2.63,-3.02
200904,1.36,0.97
201004,0.10,-0.29
201104,5.20,4.81
201204,-1.73,-2.12
201304,0.14,-0.25
201404,2.18,1.79
201504,-1.07,-1.46
201604,-2.55,-2.94
201704,2.26,1.87
201804,1.83,1.44
