Colorado, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,3.92,3.43
189608,-1.46,-1.95
189708,1.95,1.46
189808,2.45,1.96
189908,-1.00,-1.49
190008,-2.40,-2.89
190108,-2.81,-3.30
190208,-5.17,-5.66
190308,-0.06,-0.55
190408,0.65,0.16
190508,-0.37,-0.86
190608,2.17,1.68
190708,4.10,3.61
190808,1.03,0.54
190908,3.84,3.35
191008,-1.97,-2.46
191108,0.45,-0.04
191208,3.86,3.37
191308,-0.97,-1.46
191408,4.64,4.15
191508,4.77,4.28
191608,3.36,2.87
191708,-0.34,-0.83
191808,0.16,-0.33
191908,0.69,0.20
192008,3.54,3.05
192108,4.99,4.50
192208,-1.08,-1.57
192308,4.32,3.83
192408,-1.98,-2.47
192508,0.57,0.08
192608,-0.28,-0.77
192708,3.02,2.53
192808,3.11,2.62
192908,3.14,2.65
193008,2.31,1.82
193108,-1.91,-2.40
193208,-0.15,-0.64
193308,-1.75,-2.24
193408,-6.33,-6.82
193508,-2.73,-3.22
193608,-3.02,-3.51
193708,-2.76,-3.25
193808,1.45,0.96
193908,-3.53,-4.02
194008,-4.61,-5.10
194108,3.93,3.44
194208,4.55,4.06
194308,1.00,0.51
194408,-0.77,-1.26
194508,2.50,2.01
194608,0.46,-0.03
194708,4.22,3.73
194808,3.11,2.62
194908,4.13,3.64
195008,-2.27,-2.76
195108,0.66,0.17
195208,-0.96,-1.45
195308,-1.11,-1.60
195408,-5.26,-5.75
195508,-3.98,-4.47
195608,-3.65,-4.14
195708,5.75,5.26
195808,-0.37,-0.86
195908,0.01,-0.48
196008,-2.14,-2.63
196108,0.88,0.39
196208,-0.89,-1.38
196308,-3.86,-4.35
196408,-4.90,-5.39
196508,5.10,4.61
196608,-1.22,-1.71
196708,2.20,1.71
196808,1.22,0.73
196908,2.35,1.86
197008,2.30,1.81
197108,0.81,0.32
197208,-3.18,-3.67
197308,3.29,2.80
197408,-2.29,-2.78
197508,-0.33,-0.82
197608,-1.22,-1.71
197708,-3.96,-4.45
197808,-2.48,-2.97
197908,3.49,3.00
198008,-1.50,-1.99
198108,-3.45,-3.94
198208,1.78,1.29
198308,4.50,4.01
198408,4.49,4.00
198508,2.79,2.30
198608,2.80,2.31
198708,3.49,3.00
198808,-0.30,-0.79
198908,-2.28,-2.77
199008,-2.45,-2.94
199108,1.03,0.54
199208,2.19,1.70
199308,2.70,2.21
199408,-1.56,-2.05
199508,4.51,4.02
199608,0.74,0.25
199708,3.82,3.33
199808,3.32,2.83
199908,4.29,3.80
200008,-3.22,-3.71
200108,-2.38,-2.87
200208,-9.09,-9.58
200308,-4.88,-5.37
200408,0.16,-0.33
200508,-0.40,-0.89
200608,0.30,-0.19
200708,0.19,-0.30
200808,0.89,0.40
200908,1.11,0.62
201008,1.37,0.88
201108,-0.38,-0.87
201208,-6.75,-7.24
201308,-5.90,-6.39
201408,1.26,0.77
201508,2.77,2.28
201608,-0.31,-0.80
201708,0.67,0.18
201808,-6.27,-6.76
201908,-0.42,-0.91
202008,-5.68,-6.17
