Montana, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.69,1.21
189601,1.08,0.60
189701,3.44,2.96
189801,3.57,3.09
189901,3.58,3.10
190001,2.58,2.10
190101,-1.46,-1.94
190201,0.01,-0.47
190301,1.59,1.11
190401,2.44,1.96
190501,-4.64,-5.12
190601,-3.80,-4.28
190701,4.20,3.72
190801,1.84,1.36
190901,2.97,2.49
191001,4.17,3.69
191101,-0.17,-0.65
191201,3.69,3.21
191301,4.32,3.84
191401,2.00,1.52
191501,-1.10,-1.58
191601,4.84,4.36
191701,5.32,4.84
191801,2.07,1.59
191901,-1.54,-2.02
192001,1.61,1.13
192101,-1.69,-2.17
192201,0.86,0.38
192301,-0.05,-0.53
192401,2.60,2.12
192501,1.47,0.99
192601,1.88,1.40
192701,1.32,0.84
192801,6.80,6.32
192901,-0.79,-1.27
193001,-0.17,-0.65
193101,-1.95,-2.43
193201,-5.26,-5.74
193301,0.99,0.51
193401,1.08,0.60
193501,-4.00,-4.48
193601,-4.77,-5.25
193701,-6.43,-6.91
193801,-5.29,-5.77
193901,-0.55,-1.03
194001,-2.85,-3.33
194101,-3.10,-3.58
194201,2.35,1.87
194301,3.84,3.36
194401,-2.27,-2.75
194501,-1.52,-2.00
194601,-0.19,-0.67
194701,4.28,3.80
194801,2.52,2.04
194901,2.57,2.09
195001,0.34,-0.14
195101,2.14,1.66
195201,4.38,3.90
195301,0.22,-0.26
195401,0.50,0.02
195501,-2.54,-3.02
195601,1.86,1.38
195701,-1.24,-1.72
195801,-0.64,-1.12
195901,1.88,1.40
196001,-0.43,-0.91
196101,-3.52,-4.00
196201,-0.21,-0.69
196301,1.66,1.18
196401,-1.38,-1.86
196501,3.54,3.06
196601,0.36,-0.12
196701,0.51,0.03
196801,1.66,1.18
196901,4.48,4.00
197001,1.36,0.88
197101,2.51,2.03
197201,2.18,1.70
197301,-0.62,-1.10
197401,1.44,0.96
197501,0.27,-0.21
197601,5.54,5.06
197701,-1.83,-2.31
197801,1.84,1.36
197901,3.56,3.08
198001,-3.40,-3.88
198101,-2.34,-2.82
198201,0.46,-0.02
198301,2.44,1.96
198401,-0.24,-0.72
198501,-0.70,-1.18
198601,1.72,1.24
198701,-0.49,-0.97
198801,-2.85,-3.33
198901,-5.33,-5.81
199001,1.61,1.13
199101,-1.27,-1.75
199201,-0.81,-1.29
199301,-1.97,-2.45
199401,4.61,4.13
199501,0.37,-0.11
199601,4.54,4.06
199701,3.30,2.82
199801,-0.84,-1.32
199901,1.10,0.62
200001,-1.43,-1.91
200101,-4.16,-4.64
200201,-6.08,-6.56
200301,-3.92,-4.40
200401,-3.31,-3.79
200501,-3.85,-4.33
200601,0.90,0.42
200701,-0.71,-1.19
200801,-1.99,-2.47
200901,0.87,0.39
201001,-0.75,-1.23
201101,3.69,3.21
201201,-1.10,-1.58
201301,-2.44,-2.92
201401,1.01,0.53
201501,0.65,0.17
201601,-1.98,-2.46
201701,1.11,0.63
201801,0.19,-0.29
201901,-0.75,-1.23
