Arizona, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,1.61,1.50
189602,-1.33,-1.44
189702,2.12,2.01
189802,-0.88,-0.99
189902,-1.85,-1.96
190002,-4.15,-4.26
190102,-2.42,-2.53
190202,-3.95,-4.06
190302,-3.21,-3.32
190402,-3.98,-4.09
190502,3.24,3.13
190602,5.35,5.24
190702,5.21,5.10
190802,3.42,3.31
190902,2.34,2.23
191002,-0.52,-0.63
191102,1.12,1.01
191202,-2.12,-2.23
191302,0.97,0.86
191402,-0.07,-0.18
191502,3.52,3.41
191602,4.98,4.87
191702,3.59,3.48
191802,0.23,0.12
191902,0.96,0.85
192002,4.80,4.69
192102,-1.70,-1.81
192202,1.23,1.12
192302,-1.10,-1.21
192402,-0.96,-1.07
192502,-2.10,-2.21
192602,-1.22,-1.33
192702,0.88,0.77
192802,-0.40,-0.51
192902,-1.93,-2.04
193002,-1.51,-1.62
193102,1.40,1.29
193202,3.94,3.83
193302,1.09,0.98
193402,-1.88,-1.99
193502,1.26,1.15
193602,-0.36,-0.47
193702,1.31,1.20
193802,0.28,0.17
193902,-0.60,-0.71
194002,-0.76,-0.87
194102,3.67,3.56
194202,-0.21,-0.32
194302,-1.85,-1.96
194402,0.81,0.70
194502,0.22,0.11
194602,-1.39,-1.50
194702,-1.36,-1.47
194802,-1.96,-2.07
194902,1.55,1.44
195002,-1.09,-1.20
195102,-3.72,-3.83
195202,1.35,1.24
195302,-0.87,-0.98
195402,-2.57,-2.68
195502,-1.62,-1.73
195602,-2.29,-2.40
195702,0.37,0.26
195802,0.24,0.13
195902,-1.50,-1.61
196002,1.82,1.71
196102,-2.00,-2.11
196202,1.12,1.01
196302,-1.55,-1.66
196402,-2.16,-2.27
196502,0.43,0.32
196602,3.70,3.59
196702,-1.34,-1.45
196802,1.15,1.04
196902,0.37,0.26
197002,-1.68,-1.79
197102,-1.71,-1.82
197202,-1.54,-1.65
197302,3.55,3.44
197402,-2.25,-2.36
197502,-2.12,-2.23
197602,-1.55,-1.66
197702,-1.38,-1.49
197802,1.89,1.78
197902,5.72,5.61
198002,4.32,4.21
198102,-2.82,-2.93
198202,0.33,0.22
198302,2.51,2.40
198402,-1.09,-1.20
198502,3.42,3.31
198602,-1.09,-1.20
198702,1.17,1.06
198802,-0.14,-0.25
198902,-1.30,-1.41
199002,-3.67,-3.78
199102,0.52,0.41
199202,1.46,1.35
199302,7.61,7.50
199402,-0.98,-1.09
199502,2.05,1.94
199602,-3.13,-3.24
199702,-2.91,-3.02
199802,1.54,1.43
199902,-2.16,-2.27
200002,-3.40,-3.51
200102,1.55,1.44
200202,-3.27,-3.38
200302,-3.51,-3.62
200402,-3.12,-3.23
200502,4.34,4.23
200602,-3.64,-3.75
200702,-3.24,-3.35
200802,-1.64,-1.75
200902,-1.41,-1.52
201002,1.88,1.77
201102,-1.25,-1.36
201202,-2.94,-3.05
201302,-2.79,-2.90
201402,-3.06,-3.17
201502,-2.19,-2.30
201602,-1.06,-1.17
201702,-0.66,-0.77
201802,-4.04,-4.15
201902,-0.90,-1.01
