Nevada, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,3.27,3.20
189606,2.11,2.04
189706,1.77,1.70
189806,-0.34,-0.41
189906,1.55,1.48
190006,-2.43,-2.50
190106,-0.32,-0.39
190206,-1.21,-1.28
190306,0.61,0.54
190406,-0.43,-0.50
190506,-0.46,-0.53
190606,3.73,3.66
190706,6.37,6.30
190806,2.75,2.68
190906,-0.95,-1.02
191006,-2.52,-2.59
191106,1.97,1.90
191206,-0.62,-0.69
191306,0.99,0.92
191406,3.91,3.84
191506,-0.43,-0.50
191606,1.06,0.99
191706,3.55,3.48
191806,0.55,0.48
191906,-1.82,-1.89
192006,0.97,0.90
192106,-0.45,-0.52
192206,3.33,3.26
192306,2.23,2.16
192406,-4.56,-4.63
192506,0.32,0.25
192606,-3.87,-3.94
192706,-1.74,-1.81
192806,-3.24,-3.31
192906,-3.59,-3.66
193006,-3.23,-3.30
193106,-4.84,-4.91
193206,3.65,3.58
193306,-1.43,-1.50
193406,-6.44,-6.51
193506,1.86,1.79
193606,-0.05,-0.12
193706,0.99,0.92
193806,3.75,3.68
193906,-1.70,-1.77
194006,-1.31,-1.38
194106,3.90,3.83
194206,4.46,4.39
194306,2.88,2.81
194406,2.27,2.20
194506,3.69,3.62
194606,1.46,1.39
194706,-1.39,-1.46
194806,-0.84,-0.91
194906,0.84,0.77
195006,-3.64,-3.71
195106,-2.51,-2.58
195206,4.07,4.00
195306,-2.39,-2.46
195406,-3.93,-4.00
195506,-3.10,-3.17
195606,0.55,0.48
195706,-0.19,-0.26
195806,2.17,2.10
195906,-4.38,-4.45
196006,-4.58,-4.65
196106,-3.90,-3.97
196206,0.96,0.89
196306,1.60,1.53
196406,1.13,1.06
196506,1.65,1.58
196606,-2.91,-2.98
196706,2.74,2.67
196806,-2.39,-2.46
196906,3.44,3.37
197006,0.34,0.27
197106,1.97,1.90
197206,-3.11,-3.18
197306,3.03,2.96
197406,-2.43,-2.50
197506,2.04,1.97
197606,-2.24,-2.31
197706,-2.99,-3.06
197806,3.46,3.39
197906,2.15,2.08
198006,3.99,3.92
198106,-3.01,-3.08
198206,1.09,1.02
198306,5.75,5.68
198406,5.41,5.34
198506,-1.66,-1.73
198606,-0.62,-0.69
198706,-1.66,-1.73
198806,-0.20,-0.27
198906,-2.45,-2.52
199006,-3.57,-3.64
199106,-2.32,-2.39
199206,-4.01,-4.08
199306,2.89,2.82
199406,-2.97,-3.04
199506,6.48,6.41
199606,-0.31,-0.38
199706,0.78,0.71
199806,5.79,5.72
199906,-0.57,-0.64
200006,-3.04,-3.11
200106,-3.70,-3.77
200206,-4.34,-4.41
200306,-4.23,-4.30
200406,-3.24,-3.31
200506,5.71,5.64
200606,-0.09,-0.16
200706,-5.51,-5.58
200806,-3.43,-3.50
200906,-2.38,-2.45
201006,-0.26,-0.33
201106,4.00,3.93
201206,-5.23,-5.30
201306,-5.55,-5.62
201406,-5.86,-5.93
201506,-6.12,-6.19
201606,-0.34,-0.41
201706,2.25,2.18
201806,-3.82,-3.89
