Colorado, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,2.62,2.35
189606,-1.39,-1.66
189706,1.41,1.14
189806,2.49,2.22
189906,-1.58,-1.85
190006,-0.56,-0.83
190106,-2.82,-3.09
190206,-5.24,-5.51
190306,1.80,1.53
190406,0.46,0.19
190506,2.63,2.36
190606,1.88,1.61
190706,2.99,2.72
190806,0.02,-0.25
190906,3.46,3.19
191006,-1.85,-2.12
191106,-2.84,-3.11
191206,2.49,2.22
191306,-0.82,-1.09
191406,3.18,2.91
191506,3.98,3.71
191606,2.73,2.46
191706,-0.34,-0.61
191806,-0.81,-1.08
191906,0.67,0.40
192006,3.58,3.31
192106,3.17,2.90
192206,-0.71,-0.98
192306,1.68,1.41
192406,-0.63,-0.90
192506,-3.99,-4.26
192606,1.65,1.38
192706,1.22,0.95
192806,2.75,2.48
192906,2.01,1.74
193006,0.65,0.38
193106,-0.93,-1.20
193206,-0.52,-0.79
193306,-2.22,-2.49
193406,-5.15,-5.42
193506,-2.86,-3.13
193606,-3.59,-3.86
193706,-2.45,-2.72
193806,1.77,1.50
193906,-1.86,-2.13
194006,-4.05,-4.32
194106,3.08,2.81
194206,6.24,5.97
194306,0.84,0.57
194406,2.15,1.88
194506,1.13,0.86
194606,-2.27,-2.54
194706,3.52,3.25
194806,3.96,3.69
194906,3.69,3.42
195006,-2.38,-2.65
195106,0.53,0.26
195206,-0.59,-0.86
195306,-1.83,-2.10
195406,-5.04,-5.31
195506,-4.35,-4.62
195606,-3.56,-3.83
195706,4.33,4.06
195806,0.01,-0.26
195906,-1.23,-1.50
196006,-0.74,-1.01
196106,0.19,-0.08
196206,0.34,0.07
196306,-4.65,-4.92
196406,-4.63,-4.90
196506,2.67,2.40
196606,-1.51,-1.78
196706,1.37,1.10
196806,-0.55,-0.82
196906,1.64,1.37
197006,3.09,2.82
197106,1.36,1.09
197206,-2.70,-2.97
197306,3.50,3.23
197406,-1.49,-1.76
197506,1.06,0.79
197606,-1.05,-1.32
197706,-4.87,-5.14
197806,-1.84,-2.11
197906,3.28,3.01
198006,-0.57,-0.84
198106,-4.53,-4.80
198206,1.04,0.77
198306,4.54,4.27
198406,4.26,3.99
198506,3.51,3.24
198606,2.54,2.27
198706,3.79,3.52
198806,1.78,1.51
198906,-2.24,-2.51
199006,-3.58,-3.85
199106,0.11,-0.16
199206,0.54,0.27
199306,2.68,2.41
199406,-0.79,-1.06
199506,4.82,4.55
199606,0.82,0.55
199706,2.39,2.12
199806,2.62,2.35
199906,2.51,2.24
200006,-2.62,-2.89
200106,-2.67,-2.94
200206,-7.84,-8.11
200306,-4.21,-4.48
200406,0.05,-0.22
200506,1.74,1.47
200606,-4.17,-4.44
200706,-0.32,-0.59
200806,-0.55,-0.82
200906,1.12,0.85
201006,1.05,0.78
201106,0.45,0.18
201206,-5.67,-5.94
201306,-6.71,-6.98
201406,0.18,-0.09
201506,2.71,2.44
201606,-0.08,-0.35
201706,0.06,-0.21
201806,-5.63,-5.90
201906,2.31,2.04
202006,-3.86,-4.13
