California, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.23,2.28
189601,1.25,1.30
189701,2.29,2.34
189801,-2.13,-2.08
189901,-2.35,-2.30
190001,-0.28,-0.23
190101,1.99,2.04
190201,-2.02,-1.97
190301,1.73,1.78
190401,-1.36,-1.31
190501,1.21,1.26
190601,0.69,0.74
190701,4.53,4.58
190801,-0.70,-0.65
190901,2.79,2.84
191001,1.84,1.89
191101,2.04,2.09
191201,-2.39,-2.34
191301,-0.96,-0.91
191401,4.34,4.39
191501,0.74,0.79
191601,3.93,3.98
191701,-0.58,-0.53
191801,-3.78,-3.73
191901,-2.00,-1.95
192001,-3.09,-3.04
192101,3.17,3.22
192201,0.62,0.67
192301,-0.20,-0.15
192401,-2.67,-2.62
192501,-0.91,-0.86
192601,-1.64,-1.59
192701,1.06,1.11
192801,-1.03,-0.98
192901,-2.31,-2.26
193001,-2.06,-2.01
193101,-2.51,-2.46
193201,-0.13,-0.08
193301,-1.21,-1.16
193401,-1.73,-1.68
193501,0.78,0.83
193601,0.04,0.09
193701,0.05,0.10
193801,0.83,0.88
193901,-1.43,-1.38
194001,0.82,0.87
194101,2.16,2.21
194201,3.60,3.65
194301,3.25,3.30
194401,-1.83,-1.78
194501,-1.12,-1.07
194601,-0.68,-0.63
194701,-1.70,-1.65
194801,-3.17,-3.12
194901,-1.27,-1.22
195001,-2.06,-2.01
195101,1.85,1.90
195201,3.28,3.33
195301,1.96,2.01
195401,0.50,0.55
195501,-0.87,-0.82
195601,3.44,3.49
195701,-2.22,-2.17
195801,2.18,2.23
195901,-2.44,-2.39
196001,-4.39,-4.34
196101,-2.59,-2.54
196201,-2.33,-2.28
196301,-1.42,-1.37
196401,-1.06,-1.01
196501,2.29,2.34
196601,-0.08,-0.03
196701,2.34,2.39
196801,-0.87,-0.82
196901,3.24,3.29
197001,1.81,1.86
197101,-0.37,-0.32
197201,-0.59,-0.54
197301,1.95,2.00
197401,2.80,2.85
197501,-2.32,-2.27
197601,-3.04,-2.99
197701,-4.64,-4.59
197801,2.07,2.12
197901,0.23,0.28
198001,1.12,1.17
198101,-2.11,-2.06
198201,2.45,2.50
198301,5.38,5.43
198401,-1.20,-1.15
198501,-0.98,-0.93
198601,0.16,0.21
198701,-2.48,-2.43
198801,-2.00,-1.95
198901,-2.11,-2.06
199001,-2.47,-2.42
199101,-5.07,-5.02
199201,-3.22,-3.17
199301,2.79,2.84
199401,-2.44,-2.39
199501,3.46,3.51
199601,2.34,2.39
199701,4.62,4.67
199801,1.48,1.53
199901,-0.79,-0.74
200001,-0.05,0.00
200101,-2.35,-2.30
200201,-1.69,-1.64
200301,0.69,0.74
200401,0.14,0.19
200501,2.33,2.38
200601,3.49,3.54
200701,-3.09,-3.04
200801,-2.36,-2.31
200901,-4.81,-4.76
201001,0.67,0.72
201101,1.98,2.03
201201,-2.27,-2.22
201301,-0.80,-0.75
201401,-5.88,-5.83
201501,-4.84,-4.79
201601,-2.30,-2.25
201701,3.61,3.66
201801,-3.13,-3.08
201901,-2.68,-2.63
