Oregon, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,0.94,0.96
189601,1.32,1.34
189701,1.69,1.71
189801,-0.75,-0.73
189901,0.08,0.10
190001,-0.44,-0.42
190101,1.11,1.13
190201,-2.12,-2.10
190301,2.82,2.84
190401,-1.00,-0.98
190501,-1.58,-1.56
190601,0.20,0.22
190701,1.27,1.29
190801,-0.69,-0.67
190901,1.46,1.48
191001,-0.51,-0.49
191101,-0.23,-0.21
191201,0.85,0.87
191301,2.55,2.57
191401,3.23,3.25
191501,-1.95,-1.93
191601,1.24,1.26
191701,-1.45,-1.43
191801,0.30,0.32
191901,0.23,0.25
192001,-1.76,-1.74
192101,2.80,2.82
192201,-1.21,-1.19
192301,1.01,1.03
192401,-1.72,-1.70
192501,1.26,1.28
192601,-2.17,-2.15
192701,1.12,1.14
192801,-0.75,-0.73
192901,-3.01,-2.99
193001,-3.73,-3.71
193101,-4.26,-4.24
193201,-0.05,-0.03
193301,-1.02,-1.00
193401,-1.28,-1.26
193501,-1.83,-1.81
193601,-1.79,-1.77
193701,-3.88,-3.86
193801,1.88,1.90
193901,-2.60,-2.58
194001,-4.13,-4.11
194101,-1.37,-1.35
194201,2.49,2.51
194301,3.25,3.27
194401,-2.24,-2.22
194501,-2.35,-2.33
194601,1.33,1.35
194701,-0.98,-0.96
194801,1.83,1.85
194901,-1.26,-1.24
195001,1.26,1.28
195101,2.93,2.95
195201,1.55,1.57
195301,1.59,1.61
195401,2.95,2.97
195501,-2.03,-2.01
195601,3.92,3.94
195701,0.69,0.71
195801,1.51,1.53
195901,-0.72,-0.70
196001,-2.39,-2.37
196101,-1.41,-1.39
196201,-0.97,-0.95
196301,-1.49,-1.47
196401,1.76,1.78
196501,3.56,3.58
196601,-0.83,-0.81
196701,-0.80,-0.78
196801,-2.50,-2.48
196901,3.09,3.11
197001,2.28,2.30
197101,1.86,1.88
197201,3.02,3.04
197301,-1.69,-1.67
197401,3.49,3.51
197501,0.34,0.36
197601,1.21,1.23
197701,-4.68,-4.66
197801,-0.12,-0.10
197901,-2.27,-2.25
198001,0.54,0.56
198101,-1.34,-1.32
198201,3.31,3.33
198301,2.93,2.95
198401,3.12,3.14
198501,-1.91,-1.89
198601,-0.90,-0.88
198701,-1.12,-1.10
198801,-2.71,-2.69
198901,-0.54,-0.52
199001,-1.79,-1.77
199101,-2.36,-2.34
199201,-2.15,-2.13
199301,-2.29,-2.27
199401,-2.72,-2.70
199501,1.35,1.37
199601,3.42,3.44
199701,5.03,5.05
199801,2.06,2.08
199901,2.65,2.67
200001,-1.22,-1.20
200101,-3.46,-3.44
200201,-1.61,-1.59
200301,-3.24,-3.22
200401,-2.11,-2.09
200501,-2.53,-2.51
200601,2.87,2.89
200701,-0.75,-0.73
200801,-0.56,-0.54
200901,-2.65,-2.63
201001,-1.61,-1.59
201101,2.04,2.06
201201,0.34,0.36
201301,-0.76,-0.74
201401,-3.12,-3.10
201501,-1.89,-1.87
201601,-1.45,-1.43
201701,1.91,1.93
201801,-1.85,-1.83
201901,-3.93,-3.91
202001,-1.34,-1.32
202101,-2.34,-2.32
