Colorado, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,3.12,2.73
189612,0.05,-0.34
189712,2.38,1.99
189812,1.55,1.16
189912,-0.56,-0.95
190012,-3.51,-3.90
190112,-3.91,-4.30
190212,-3.19,-3.58
190312,-1.60,-1.99
190412,-1.50,-1.89
190512,-0.79,-1.18
190612,3.60,3.21
190712,-0.28,-0.67
190812,2.35,1.96
190912,4.02,3.63
191012,-2.40,-2.79
191112,1.28,0.89
191212,-0.53,-0.92
191312,1.34,0.95
191412,2.65,2.26
191512,3.71,3.32
191612,3.34,2.95
191712,-2.01,-2.40
191812,1.57,1.18
191912,2.30,1.91
192012,2.80,2.41
192112,3.06,2.67
192212,0.93,0.54
192312,5.58,5.19
192412,-1.13,-1.52
192512,1.36,0.97
192612,-0.50,-0.89
192712,2.77,2.38
192812,2.92,2.53
192912,2.57,2.18
193012,-0.48,-0.87
193112,0.28,-0.11
193212,-1.56,-1.95
193312,-2.04,-2.43
193412,-5.98,-6.37
193512,-2.60,-2.99
193612,-2.54,-2.93
193712,0.11,-0.28
193812,1.97,1.58
193912,-4.55,-4.94
194012,0.65,0.26
194112,6.05,5.66
194212,0.02,-0.37
194312,-1.37,-1.76
194412,-1.42,-1.81
194512,-0.61,-1.00
194612,1.69,1.30
194712,3.45,3.06
194812,1.54,1.15
194912,-1.36,-1.75
195012,-2.62,-3.01
195112,2.19,1.80
195212,-1.92,-2.31
195312,-1.63,-2.02
195412,-4.65,-5.04
195512,-3.72,-4.11
195612,-3.94,-4.33
195712,5.02,4.63
195812,-1.36,-1.75
195912,0.90,0.51
196012,-1.58,-1.97
196112,2.49,2.10
196212,-1.98,-2.37
196312,-4.27,-4.66
196412,0.85,0.46
196512,5.43,5.04
196612,-1.04,-1.43
196712,0.83,0.44
196812,0.01,-0.38
196912,4.44,4.05
197012,2.81,2.42
197112,1.58,1.19
197212,2.56,2.17
197312,2.65,2.26
197412,-2.06,-2.45
197512,-0.35,-0.74
197612,-1.68,-2.07
197712,-3.85,-4.24
197812,1.21,0.82
197912,1.96,1.57
198012,-2.93,-3.32
198112,-2.59,-2.98
198212,2.60,2.21
198312,4.65,4.26
198412,4.71,4.32
198512,4.04,3.65
198612,3.59,3.20
198712,2.28,1.89
198812,-0.62,-1.01
198912,-3.18,-3.57
199012,-1.19,-1.58
199112,1.59,1.20
199212,1.52,1.13
199312,-0.19,-0.58
199412,0.73,0.34
199512,2.15,1.76
199612,1.73,1.34
199712,4.51,4.12
199812,-0.28,-0.67
199912,-1.74,-2.13
200012,-2.56,-2.95
200112,-3.17,-3.56
200212,-6.05,-6.44
200312,-4.11,-4.50
200412,0.96,0.57
200512,-0.45,-0.84
200612,1.95,1.56
200712,1.04,0.65
200812,-0.20,-0.59
200912,1.41,1.02
201012,-0.28,-0.67
201112,-0.54,-0.93
201212,-6.28,-6.67
201312,1.42,1.03
201412,0.29,-0.10
201512,2.24,1.85
201612,0.21,-0.18
201712,-1.94,-2.33
201812,-4.52,-4.91
