New Mexico, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,3.19,2.94
189605,-1.99,-2.24
189705,4.17,3.92
189805,1.40,1.15
189905,-1.94,-2.19
190005,1.32,1.07
190105,-0.18,-0.43
190205,-1.89,-2.14
190305,0.56,0.31
190405,-4.90,-5.15
190505,6.66,6.41
190605,6.08,5.83
190705,4.10,3.85
190805,2.10,1.85
190905,-1.30,-1.55
191005,-3.53,-3.78
191105,0.91,0.66
191205,1.50,1.25
191305,1.03,0.78
191405,1.56,1.31
191505,6.39,6.14
191605,2.87,2.62
191705,-0.24,-0.49
191805,-3.19,-3.44
191905,5.09,4.84
192005,4.55,4.30
192105,0.22,-0.03
192205,-1.58,-1.83
192305,-0.60,-0.85
192405,3.33,3.08
192505,-3.93,-4.18
192605,3.58,3.33
192705,-1.92,-2.17
192805,1.02,0.77
192905,1.32,1.07
193005,-0.94,-1.19
193105,3.21,2.96
193205,3.38,3.13
193305,-0.78,-1.03
193405,-3.31,-3.56
193505,-1.89,-2.14
193605,-0.26,-0.51
193705,1.95,1.70
193805,-1.50,-1.75
193905,-0.35,-0.60
194005,0.66,0.41
194105,7.22,6.97
194205,8.99,8.74
194305,-1.78,-2.03
194405,0.81,0.56
194505,-1.04,-1.29
194605,-2.85,-3.10
194705,-1.82,-2.07
194805,1.83,1.58
194905,1.36,1.11
195005,-3.60,-3.85
195105,-2.62,-2.87
195205,-1.85,-2.10
195305,-2.23,-2.48
195405,-4.22,-4.47
195505,-3.19,-3.44
195605,-4.40,-4.65
195705,-3.29,-3.54
195805,3.86,3.61
195905,-1.92,-2.17
196005,-1.01,-1.26
196105,-0.58,-0.83
196205,-1.05,-1.30
196305,-1.45,-1.70
196405,-2.01,-2.26
196505,0.29,0.04
196605,-1.26,-1.51
196705,-4.02,-4.27
196805,-0.14,-0.39
196905,0.81,0.56
197005,-0.67,-0.92
197105,-3.47,-3.72
197205,-3.13,-3.38
197305,5.15,4.90
197405,-3.81,-4.06
197505,2.65,2.40
197605,-1.93,-2.18
197705,-0.70,-0.95
197805,0.44,0.19
197905,3.71,3.46
198005,2.80,2.55
198105,-2.24,-2.49
198205,-0.96,-1.21
198305,2.65,2.40
198405,0.56,0.31
198505,5.36,5.11
198605,2.11,1.86
198705,6.41,6.16
198805,3.19,2.94
198905,-2.83,-3.08
199005,-1.75,-2.00
199105,0.59,0.34
199205,5.73,5.48
199305,3.45,3.20
199405,0.70,0.45
199505,-0.22,-0.47
199605,-4.93,-5.18
199705,1.24,0.99
199805,-0.59,-0.84
199905,0.57,0.32
200005,-4.04,-4.29
200105,2.59,2.34
200205,-3.78,-4.03
200305,-3.00,-3.25
200405,0.77,0.52
200505,3.98,3.73
200605,-4.71,-4.96
200705,2.43,2.18
200805,-1.68,-1.93
200905,-3.06,-3.31
201005,1.76,1.51
201105,-4.36,-4.61
201205,-4.35,-4.60
201305,-5.72,-5.97
201405,-3.89,-4.14
201505,1.44,1.19
201605,-1.44,-1.69
201705,-1.20,-1.45
201805,-4.63,-4.88
