Arizona, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,2.26,1.99
189606,-2.84,-3.11
189706,-0.22,-0.49
189806,-1.18,-1.45
189906,-2.49,-2.76
190006,-4.36,-4.63
190106,-2.30,-2.57
190206,-5.04,-5.31
190306,-1.86,-2.13
190406,-5.45,-5.72
190506,8.19,7.92
190606,6.26,5.99
190706,5.77,5.50
190806,1.86,1.59
190906,2.57,2.30
191006,-2.02,-2.29
191106,1.02,0.75
191206,1.41,1.14
191306,-0.56,-0.83
191406,0.18,-0.09
191506,6.54,6.27
191606,4.84,4.57
191706,3.81,3.54
191806,0.12,-0.15
191906,1.52,1.25
192006,6.32,6.05
192106,-3.17,-3.44
192206,2.19,1.92
192306,-1.70,-1.97
192406,0.99,0.72
192506,-2.24,-2.51
192606,-0.61,-0.88
192706,2.11,1.84
192806,-1.55,-1.82
192906,-2.66,-2.93
193006,0.29,0.02
193106,1.68,1.41
193206,4.23,3.96
193306,1.29,1.02
193406,-3.99,-4.26
193506,2.55,2.28
193606,-1.62,-1.89
193706,2.54,2.27
193806,1.09,0.82
193906,-1.00,-1.27
194006,-2.19,-2.46
194106,8.30,8.03
194206,-0.57,-0.84
194306,-2.39,-2.66
194406,1.81,1.54
194506,0.78,0.51
194606,-2.75,-3.02
194706,-3.28,-3.55
194806,-1.96,-2.23
194906,2.12,1.85
195006,-2.78,-3.05
195106,-3.50,-3.77
195206,4.41,4.14
195306,-1.20,-1.47
195406,-1.89,-2.16
195506,0.09,-0.18
195606,-4.06,-4.33
195706,0.44,0.17
195806,1.99,1.72
195906,-3.66,-3.93
196006,-0.28,-0.55
196106,-3.46,-3.73
196206,-0.18,-0.45
196306,-2.72,-2.99
196406,-2.50,-2.77
196506,2.47,2.20
196606,3.28,3.01
196706,-2.27,-2.54
196806,1.58,1.31
196906,0.19,-0.08
197006,-1.07,-1.34
197106,-3.49,-3.76
197206,-3.32,-3.59
197306,7.00,6.73
197406,-3.83,-4.10
197506,-1.17,-1.44
197606,-1.48,-1.75
197706,-2.52,-2.79
197806,4.52,4.25
197906,7.79,7.52
198006,5.61,5.34
198106,-2.59,-2.86
198206,0.89,0.62
198306,5.42,5.15
198406,-2.60,-2.87
198506,3.93,3.66
198606,-1.50,-1.77
198706,0.27,0.00
198806,0.96,0.69
198906,-3.92,-4.19
199006,-3.99,-4.26
199106,2.00,1.73
199206,4.91,4.64
199306,7.01,6.74
199406,-1.73,-2.00
199506,3.59,3.32
199606,-5.28,-5.55
199706,-3.68,-3.95
199806,3.43,3.16
199906,-3.19,-3.46
200006,-4.31,-4.58
200106,-0.21,-0.48
200206,-5.61,-5.88
200306,-3.58,-3.85
200406,-4.07,-4.34
200506,5.44,5.17
200606,-4.65,-4.92
200706,-4.94,-5.21
200806,-1.30,-1.57
200906,-2.58,-2.85
201006,2.32,2.05
201106,-3.09,-3.36
201206,-4.75,-5.02
201306,-4.07,-4.34
201406,-5.06,-5.33
201506,0.33,0.06
201606,-2.77,-3.04
201706,-1.67,-1.94
201806,-5.87,-6.14
