Idaho, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,-0.60,-0.65
189609,1.47,1.42
189709,0.20,0.15
189809,-1.81,-1.86
189909,-0.69,-0.74
190009,0.03,-0.02
190109,-0.78,-0.83
190209,-0.50,-0.55
190309,0.65,0.60
190409,-1.45,-1.50
190509,-0.46,-0.51
190609,1.37,1.32
190709,-0.01,-0.06
190809,2.64,2.59
190909,2.48,2.43
191009,0.09,0.04
191109,1.00,0.95
191209,3.03,2.98
191309,3.40,3.35
191409,0.74,0.69
191509,2.26,2.21
191609,2.00,1.95
191709,-0.95,-1.00
191809,-1.19,-1.24
191909,-4.12,-4.17
192009,0.54,0.49
192109,-0.79,-0.84
192209,-1.03,-1.08
192309,2.50,2.45
192409,-4.06,-4.11
192509,1.44,1.39
192609,0.30,0.25
192709,1.96,1.91
192809,-2.72,-2.77
192909,-3.04,-3.09
193009,-1.55,-1.60
193109,-4.29,-4.34
193209,-0.64,-0.69
193309,-1.76,-1.81
193409,-5.19,-5.24
193509,-3.98,-4.03
193609,-2.62,-2.67
193709,-3.80,-3.85
193809,1.08,1.03
193909,-3.02,-3.07
194009,1.56,1.51
194109,2.94,2.89
194209,-0.91,-0.96
194309,-0.82,-0.87
194409,-0.16,-0.21
194509,2.38,2.33
194609,0.18,0.13
194709,0.50,0.45
194809,2.30,2.25
194909,-2.49,-2.54
195009,1.04,0.99
195109,-0.72,-0.77
195209,-1.12,-1.17
195309,-0.92,-0.97
195409,-0.30,-0.35
195509,1.02,0.97
195609,-1.23,-1.28
195709,-1.04,-1.09
195809,-0.74,-0.79
195909,1.56,1.51
196009,-1.41,-1.46
196109,0.73,0.68
196209,-0.24,-0.29
196309,2.39,2.34
196409,2.81,2.76
196509,3.82,3.77
196609,-3.63,-3.68
196709,-0.91,-0.96
196809,2.02,1.97
196909,-1.90,-1.95
197009,2.27,2.22
197109,2.99,2.94
197209,-0.28,-0.33
197309,0.50,0.45
197409,-2.51,-2.56
197509,1.81,1.76
197609,2.63,2.58
197709,1.42,1.37
197809,2.37,2.32
197909,-2.46,-2.51
198009,2.83,2.78
198109,0.91,0.86
198209,3.76,3.71
198309,4.95,4.90
198409,5.25,5.20
198509,1.48,1.43
198609,1.16,1.11
198709,-2.82,-2.87
198809,-4.20,-4.25
198909,-1.92,-1.97
199009,-1.60,-1.65
199109,-0.49,-0.54
199209,-3.34,-3.39
199309,-0.28,-0.33
199409,-4.03,-4.08
199509,3.51,3.46
199609,1.77,1.72
199709,3.19,3.14
199809,2.96,2.91
199909,-0.65,-0.70
200009,-2.73,-2.78
200109,-4.47,-4.52
200209,-2.91,-2.96
200309,-3.36,-3.41
200409,1.49,1.44
200509,1.01,0.96
200609,-1.70,-1.75
200709,-3.74,-3.79
200809,-1.90,-1.95
200909,-0.66,-0.71
201009,2.02,1.97
201109,-0.89,-0.94
201209,-1.55,-1.60
201309,-1.56,-1.61
201409,-1.51,-1.56
201509,-2.46,-2.51
201609,0.33,0.28
201709,1.02,0.97
201809,-2.01,-2.06
