Texas, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,0.95,1.07
189602,2.63,2.75
189702,-2.33,-2.21
189802,-2.58,-2.46
189902,-1.98,-1.86
190002,0.68,0.80
190102,-1.66,-1.54
190202,-4.56,-4.44
190302,2.95,3.07
190402,-2.82,-2.70
190502,0.31,0.43
190602,2.16,2.28
190702,-1.39,-1.27
190802,2.29,2.41
190902,-2.51,-2.39
191002,-3.54,-3.42
191102,-4.71,-4.59
191202,0.91,1.03
191302,-0.86,-0.74
191402,2.87,2.99
191502,4.52,4.64
191602,-2.12,-2.00
191702,-4.16,-4.04
191802,-6.31,-6.19
191902,2.57,2.69
192002,6.70,6.82
192102,-0.66,-0.54
192202,-2.81,-2.69
192302,0.86,0.98
192402,3.48,3.60
192502,-3.44,-3.32
192602,0.49,0.61
192702,-0.32,-0.20
192802,-2.17,-2.05
192902,0.38,0.50
193002,-0.55,-0.43
193102,3.11,3.23
193202,2.29,2.41
193302,0.62,0.74
193402,-2.18,-2.06
193502,-2.96,-2.84
193602,-0.77,-0.65
193702,0.61,0.73
193802,1.25,1.37
193902,-1.28,-1.16
194002,-2.66,-2.54
194102,3.08,3.20
194202,4.78,4.90
194302,-1.68,-1.56
194402,1.40,1.52
194502,2.59,2.71
194602,1.23,1.35
194702,1.08,1.20
194802,-0.67,-0.55
194902,1.04,1.16
195002,1.31,1.43
195102,-2.97,-2.85
195202,-5.09,-4.97
195302,-3.58,-3.46
195402,-3.68,-3.56
195502,-4.73,-4.61
195602,-4.65,-4.53
195702,-6.19,-6.07
195802,4.49,4.61
195902,1.79,1.91
196002,2.58,2.70
196102,3.92,4.04
196202,-0.90,-0.78
196302,-2.15,-2.03
196402,-3.07,-2.95
196502,-1.88,-1.76
196602,0.31,0.43
196702,-2.83,-2.71
196802,2.16,2.28
196902,2.71,2.83
197002,2.43,2.55
197102,-2.90,-2.78
197202,-0.61,-0.49
197302,1.71,1.83
197402,-0.88,-0.76
197502,4.16,4.28
197602,-2.42,-2.30
197702,2.26,2.38
197802,-2.01,-1.89
197902,1.18,1.30
198002,-0.92,-0.80
198102,-1.91,-1.79
198202,-0.70,-0.58
198302,1.51,1.63
198402,-0.66,-0.54
198502,2.75,2.87
198602,-0.82,-0.70
198702,4.05,4.17
198802,-0.61,-0.49
198902,-1.59,-1.47
199002,0.15,0.27
199102,0.78,0.90
199202,5.53,5.65
199302,4.09,4.21
199402,-0.89,-0.77
199502,0.92,1.04
199602,-2.44,-2.32
199702,1.52,1.64
199802,3.33,3.45
199902,0.76,0.88
200002,-3.76,-3.64
200102,3.41,3.53
200202,-0.73,-0.61
200302,2.85,2.97
200402,0.47,0.59
200502,4.66,4.78
200602,-3.55,-3.43
200702,0.68,0.80
200802,-1.92,-1.80
200902,-4.18,-4.06
201002,2.98,3.10
201102,-2.50,-2.38
201202,-4.40,-4.28
201302,-4.13,-4.01
201402,-3.20,-3.08
201502,0.51,0.63
201602,3.76,3.88
201702,-1.11,-0.99
201802,-1.53,-1.41
201902,3.76,3.88
