Nevada, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.88,1.97
189601,1.43,1.52
189701,0.99,1.08
189801,-0.01,0.08
189901,0.62,0.71
190001,-1.42,-1.33
190101,0.17,0.26
190201,-1.22,-1.13
190301,0.59,0.68
190401,-1.72,-1.63
190501,-1.53,-1.44
190601,0.76,0.85
190701,5.23,5.32
190801,4.32,4.41
190901,2.24,2.33
191001,3.12,3.21
191101,1.34,1.43
191201,-1.58,-1.49
191301,-1.07,-0.98
191401,3.89,3.98
191501,-1.62,-1.53
191601,2.23,2.32
191701,1.21,1.30
191801,-2.50,-2.41
191901,-0.82,-0.73
192001,-2.04,-1.95
192101,1.53,1.62
192201,1.42,1.51
192301,2.74,2.83
192401,-1.25,-1.16
192501,-3.56,-3.47
192601,-1.02,-0.93
192701,-3.28,-3.19
192801,-1.35,-1.26
192901,-3.77,-3.68
193001,-3.73,-3.64
193101,-2.63,-2.54
193201,1.75,1.84
193301,-0.78,-0.69
193401,-3.46,-3.37
193501,0.39,0.48
193601,0.19,0.28
193701,0.97,1.06
193801,-0.24,-0.15
193901,-0.40,-0.31
194001,0.75,0.84
194101,1.04,1.13
194201,5.51,5.60
194301,2.96,3.05
194401,1.22,1.31
194501,0.59,0.68
194601,3.67,3.76
194701,-0.24,-0.15
194801,-1.86,-1.77
194901,0.73,0.82
195001,-1.64,-1.55
195101,-2.35,-2.26
195201,1.92,2.01
195301,-1.20,-1.11
195401,-3.28,-3.19
195501,-3.41,-3.32
195601,1.82,1.91
195701,-1.54,-1.45
195801,0.89,0.98
195901,-2.24,-2.15
196001,-3.93,-3.84
196101,-3.08,-2.99
196201,-0.55,-0.46
196301,-2.29,-2.20
196401,-0.74,-0.65
196501,-0.07,0.02
196601,-0.43,-0.34
196701,1.28,1.37
196801,-1.57,-1.48
196901,1.59,1.68
197001,-0.07,0.02
197101,-0.22,-0.13
197201,-0.40,-0.31
197301,2.02,2.11
197401,0.53,0.62
197501,0.22,0.31
197601,-1.73,-1.64
197701,-2.18,-2.09
197801,0.68,0.77
197901,3.17,3.26
198001,1.85,1.94
198101,-2.05,-1.96
198201,0.66,0.75
198301,4.05,4.14
198401,7.40,7.49
198501,-0.20,-0.11
198601,-0.63,-0.54
198701,-1.59,-1.50
198801,1.44,1.53
198901,-1.19,-1.10
199001,-3.00,-2.91
199101,-4.04,-3.95
199201,-2.28,-2.19
199301,1.88,1.97
199401,-1.51,-1.42
199501,2.42,2.51
199601,-0.68,-0.59
199701,2.50,2.59
199801,-0.81,-0.72
199901,-0.51,-0.42
200001,-2.83,-2.74
200101,-2.31,-2.22
200201,-3.08,-2.99
200301,-4.80,-4.71
200401,-2.81,-2.72
200501,3.25,3.34
200601,3.85,3.94
200701,-2.16,-2.07
200801,-3.32,-3.23
200901,-3.52,-3.43
201001,0.35,0.44
201101,2.26,2.35
201201,-1.75,-1.66
201301,-3.29,-3.20
201401,-4.12,-4.03
201501,-4.03,-3.94
201601,2.00,2.09
201701,2.40,2.49
201801,-2.30,-2.21
201901,-3.04,-2.95
