ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20041228,AZ,0,100,94.2,61.02,23.12,0
20041221,AZ,0,100,94.2,61.02,23.12,0
20041214,AZ,0,100,94.2,61.02,23.12,0
20041207,AZ,0,100,94,61.06,23.12,0
20041130,AZ,0,100,94.24,61.73,23.12,0
20041123,AZ,0,100,94.19,64.16,23.92,0
20041116,AZ,0,100,94.19,65.15,25.89,0
20041109,AZ,0,100,91.11,62.57,25.88,0
20041102,AZ,0,100,91.11,82.32,27.18,0
20041026,AZ,0,100,91.11,82.32,27.18,0
20041019,AZ,0,100,91.11,82.32,39.21,0
20041012,AZ,0,100,91.11,82.32,39.21,0
20041005,AZ,0,100,91.11,82.32,40.61,0
20040928,AZ,0,100,91.11,82.32,40.61,0
20040921,AZ,0,100,91.11,82.32,40.61,0
20040914,AZ,0,100,91.11,82.32,55.24,0
20040907,AZ,0,100,90.41,81.74,55.24,0
20040831,AZ,0,100,90.41,81.74,56.62,0
20040824,AZ,0,100,90.41,81.74,56.62,0
20040817,AZ,0,100,90.41,81.74,57.92,0
20040810,AZ,0,100,90.41,77.27,59.17,0
20040803,AZ,0,100,90.41,76.91,55.23,0
20040727,AZ,0,100,90.41,76.91,55.23,0
20040720,AZ,0,100,90.71,75.62,51.93,0
20040713,AZ,0,100,90.41,75.62,51.93,0
20040706,AZ,0,100,90.41,75.62,51.13,0
20040629,AZ,0,100,90.47,75.42,51.13,0
20040622,AZ,0,100,90.41,75.42,51.13,0
20040615,AZ,0,100,90.37,74.8,51.13,0
20040608,AZ,0,100,90.37,74.8,51.26,0
20040601,AZ,0,100,90.67,73.24,51.55,0
20040525,AZ,0,100,88.77,73.71,51.55,0
20040518,AZ,0,100,88.77,73.71,50.56,0
20040511,AZ,0,100,88.77,73.71,50.56,0
20040504,AZ,0,100,88.77,73.71,50.56,0
20040427,AZ,0,100,88.77,73.71,49.54,0
20040420,AZ,0,100,88.77,73.71,49.54,0
20040413,AZ,0,100,88.77,73.71,49.54,0
20040406,AZ,0,100,86.77,67.09,43.01,0
20040330,AZ,0,100,90.04,74.17,53.81,1.29
20040323,AZ,0,100,90.04,71.09,46.69,1.29
20040316,AZ,0,100,90.04,71.09,43.72,1.29
20040309,AZ,0,100,90.04,71.09,43.72,1.29
20040302,AZ,0,100,84.66,66.17,35.66,1.38
20040224,AZ,0,100,84.66,67.55,37.47,2.57
20040217,AZ,0,100,84.66,67.55,37.47,2.57
20040210,AZ,0,100,84.66,67.55,37.5,2.57
20040203,AZ,0,100,84.66,67.55,37.5,2.57
20040127,AZ,0,100,82.56,60.94,37.72,2.57
20040120,AZ,0,100,95.76,65.85,38.88,2.29
20040113,AZ,0,100,87.59,66.67,39.4,2.29
20040106,AZ,0,100,85.1,60.8,38.51,2.29
20031230,AZ,0,100,84.88,61.65,39.91,3.1
20031223,AZ,0,100,85.76,60.69,35.76,3.06
20031216,AZ,0,100,83.63,53.07,29.66,1.93
20031209,AZ,0,100,83.39,50.91,29.36,2.01
20031202,AZ,0,100,83.9,51.84,29.83,1.94
