ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20210629,AZ,0,100,98.94,94.62,89.49,57.79
20210622,AZ,0,100,98.94,94.62,86.52,57.79
20210615,AZ,0,100,98.94,94.64,86.52,57.79
20210608,AZ,0,100,98.94,94.64,86.52,57.79
20210601,AZ,0,100,99,94.62,86.52,57.79
20210525,AZ,0,100,99.01,94.62,86.52,57.79
20210518,AZ,0,100,99.02,94.66,86.56,57.79
20210511,AZ,0,100,99.02,94.66,86.56,57.79
20210504,AZ,0,100,99.02,94.62,86.56,57.79
20210427,AZ,0,100,99.02,94.62,86.56,57.79
20210420,AZ,0,100,99.02,94.62,86.56,57.79
20210413,AZ,0,100,98.9,94.66,86.56,57.79
20210406,AZ,0,100,98.9,94.66,86.56,54.8
20210330,AZ,0,100,98.9,94.66,86.56,54.8
20210323,AZ,0,100,98.9,94.66,86.56,54.8
20210316,AZ,0,100,98.85,94.6,84.67,53.5
20210309,AZ,0,100,98.92,94.6,84.67,53.5
20210302,AZ,0,100,98.92,94.6,84.67,53.5
20210223,AZ,0,100,98.92,94.6,84.67,53.5
20210216,AZ,0,100,98.92,94.6,84.62,53.5
20210209,AZ,0,100,98.92,94.6,84.77,53.66
20210202,AZ,0,100,98.92,94.6,84.77,53.66
20210126,AZ,0,100,100,96.56,92.42,57.96
20210119,AZ,0,100,100,98.32,93.86,72.69
20210112,AZ,0,100,100,98.34,93.86,72.69
20210105,AZ,0,100,100,98.34,93.86,72.69
20201229,AZ,0,100,100,98.34,93.86,72.69
20201222,AZ,0,100,100,98.34,93.86,72.69
20201215,AZ,0,100,100,98.34,93.86,72.69
20201208,AZ,0,100,100,98.35,92.82,76.81
20201201,AZ,0,100,100,98.35,92.82,76.81
20201124,AZ,0,100,100,98.35,92.82,71.83
20201117,AZ,0,100,100,95.06,84.76,32.81
20201110,AZ,0,100,100,95.06,84.76,19.5
20201103,AZ,0,100,100,95.01,83.85,8.7
20201027,AZ,0,100,100,95.01,83.85,8.7
20201020,AZ,0,100,100,95.01,83.85,8.7
20201013,AZ,0,100,100,95.01,77.73,6.86
20201006,AZ,0,100,100,95.01,77.73,6.86
20200929,AZ,0,100,100,93.97,69.95,3.37
20200922,AZ,0,100,100,90.67,57.34,0
20200915,AZ,0,100,100,90.67,57.34,0
20200908,AZ,0,100,97.46,89.42,56.45,0
20200901,AZ,0,100,97.45,82.16,42.25,0
20200825,AZ,0,100,97.45,82.36,42.25,0
20200818,AZ,0,100,90.19,74.64,0.68,0
20200811,AZ,6.42,93.58,81.73,26.42,0,0
20200804,AZ,6.42,93.58,81.68,25.76,0,0
20200728,AZ,14.3,85.7,46.89,15.99,0,0
20200721,AZ,14.3,85.7,36.39,6.79,0,0
20200714,AZ,54.75,45.25,13.68,6.76,0,0
20200707,AZ,57.44,42.56,13.56,6.76,0,0
20200630,AZ,67.45,32.55,13.56,6.76,0,0
20200623,AZ,67.45,32.55,13.56,6.76,0,0
20200616,AZ,67.45,32.55,13.56,6.76,0,0
20200609,AZ,67.45,32.55,13.56,6.76,0,0
20200602,AZ,80.51,19.49,13.67,6.76,0,0
20200526,AZ,80.51,19.49,13.67,6.74,0,0
20200519,AZ,80.51,19.49,13.67,6.74,0,0
20200512,AZ,80.51,19.49,13.67,6.74,0,0
20200505,AZ,80.6,19.4,13.45,6.77,0,0
20200428,AZ,80.6,19.4,13.45,6.77,0,0
20200421,AZ,80.59,19.41,13.45,6.77,0,0
20200414,AZ,80.59,19.41,13.45,6.77,0,0
20200407,AZ,76.62,23.38,18.58,10.39,0,0
20200331,AZ,76.62,23.38,18.58,10.39,0,0
20200324,AZ,73.23,26.77,19.47,11.32,0,0
20200317,AZ,73.03,26.97,19.47,11.36,0,0
20200310,AZ,70.34,29.66,21.89,14.02,0,0
20200303,AZ,70.34,29.66,21.89,14.02,0,0
20200225,AZ,70.34,29.66,21.89,14.02,0,0
20200218,AZ,65.28,34.72,22.42,14.65,0,0
20200211,AZ,70.13,29.87,23.02,14.65,0,0
20200204,AZ,70.37,29.63,23,14.65,0,0
20200128,AZ,70.37,29.63,23,14.65,0,0
20200121,AZ,70.37,29.63,23,14.65,0,0
20200114,AZ,70.37,29.63,23,14.65,0,0
20200107,AZ,70.37,29.63,23,14.65,0,0
20191231,AZ,70.37,29.63,23,16.73,0,0
