ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20190430,AZ,83.31,16.69,4.59,0,0,0
20190423,AZ,83.27,16.73,4.63,0,0,0
20190416,AZ,82.23,17.77,4.63,0,0,0
20190409,AZ,82.23,17.77,4.63,0,0,0
20190402,AZ,82.23,17.77,4.63,0,0,0
20190326,AZ,82.23,17.77,4.63,0,0,0
20190319,AZ,82.17,17.83,5.5,0.21,0,0
20190312,AZ,73.02,26.98,16.28,5.13,0,0
20190305,AZ,62.24,37.76,18.74,5.5,0,0
20190226,AZ,62.24,37.76,18.69,5.5,0,0
20190219,AZ,31.27,68.73,30.13,16.62,3.34,0
20190212,AZ,16,84,30.74,16.62,3.34,0
20190205,AZ,16,84,32.9,18.3,3.34,0
20190129,AZ,16,84,32.98,18.23,3.3,0
20190122,AZ,16,84,39.01,18.23,3.3,0
20190115,AZ,15.82,84.18,59.33,27.8,12.6,3.3
20190108,AZ,15.82,84.18,59.68,27.8,12.6,3.3
20190101,AZ,7.38,92.62,66.78,32.09,12.6,3.3
20190430,CA,94.03,5.97,0,0,0,0
20190423,CA,94.03,5.97,0,0,0,0
20190416,CA,94.03,5.97,0,0,0,0
20190409,CA,94.03,5.97,0,0,0,0
20190402,CA,93.42,6.58,0,0,0,0
20190326,CA,93.42,6.58,0,0,0,0
20190319,CA,93.42,6.58,0,0,0,0
20190312,CA,93.42,6.58,0,0,0,0
20190305,CA,89.84,10.16,0.6,0,0,0
20190226,CA,87.17,12.83,2.33,0,0,0
20190219,CA,67.07,32.93,3.77,1.36,0,0
20190212,CA,36.77,63.23,10.55,1.63,0,0
20190205,CA,34.37,65.63,10.55,1.89,0,0
20190129,CA,23.93,76.07,23.66,1.89,0,0
20190122,CA,7.77,92.23,72.23,3.44,0.71,0
20190115,CA,7.77,92.23,75.17,5.54,0.71,0
20190108,CA,7.77,92.23,75.17,14.12,1.55,0
20190101,CA,7.77,92.23,75.17,14.12,2.1,0
20190430,CO,84.72,15.28,0.59,0,0,0
