ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20091229,AZ,0,100,97.23,71.18,5.06,0
20091222,AZ,0,100,97.23,71.18,5.06,0
20091215,AZ,0,100,97.23,71.18,5.06,0
20091208,AZ,0,100,97.23,75.55,5.7,0
20091201,AZ,0,100,97.23,75.55,5.7,0
20091124,AZ,0,100,97.23,75.58,5.4,0
20091117,AZ,0,100,89.61,63.5,0,0
20091110,AZ,0,100,86.91,55.23,0,0
20091103,AZ,0,100,86.91,53.49,0,0
20091027,AZ,0,100,84.63,53.49,0,0
20091020,AZ,0,100,84.63,53.5,0,0
20091013,AZ,0,100,84.63,53.5,0,0
20091006,AZ,1.42,98.58,80.33,10.7,0,0
20090929,AZ,4.63,95.37,53.86,0,0,0
20090922,AZ,4.63,95.37,53.42,0,0,0
20090915,AZ,1.16,98.84,59.06,0,0,0
20090908,AZ,1.16,98.84,60.4,0,0,0
20090901,AZ,1.16,98.84,47.31,0,0,0
20090825,AZ,10.27,89.73,47.31,0,0,0
20090818,AZ,10.42,89.58,4.25,0,0,0
20090811,AZ,10.42,89.58,0,0,0,0
20090804,AZ,10.52,89.48,0,0,0,0
20090728,AZ,45.83,54.17,0,0,0,0
20090721,AZ,45.83,54.17,0,0,0,0
20090714,AZ,45.83,54.17,0,0,0,0
20090707,AZ,45.83,54.17,0,0,0,0
20090630,AZ,38.16,61.84,4.58,0,0,0
20090623,AZ,35.4,64.6,7.18,0,0,0
20090616,AZ,35.35,64.65,7.18,0,0,0
20090609,AZ,35.2,64.8,7.18,0,0,0
20090602,AZ,35.2,64.8,7.18,0,0,0
20090526,AZ,33.22,66.78,7.18,0,0,0
20090519,AZ,17.2,82.8,34.8,0,0,0
20090512,AZ,18.69,81.31,26.25,0,0,0
20090505,AZ,18.71,81.29,19.01,0,0,0
20090428,AZ,18.7,81.3,14.41,0,0,0
20090421,AZ,18.69,81.31,14.41,0,0,0
20090414,AZ,43.01,56.99,1.7,0,0,0
20090407,AZ,59.71,40.29,1.7,0,0,0
20090331,AZ,59.71,40.29,1.7,0,0,0
20090324,AZ,59.71,40.29,1.7,0,0,0
20090317,AZ,61.06,38.94,1.63,0,0,0
20090310,AZ,61.06,38.94,1.63,0,0,0
20090303,AZ,70.72,29.28,1.63,0,0,0
20090224,AZ,78.97,21.03,0,0,0,0
20090217,AZ,78.97,21.03,0,0,0,0
20090210,AZ,64.78,35.22,0.2,0,0,0
20090203,AZ,62.13,37.87,1,0,0,0
20090127,AZ,62.2,37.8,1,0,0,0
20090120,AZ,62.31,37.69,1,0,0,0
20090113,AZ,62.31,37.69,1,0,0,0
20090106,AZ,62.31,37.69,1,0,0,0
20081230,AZ,61.24,38.76,1,0,0,0
20081223,AZ,58.94,41.06,1,0,0,0
20081216,AZ,39.68,60.32,1.18,0,0,0
20081209,AZ,39.68,60.32,1.18,0,0,0
20081202,AZ,39.68,60.32,1.18,0,0,0
20081125,AZ,39.68,60.32,1.18,0,0,0
20081118,AZ,39.68,60.32,1.18,0,0,0
20081111,AZ,66.43,33.57,1.18,0,0,0
20081104,AZ,67.49,32.51,1.18,0,0,0
20081028,AZ,67.49,32.51,1.18,0,0,0
20081021,AZ,67.53,32.47,1.25,0,0,0
20081014,AZ,83.13,16.87,1,0,0,0
20081007,AZ,83.1,16.9,0.79,0,0,0
20080930,AZ,83.1,16.9,3.23,0,0,0
20080923,AZ,83.1,16.9,3.23,0,0,0
20080916,AZ,83.1,16.9,3.23,0,0,0
20080909,AZ,83.17,16.83,3.23,0,0,0
20080902,AZ,83.17,16.83,5.13,0,0,0
20080826,AZ,83.21,16.79,2.32,0,0,0
20080819,AZ,83.21,16.79,2.32,0,0,0
20080812,AZ,83.11,16.89,2.32,0,0,0
20080805,AZ,83.58,16.42,2.32,0,0,0
20080729,AZ,83.58,16.42,2.32,0,0,0
20080722,AZ,83.58,16.42,2.32,0,0,0
20080715,AZ,55.13,44.87,16.95,0,0,0
20080708,AZ,43.06,56.94,20.01,1.87,0,0
20080701,AZ,43.06,56.94,22.07,1.87,0,0
20080624,AZ,43.06,56.94,23.78,1.87,0,0
20080617,AZ,43.06,56.94,23.78,1.87,0,0
20080610,AZ,44.16,55.84,18.87,0,0,0
20080603,AZ,44.26,55.74,18.87,0,0,0
20080527,AZ,44.26,55.74,18.87,0,0,0
20080520,AZ,0,100,24.75,0,0,0
20080513,AZ,0,100,24.75,0,0,0
20080506,AZ,0,100,24.75,0,0,0
20080429,AZ,0.17,99.83,27.56,0,0,0
